Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ff5897a9,面的背肩我馋了,83.217,1610892552,16777215,1
edb97350,瑶族舞曲,11.558,1610892639,16777215,4
1f5f340b,面的美貌气质杀人啦！,145.479,1610892640,16777215,1
6781da2b,叶舒华脸上这肉真是。,22.351,1610892676,16777215,1
ffd21c7f,中式北背景赞啊。有些人还那么多事儿,100.721,1610892689,16777215,1
1f5f340b,面好精致好贵气啊,182.668,1610892714,16777215,1
846f5791,今天这个泡袖还不好看吗我觉得是全队最好看一条裙子了,138.637,1610892722,16777215,1
762da5a6,瑶族,22.169,1610892788,16777215,1
1f5f340b,面这个怼脸救命啊！,219.801,1610892807,16777215,1
8953d646,空耳烦死了,140.587,1610892841,16777215,1
e4345e0c,赵美延杀疯了,114.807,1610892859,14811775,1
30d80b47,这中国风绝了,18.431,1610892954,16777215,1
90696bf,今天的ending太值得夸了,3.932,1610892957,16777215,1
e4345e0c,面跳起来好轻盈,214.471,1610892975,14811775,1
31eac106,加麻加辣,107.196,1610893051,16777215,1
58f3db22,mine我来啦,0.0,1610893075,16777215,1
bf51af45,面姐这神仙侧颜,20.722,1610893313,16777215,1
bf51af45,天啊赵美延绝了,90.002,1610893391,16707842,1
129db750,赵美延太美了,97.874,1610893415,16777215,1
1f5f340b,封面美貌杀人了,11.367,1610891648,16777215,1
d52bd365,su好美,25.232,1610891653,16777215,1
1e635258,赵美延这个位置也能有ending！我哭了！谢导播呜,222.691,1610891705,14811775,1
1f5f340b,又是泡袖,62.007,1610891722,16777215,1
e23179f8,我的妈呀，这也太中国风了,13.177,1610891805,16777215,1
169cb9d4,加麻加辣,101.361,1610891975,16777215,1
b9269f23,细高跟太稳了,174.976,1610891994,16777215,1
b9269f23,美貌杀人事件,188.293,1610892013,16777215,1
f525339a,intro真的好像瑶族舞曲古筝版呀,6.773,1610892102,16777215,1
6afa1ad1,封面的美女我来了,2.997,1610892141,16777215,1
f525339a,确实像古筝版的瑶族舞曲,11.333,1610892144,11890,5
