Sender,DmContent,AppearTime,SendTime,FontColor,DmType
fe763279,好看！,37.242,1611055031,16777215,1
ba650553,可爱,144.24,1611055032,16777215,1
b93040df,这个好,43.145,1611055041,16777215,1
44a12ab,热乎的,6.638,1611055042,16777215,1
4a818ae9,就是啊,246.392,1611055045,16777215,1
c06b6567,猝不及防,288.793,1611055048,16777215,1
3517152c,这个好看,37.917,1611055054,16777215,1
ba0920,猝不及防,271.419,1611055064,16777215,1
4d594197,你们难道要看卖家秀打分吗,46.019,1611055068,15138834,5
4a818ae9,猝不及防,277.638,1611055076,16777215,1
2b8448fb,猝不及防,277.875,1611055076,16777215,1
f13c8988,高产似那啥,6.275,1611055078,16777215,1
3e6e4d5d,太瘦了omg,64.94,1611055080,16777215,1
3091452e,穿啥都不满分,135.521,1611055088,16777215,4
a44e7c16,贵妇蜡笔,33.753,1611055088,16777215,1
2c58939f,豪气,270.069,1611055090,16777215,1
b93040df,蹦迪,92.518,1611055090,16777215,1
2c58939f,走啦,288.606,1611055109,16777215,1
4d594197,内味,90.452,1611055116,16777215,1
a44e7c16,富婆装,56.126,1611055116,16777215,1
dcbf9dfb,猝不及防,290.006,1611055119,16777215,1
b9bd51ed,9分,58.368,1611055123,16777215,1
6a48ba5c,保镖的求生欲最近挺强啊,126.013,1611055128,16777215,1
4d594197,春晚罪不至此啊,112.744,1611055138,16777215,1
f6a45d6f,鬼畜区开工了,90.771,1611055144,16777215,1
4d594197,65,121.628,1611055147,16777215,1
b93040df,老夫人,157.46,1611055155,16777215,1
d874c4b4,好看啊,45.964,1611055167,16777215,1
a2e8ad3f,cl措不及防,296.51,1611055170,16777215,1
a44e7c16,夜店女王蜡笔,86.544,1611055172,16777215,1
b93040df,主要是喜庆,184.815,1611055183,16777215,1
9e1f7ae9,都挺好看,143.499,1611055195,16777215,1
bc6a30f4,不好意思我笑了,184.254,1611055200,16777215,1
cbbb6510,著名相声演员,143.595,1611055201,15138834,5
89df9388,满分10？,14.763,1611055214,16777215,1
bc6a30f4,这个最接地气,203.265,1611055219,16777215,1
6c56464f,帔pei,197.582,1611055223,16777215,1
3e6e4d5d,红包放这可太好了,205.65,1611055232,16777215,1
fe65f02a,这个爸妈肯定最喜欢,181.388,1611055235,16777215,1
35d4d5dc,减龄20岁,151.667,1611055236,16777215,1
e57cd6bf,85,53.042,1611055236,16777215,1
a44e7c16,压寨夫人,146.814,1611055239,16777215,1
71eb958d,蛋白质女王,16.67,1611055241,16707842,5
3e6e4d5d,预备,215.562,1611055242,16777215,1
4d594197,猝不及防,220.794,1611055246,16777215,1
fe65f02a,这个好,194.907,1611055248,16777215,1
35d4d5dc,易峰挺好的,155.787,1611055250,16777215,1
9fad0acc,好漂亮！,34.9,1611055275,16777215,1
4d594197,py,249.533,1611055275,16777215,1
a44e7c16,瞬间年轻了30岁,178.466,1611055280,16777215,1
b93040df,满上,283.33,1611055281,16777215,1
f13c8988,不对劲,212.28,1611055285,16777215,1
8b310223,给她发！,254.459,1611055295,16777215,1
35d4d5dc,我错了！刚那件减龄20这件就减龄80,173.667,1611055296,16777215,1
f1b31b9b,隔壁央视频直播monkey孙,137.275,1611055299,16777215,1
6175af64,热乎,5.902,1611055300,16777215,1
a44e7c16,国产哆啦a梦？,192.083,1611055306,16777215,1
3e6e4d5d,好家伙,282.771,1611055309,16777215,1
8b310223,不对劲,266.319,1611055311,16777215,1
50567f5,好看！,18.97,1611055315,16777215,1
e2c4d32,美丽冻人,160.619,1611055318,16777215,1
54bab406,好漂亮,11.587,1611055320,16777215,1
4d594197,一般能再来一个的红包都不大,261.364,1611055336,16777215,1
5c468614,91呀，LSP没get到吗？,16.77,1611055344,16777215,1
a44e7c16,我觉得像哆啦a梦多一点,228.737,1611055351,16777215,1
e00881,把狗骗进来杀,236.959,1611055359,16777215,1
16572f10,彪哥这无处安放的小手doge,192.759,1611055366,15138834,5
e57cd6bf,85,151.47,1611055369,16777215,1
f13c8988,我就知道,303.719,1611055377,15138834,1
643f8457,10,35.521,1611055385,16777215,1
e942b635,夫妻终变兄弟,215.019,1611055400,15138834,1
5779ac,太平公主,54.999,1611055417,16777215,1
a1146328,猝不及防,298.049,1611055424,16777215,1
2dfddcc3,猝不及防,277.282,1611055431,16777215,1
68858260,wtw,114.13,1611055434,16777215,1
4ecee993,这个好诶,54.939,1611055448,16777215,1
e57cd6bf,85,192.198,1611055449,16777215,1
5ac1dc99,这个好,39.979,1611055477,16777215,1
12f4659b,猝不及防,304.059,1611055499,16777215,1
690dd803,热乎,4.548,1611055506,16777215,1
e8f51775,但是感觉没撑起来23,76.699,1611055520,16777215,1
b6e54ee8,猝不及防,291.224,1611055525,16777215,1
a1512f9d,猝不及防,282.917,1611055537,16777215,1
567b7b83,易峰我可以,157.799,1611055542,16777215,1
3f6d04cc,第一眼以为p的图哈,176.779,1611055546,16777215,1
3c6980c0,wtw哈,120.099,1611055548,16777215,1
433d2602,得想个办法绿了保镖,69.182,1611055568,16777215,1
b5a4bc97,我可以,8.084,1611055573,16777215,1
7b780f87,猝不及防,270.568,1611055573,16777215,1
de6a1861,满分,61.322,1611055591,16777215,1
4cf7cc38,猝不及防,279.216,1611055599,16777215,1
393a2e0f,快跑啊,267.012,1611055609,16777215,1
8457293f,你不冷吗？,14.915,1611055617,16777215,1
1d6bac3b,10,34.024,1611055619,16777215,1
393a2e0f,很硬,298.41,1611055642,16777215,1
513ef068,10,34.059,1611055643,16777215,1
1a1ba9fd,蜡笔好漂亮呀！,68.328,1611055647,16777215,1
2f6e2550,易峰是我的啊哈,158.856,1611055662,16777215,1
8cfbcd2a,10,34.301,1611055668,16777215,1
6d644d22,好看,38.636,1611055671,16777215,1
de6a1861,满分,143.81,1611055674,16777215,1
74522cf2,猝不及防,275.675,1611055681,16777215,1
c08caef4,乐堡啤酒，拉开快乐,281.985,1611055688,15138834,5
53f8460,美！,4.979,1611055689,16777215,1
e913e9f2,猝不及防,288.141,1611055690,16777215,1
8a2bb619,突然高产,5.679,1611055721,16777215,1
117707d6,扒马褂,152.774,1611055726,16777215,1
de6a1861,快跑,208.767,1611055739,16777215,1
7e91dac6,广告要来了,223.998,1611055748,16777215,1
325814e3,猝不及防,275.946,1611055771,16777215,1
fbd2d2c,猝不及防,277.16,1611055781,16777215,1
a64c3db5,服务员吗哈,184.315,1611055794,16777215,1
1c16fb16,不愧是你,279.553,1611055795,16777215,1
e880c531,乐堡啤酒拉开2021好神气,2.469,1611055799,16777215,1
41c7858b,好看！,56.679,1611055805,16777215,1
a716e2a4,是的，像,69.099,1611055840,16777215,1
79a12425,其实我也觉得衣服都一般，蜡笔撑起来的,149.15,1611055840,16777215,1
78875676,火恍惚哈,183.349,1611055856,16777215,1
c55089c3,猝不及防,271.238,1611055858,16777215,5
8daf5951,猝不及防,277.52,1611055861,16777215,1
a716e2a4,这个好,86.539,1611055863,16777215,1
bbcf77b4,两人仿佛在说像相声,231.38,1611055863,16777215,1
70774bef,前男友！就是说结婚了吗！,4.668,1611055868,16777215,1
bc0f969a,龙袍,71.726,1611055888,16777215,1
70774bef,10,32.905,1611055899,16777215,1
a8d64305,快跑啊,215.779,1611055900,16777215,1
70774bef,10好贵富,56.176,1611055922,16777215,1
13b64ed8,中下半身消失,144.165,1611055928,16777215,1
ec02204b,漂亮啊,57.43,1611055930,16777215,1
5743cbb8,高产,9.352,1611054076,16777215,1
e63be6ac,啊蜡笔好漂亮！姐我可以！,6.599,1611054082,16777215,1
59fb0f42,好看,39.828,1611054084,16777215,1
11f84372,这个god,43.141,1611054089,16777215,1
bc32ab90,10,32.901,1611054093,16777215,1
663ea0e1,好看,51.505,1611054094,16777215,1
db5c0f10,热乎,20.926,1611054101,16777215,1
dbbb420,真pia亮,10.099,1611054102,16777215,1
7afbb67f,好美啊,9.339,1611054112,16777215,1
9a4ef741,当你看到我时已经不是第一了,0.0,1611054113,52480,5
11f84372,有点老气,70.141,1611054116,16777215,1
9a4ef741,好美！,5.931,1611054133,52480,5
db9a9206,这个好看！,40.744,1611054134,16777215,1
7afbb67f,10,31.119,1611054137,16777215,1
c699b5b1,10,49.253,1611054145,16777215,1
c86b91bc,吸溜,48.638,1611054148,16777215,1
ebb14571,热乎,19.554,1611054148,16777215,1
aa32948c,太瘦了,66.259,1611054149,16777215,1
2d8217f2,有点保守,63.688,1611054154,16777215,1
9a4ef741,麒麟臂,20.724,1611054155,52480,1
d5dabde3,拿个扇子，像说书的,42.419,1611054156,15138834,5
db5743f0,好看,94.601,1611054160,16777215,1
1a517448,10,35.589,1611054168,16777215,1
b420d9c8,这个好看,88.799,1611054168,16777215,1
e63be6ac,啊好看！,87.759,1611054170,16777215,1
663ea0e1,求生欲,128.646,1611054178,16777215,1
ecddb0da,哇奥无,18.075,1611054181,16777215,1
9a4ef741,保镖赚翻了,35.389,1611054188,9033215,5
2d8217f2,dy风十足,98.188,1611054188,16777215,1
5743cbb8,wtw,122.072,1611054189,16777215,1
a87d1c58,好多旗袍啊,62.495,1611054189,16777215,1
598be6d5,这件好漂亮,147.518,1611054192,16777215,1
886f8e0,好看,38.612,1611054193,16777215,1
11f84372,这个有点可爱,147.642,1611054193,16777215,1
c699b5b1,好啊,97.998,1611054194,16777215,1
ebb14571,这个好看,34.779,1611054198,16777215,1
45bb9bbd,这话说的太漂亮了！,129.303,1611054205,16777215,1
ecddb0da,这件好看,56.94,1611054220,16777215,1
c699b5b1,敷衍,126.473,1611054223,16777215,1
dbbb420,保镖会说话了,126.339,1611054225,16777215,1
97604a76,这件爱了,155.509,1611054234,16777215,1
9a4ef741,你手摸哪呢,61.526,1611054239,16776960,5
1fdb8c91,10,95.079,1611054240,16777215,1
7631bef3,来了,13.93,1611054243,16777215,1
abbfef71,好美啊！,26.955,1611054248,16777215,1
df572d4c,猝不及防,275.434,1611054255,16777215,1
38d6a901,我想到了旺大礼包,182.438,1611054255,16777215,1
ecddb0da,穿回家被打,96.971,1611054260,16777215,1
4d7d39b7,王老师,116.079,1611054262,16777215,1
abbfef71,好适合红色,42.23,1611054263,16777215,1
dfa30e80,10,38.846,1611054265,16777215,1
34d6b719,10,38.664,1611054267,16777215,1
c11298eb,这件好看,143.779,1611054273,16777215,1
9a4ef741,影流之主,86.112,1611054287,16646914,5
2d8217f2,笑死我了,181.298,1611054295,16777215,1
1a9d32da,这有点少，皮肤少了,53.84,1611054298,16777215,1
df572d4c,早在视频刚打开的时候就打好了猝不及防,279.526,1611054298,16777215,1
2d8217f2,这是红包吗,191.297,1611054304,16777215,1
ecb468b3,好遥,92.054,1611054311,16777215,1
4b94451d,这个好看,139.777,1611054317,16777215,1
9a4ef741,自己人别开嗓,108.256,1611054318,16646914,5
85bb1bdf,10,37.343,1611054319,16777215,1
8834e6e8,这个好,203.778,1611054325,16777215,1
b9474ef7,10,37.376,1611054327,16777215,1
