Sender,DmContent,AppearTime,SendTime,FontColor,DmType
fbb96e4,刚，烫手,1.371,1610859090,16777215,1
30459d3f,保底没了,15.316,1610859093,16777215,1
1860f3e3,1播放,0.0,1610859102,16777215,1
478625c7,刚烫的一批,40.661,1610859120,16777215,1
77138f4c,凯亚狂喜,108.694,1610859144,16777215,1
aff9483d,来了,0.0,1610859171,16646914,5
e9ca9822,我好快啊,4.037,1610859184,16777215,1
d7edc634,还热腾着呢,12.699,1610859190,16777215,1
e8397f64,2分钟，热乎,0.0,1610859201,16740868,5
eb1980f6,BGM有点不简单。,59.505,1610859202,16777215,1
fbb96e4,风鹰铠甲,108.34,1610859206,16777215,1
1f67252d,热乎的橙子,11.619,1610859219,16777215,1
9765d396,谢，有被随便到,1.074,1610859237,41194,1
72c906b5,随便抽一下,18.419,1610859318,16777215,1
860832e3,是欧洲橙,49.723,1610859338,16777215,1
