Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ac609a94,丁儿是红队,158.575,1611076058,16777215,5
cc307eb2,啊太可爱了吧！,1207.166,1611076058,41194,5
8c2566c7,哈，丁儿是想把霖埋进去吗哈,1240.346,1611076059,14811775,5
6d98de12,辛苦了,1361.48,1611076063,16707842,1
ccc092ca,辛苦了,1358.608,1611076063,16777215,1
da3c2adf,我想试一下，丁哥你来小张真的说话好软好可爱啊,829.835,1611076066,16777215,1
7b25c387,宝贝只是个称呼海王都是们,42.221,1611076069,14811775,1
bd40a778,贺逃跑的样子太好笑了,1184.433,1611076070,16707842,5
2fc66ee6,吻文你好可爱啊,503.784,1611076072,16777215,5
2b4b0564,丁儿哈干嘛呀！,1220.292,1611076072,16777215,1
19448b91,哈太好笑了,1345.396,1611076072,16777215,1
6596a7c5,感觉看了个寂寞，都看不见孩子,328.576,1611076072,16777215,1
8942423e,救命！这让我想起小张公主抱翔哥的场景哈,555.43,1611076073,16777215,1
8c4f6284,想看马哥,70.823,1611076084,16777215,1
c27785f8,宋老师带预言家,587.177,1611076085,16707842,5
2fc66ee6,飞得好远噢吻文,509.8,1611076087,14811775,5
5b0363aa,不止20了吧哈,1249.668,1611076088,16777215,1
93a00166,贺儿太好玩了,894.207,1611076090,16777215,1
1d71da20,姐妹们把严王厉害打在公屏上,1339.646,1611076091,9487136,1
2fc66ee6,吻文笑的好开心啊,509.8,1611076092,14811775,5
930114db,啊这都是谁啊！,331.764,1611076093,16777215,1
8145ffbf,我为什么大晚上在这看小朋友蹦床？,771.414,1611076094,16707842,1
8942423e,翔哥你怎么这么像大炮哈,555.43,1611076094,16777215,1
8922acfb,哈好搞笑,1346.418,1611076096,38979,1
c55f7f09,救命耀文这个回眸好帅,477.144,1611076098,14811775,5
11fc0690,太可爱了文崽,313.133,1611076099,16707842,5
32bab0b5,翔子，勇啊,1224.425,1611076101,16777215,1
489e8112,原谅我一下子又没看出左下角的小朋友是谁,1301.972,1611076104,15138834,1
1d71da20,严王厉害,1340.401,1611076106,15138834,1
930e257f,今天不用睡了,30.901,1611076107,16777215,1
e333fc58,woc,13.237,1611076108,16777215,1
54dc1e6,好康的人穿秋衣都这么挺拔呜,585.941,1611076113,41194,1
9c8e7a82,吻文小朋友好开心哟,512.19,1611076114,41194,1
d73f2c6e,哈后期有毒哈,1152.608,1611076117,16707842,1
87a7dbab,太可爱了吧小宋老师！,1351.188,1611076120,8700107,5
fdac3ae7,好疼看着，宋亚轩你小心点,1040.621,1611076122,16777215,1
bd40a778,可爱暴击,1206.216,1611076122,16707842,5
61dbb2d6,文轩准备，开始执行跟随任务,463.083,1611076123,16777215,1
4954e303,准备好了吗，文轩批，轩要来了,42.455,1611076123,16707842,5
bf46cddf,一根寻求刺鸡的胡萝卜,595.276,1611076124,8700107,1
93a00166,贺儿像个莫得感情的娃,896.425,1611076127,16777215,1
9f659db9,谁说了句我丢哈,175.405,1611076129,16777215,1
7a2e5907,这就是成年男人吗,776.834,1611076133,16777215,5
4ddbc9be,哈夺笋哪,1309.353,1611076134,16777215,1
2254d3a9,你的严王，无限猖狂,1348.089,1611076136,16646914,5
30defca4,是硬糖来过的吗,413.365,1611076137,16777215,1
2fc66ee6,刘耀文好可爱我滴天啊,511.592,1611076137,14811775,5
d73f2c6e,哈太难了,1169.337,1611076141,16707842,1
814142f,贺峻霖赶快走吧别去,977.021,1611076146,16777215,1
593f2be1,辛苦啦,1362.473,1611076146,16707842,5
d9f8c808,轩好白,470.87,1611076150,16777215,1
a8e26658,哈仙子落泪,1177.069,1611076151,16777215,1
61dbb2d6,前方高能，文轩预警,464.271,1611076151,16777215,1
76302f9b,辛苦啦,1363.081,1611076151,16777215,1
50b53f,？张哥这个脚劲杀我啊,752.606,1611076152,52480,1
8c4f6284,退了,173.798,1611076154,16777215,1
3fad94f6,辛苦了,1362.436,1611076155,16777215,1
8942423e,好长一条胡萝卜,581.505,1611076156,16777215,1
54dc1e6,哈吻文太可爱了,619.961,1611076157,16707842,1
8922acfb,晚安，各位,1354.124,1611076158,38979,1
d46e0faa,哈贺太可爱了,1124.641,1611076158,16777215,1
d38f52a2,啊文轩好甜,461.768,1611076165,16777215,1
9c8e7a82,耀文拉了就走无情哈,541.674,1611076166,41194,1
4f2050c1,见外了,1022.538,1611076168,16777215,1
58f390dd,tnt离不开的背景音乐哈,714.11,1611076169,16777215,1
d73f2c6e,哈早该跑了,1185.718,1611076171,16707842,1
8942423e,刘耀文老胡萝卜了哈,581.505,1611076173,16777215,1
289d5295,来了！,13.122,1611076175,16777215,1
c55f7f09,文小朋友太可爱啦,499.215,1611076175,14811775,5
3af37d5a,来啦,13.253,1611076175,16777215,1
77ab7c2c,哈，锰男抱胸,617.627,1611076176,16777215,1
4954e303,刘耀文真的太帅了，身材好呜，我的梦想男友啊,67.161,1611076178,16707842,5
3bdbee75,小贺的衣服我又喜欢了,425.535,1611076180,16777215,1
b226589f,这个环节贺儿直接消失哈,642.116,1611076184,16777215,1
