Sender,DmContent,AppearTime,SendTime,FontColor,DmType
9575d2ae,可怕,1977.497,1611055019,16777215,1
451fd614,同上,3604.85,1611055040,16777215,1
33e08f0,过去的就是过去了，都把姐伤透了再转头说变了，心早就凉了,4404.207,1611055043,16777215,1
96bfd96c,你牛逼的话，你家里市区一套房，一辆甚至两辆车，都是你自己，或者你们俩自己挣得，你当然硬气。,2738.655,1611055045,16777215,1
e4ff5a98,长的好看还能挣钱，你还要啥自行车啊,2363.019,1611055049,16777215,1
51c1e013,参加这个节目也挺好的，通过镜头以第三方视角审视了自己,3110.739,1611055060,16777215,1
a650cae3,你在说什么？,2802.641,1611055060,16777215,1
de9b8b96,讲来讲去离婚都是别人的问题,2916.735,1611055064,16777215,1
ff52a28a,还是沟通问题,2510.556,1611055070,16777215,1
e9c5b660,这姐真的很帅气啊,1478.936,1611055078,16777215,1
64f98e3e,没戏当女人不流泪了就是真的累了,4039.085,1611055084,16777215,1
d21e2be4,我也反对,3515.348,1611055090,16777215,1
e9c5b660,两个人都很好，但就是不合适罢了,1494.394,1611055110,16777215,1
e8e3b1a3,不敢看了草,1975.849,1611055134,16777215,1
e471b9ba,哈在哪都躲不过zs了,1475.681,1611055134,16777215,1
9227df22,这。,2221.039,1611055143,16777215,1
af357ce7,离婚原因一直不说诶,2555.035,1611055148,16777215,1
b16e5c29,你和儿子结婚吧无语了,2067.723,1611055150,16777215,1
5504a05,就算是问候，你还会从其他方面挑毛病,2249.854,1611055152,16777215,1
51c1e013,爸是不是被骂怕了哈,3178.759,1611055154,16777215,1
267fa339,说话嘴巴不能张开么。,2084.026,1611055156,16777215,1
16c2df3b,当初伤害的时候咋就没想过呢，世上没有后悔药,4622.165,1611055162,16777215,1
e9c5b660,男生偏感性，女生理性更多。他们其实都挺好，只是不合适而已,1520.268,1611055162,16777215,1
db9ff5d9,深情男,1380.693,1611055167,16777215,1
96bfd96c,外来的钱不安心，本来就是，你凭空得到的，你自己安心吗？,2780.372,1611055172,16777215,1
1a528052,人家是已经不爱了好不好,4342.846,1611055174,16777215,1
d21e2be4,因为已经受过伤如果下一次又再同一个问题上受伤那更难缓过来,3547.177,1611055174,16777215,1
2d225abf,醉了这发言,2792.751,1611055186,16777215,1
e9c5b660,男生是以身作则的人啊，很赞,1541.726,1611055188,16777215,1
e4ff5a98,买不起大房子就买小的，女方家不想出干嘛挑刺,2477.379,1611055193,16777215,1
9227df22,其实从一开始就不喜欢,2273.69,1611055196,16777215,1
e8e3b1a3,我都搞不清是在演戏还是真实了,2032.009,1611055206,16777215,1
e9c5b660,两个人都真的很好，只是不合适而已,1550.969,1611055206,16777215,1
72050a0b,故意黑吧洗白韩网扒他太多要改舆论？,2704.599,1611055212,16777215,1
8c4a26b7,来洗白了不会吧,2647.401,1611055217,16777215,1
b5b3533c,礼节在韩国很重要啊,2248.798,1611055220,16777215,1
267fa339,知道你看到了我就放心了,2108.531,1611055226,16777215,1
28cf7f1a,每个人都很好放一起不一定好,1571.802,1611055243,16777215,1
64f98e3e,刚才这男的说那么多的时候女的没有流眼泪就说明了一切,4211.535,1611055256,16777215,1
f510a690,这家完全男女颠倒啊,213.899,1611055257,16777215,1
9cef7445,确实误会人家爸了对不起烤肉爸,3227.366,1611055258,16777215,1
42ba33c6,这也太精致了,381.624,1611055263,16777215,1
96bfd96c,伤父亲心就另说了，女权在弹幕是真的牛逼，你什么都不用管，什么都是别人准备好给你放到面前。,2801.966,1611055264,16777215,1
e4ff5a98,没法复婚，就算公没了，还有大姑子呢,2533.239,1611055271,16777215,1
e9c5b660,两个人都在认真履行自己的责任，只是不合适而已,1627.272,1611055285,16777215,1
33e08f0,真想挽回，就用实际行动吧，天好守护她,4660.395,1611055299,16777215,1
54ecd657,还是短发没有胡子好看，现在很油腻,451.391,1611055300,16777215,1
e8e3b1a3,呀你居然知道哈真不好意思会继续的哈,2101.369,1611055306,16777215,1
bed8a5fa,对儿子不是强势的人只是对儿媳妇是强势的人,3168.499,1611055318,16777215,1
42ba33c6,姐太果断了,484.443,1611055324,16777215,1
64f98e3e,不爱就是不爱了也别说太多了,4287.483,1611055332,16777215,1
e9c5b660,这对夫妇能看出来人真的很好,1689.589,1611055343,16777215,1
