Sender,DmContent,AppearTime,SendTime,FontColor,DmType
de0413e,全程问号,107.317,1610977371,16777215,1
2b861f98,这身材绝了,21.186,1610976239,16777215,1
2b861f98,这已经不是衣服的差距了,56.521,1610976275,16777215,1
2b861f98,随便穿都好看啊,74.867,1610976293,16777215,1
ad0b42a1,单看搭配真的,110.856,1610975721,16777215,1
a7cb47d2,衣服太丑了人美的不行,25.329,1610974061,16777215,1
a73f20bf,啊这,7.713,1610974197,16777215,1
4f8ce98f,就离谱,40.406,1610974806,16777215,1
774d0253,漂亮姐穿什么都好看,44.105,1610973161,16777215,1
10e6f566,不符合俺的审美,71.799,1610973084,16777215,1
