Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c62b9efa,鱼吧老哥,1029.097,1611054108,16777215,1
ff65b279,秋名山下的加油站破案了，藤原拓海干的,77.28,1611054108,16777215,1
923edeb0,就是他了,425.951,1611054110,16777215,1
4c2ed5d6,你能统计出来也很神奇,1055.903,1611054110,16777215,1
604af45a,哪天出个案件又不同了，终究世间无法面俱到，人更没有上帝视角,817.06,1611054111,16777215,1
223e6c8a,越是熟悉越容易掉以轻心。,382.82,1611054127,16777215,1
2571d710,听着像作死型,492.722,1611054130,16777215,1
24e25069,固若金汤,139.203,1611054132,16777215,1
5d71cf22,随机杀人？那个年代碰上这种随机杀人的真是无解更何况还是在大山里,577.441,1611054141,16777215,1
33deccb3,鬼节懂了鬼阻止妈和弟去dog,206.502,1611054164,16777215,1
27ef4393,来了,8.185,1611054164,16777215,1
8e266d9,别人愿意点评啥，你管那么宽,287.559,1611054177,16777215,1
3f16723f,别提狗头马面,121.785,1611054185,16707842,1
f37fa049,一小时热再吃,26.765,1611054189,16777215,1
3caf4477,老夫山村操不请自来,25.817,1611054211,15138834,1
ea539e13,或许只有她自己才知道了,152.45,1611054212,16777215,1
21c239f8,一千米的地方穿高跟鞋？,255.723,1611054217,16777215,1
223e6c8a,别杠了,474.099,1611054226,16777215,1
88551e4b,金汤肥牛,149.867,1611054245,16777215,1
8c7075ea,登山客很少能手头有刀吧,1057.221,1611054249,16777215,1
f9947ea2,3次,792.191,1611054261,16777215,1
927d0355,可那个年代我们也没那么多摄像头吧,1064.428,1611054265,16777215,1
b0ea3542,害怕,964.165,1611054267,16777215,1
eca6a217,热乎,24.48,1611054268,16777215,1
fe5cc0b,可还行,502.76,1611054269,16777215,5
74942aa5,弹幕啥啊都是咋就作死了你在路上遇到陌生人要载你敢轻易上吗？,803.382,1611054270,16777215,1
c5d32467,？不怪凶手怪受害者不够警惕？你是神仙吗随时随地都有警惕意识,800.54,1611054275,16777215,1
2ef8ce3,自找的,528.601,1611054280,16777215,1
f0bb6706,好家伙,78.339,1611054281,16777215,1
a0c8f28d,搭陌生人的车就不会遇害？,808.9,1611054284,16777215,1
8f9ec043,金汤鱼粉,127.717,1611054288,16777215,1
2b44bdcc,群马县秋名山,38.878,1611054292,16777215,1
8e151407,马老师的家,47.091,1611054314,16777215,1
77087da0,个人觉得这种穿运动鞋会比较搭吧哈,246.399,1611054323,16777215,1
4f49cf61,可能这就是宿命吧,289.823,1611054337,16777215,1
223e6c8a,可怜安息,581.18,1611054341,16777215,1
a0c8f28d,全在指责被害人可还行,828.26,1611054345,16777215,1
fe5cc0b,变态随机作案？,573.839,1611054349,16777215,5
33deccb3,真是觉得老天都不让你去了你还去,398.236,1611054358,16777215,1
55963fb6,完了,540.951,1611054359,16777215,1
c257b4e1,可恶猜错了,170.303,1611054365,16777215,1
27ef4393,有的,180.34,1611054371,16777215,1
d93a355a,买的运动鞋正好穿着走下山顺便游玩也许有这种考虑,778.714,1611054380,16777215,1
89bfb5da,金汤路,153.026,1611054384,16777215,1
27ef4393,大家吃饭了没,200.339,1611054400,16777215,1
51cdcc54,七零年代国内有摄像头吗,1060.298,1611054424,16777215,1
acb37070,今天看哪都是郑爽，看的闹心。,73.36,1611054433,16777215,1
88551e4b,女孩子独自出远门还是穿得低调些比较安全,275.382,1611054436,16777215,1
65888e73,青岛k姐,35.721,1611054451,16777215,1
28b649e2,这真是自己作死的,509.459,1611054453,16777215,1
e123929f,死神来了,204.777,1611054456,16777215,1
92e2e779,热乎,9.429,1611054462,16777215,1
8e266d9,前面怎么整出三大宽容了，大过年的，还是孩子，人都死了,540.159,1611054469,16777215,1
9d405822,第二天八点,411.584,1611054471,16777215,1
d5ab4f15,唉，,457.577,1611054475,16646914,1
c43dcf3d,大家好，他是日暮警官,1.014,1611054476,16777215,1
e123929f,？高跟鞋,235.839,1611054495,16777215,1
66877a70,可能是害怕被牵扯,917.666,1611054501,16777215,1
dd1a1655,无差别杀人,733.011,1611054506,16777215,1
c43dcf3d,或许只有她自己知道了,26.815,1611054523,16777215,1
dd129b1a,听人劝，吃饱饭,529.281,1611054530,16777215,1
cebbb756,你是我眼中棒的UP,69.102,1611054533,16777215,1
72cefd82,往山上走要3小时，往下估计不到1小时就行,474.994,1611054533,16777215,1
acb37070,被汤婆变成猪了,158.079,1611054539,16777215,1
70633647,柯南标题,1.048,1611054548,16776960,5
5234ffed,拒绝了可还行,793.865,1611054553,16777215,1
8cb9ba8d,迷雾山脉,104.482,1611054574,16777215,1
8cb9ba8d,MistyMountains,105.483,1611054588,16777215,1
2ef8ce3,该死活该,795.561,1611054590,16777215,1
cef177a7,山村警官,22.033,1611054594,16777215,1
ec1c8bc8,没回家时候就该报警了可能她平时很独立家人太放心,512.979,1611054598,16777215,1
13eb1b31,老威,14.654,1611054603,16777215,1
9c3480af,又是钓鱼佬,870.211,1611054620,16777215,1
9ed89c1c,开始了，每次都有受害者有罪论,496.393,1611054627,16777215,1
5988e6bc,1972年国内山上有摄像头？,1062.224,1611054629,16777215,1
9c3480af,石田三成,881.538,1611054636,16777215,1
cebbb756,哈士奇市,54.868,1611054644,16777215,1
9ff64c07,这音效过于真实1,541.785,1611054649,16777215,1
a845061,日本警方效率世界排名一直靠前，以为发达国家是怎么来的？无知,735.237,1611054657,16777215,1
5e54afb6,也许只有她自己才知道,1099.29,1611054681,16777215,1
59808f1d,太恐怖了啊,940.724,1611054694,16777215,1
33deccb3,日本看身份是看健康证和车本的,743.557,1611054703,16777215,1
85b0826f,怪的,213.018,1611054727,16777215,1
f199a158,我怀疑是自拍,984.305,1611054736,16777215,1
8cb9ba8d,骧龙,242.509,1611054743,16777215,1
12b75b49,不是受害者有罪论，这就叫作死,509.875,1611054759,16777215,1
31e627c0,我想要个热评，可以满足我吗,680.92,1611054760,16777215,1
a27cca35,为什么杀人？,1007.556,1611054771,16777215,1
ba39b82d,弹幕们，这有啥好疑问的？上陌生人的车也不安全啊！,792.937,1611054787,15138834,5
fd26294f,山村操菜鸟警官的未解悬案,53.605,1611054791,16777215,1
59808f1d,20多刀真是太残忍变态了,1037.861,1611054791,16777215,1
1f9d6a18,日本特色的牛趾鞋,638.293,1611054811,16777215,1
8540c6a6,作死,355.838,1611054811,16777215,1
cebbb756,爱你呦,2.525,1611054827,16777215,1
9f1fd281,？三四个小时还要自己走？,353.642,1611054831,16777215,1
a48d0165,钓鱼佬,870.541,1611054836,16777215,1
16033f8b,哈菜鸟警官,590.06,1611054838,16777215,1
f61325d,请问谁说受害者有罪了,498.92,1611054876,16777215,1
b8d93df1,吓死了,935.05,1611054883,16777215,1
4a372f56,操哥哈,56.917,1611054889,16777215,1
1f9d6a18,登记假名字是搞破鞋来的吧,708.253,1611054903,16777215,1
8540c6a6,真的作死,464.278,1611054919,16777215,1
c3fdb9f2,早上8点,411.996,1611054923,16777215,1
e7f73184,真落后，我大中华那会已经人手一台手机了,319.73,1611054925,16777215,1
8d905256,不是有罪，是她不顾及自身安危，在座的各位都应该从中学到教训,498.784,1611054926,16777215,1
ba39b82d,难道是已经遇害后的尸体照片？,912.958,1611054941,16707842,5
d2bc41f5,1970年中国也没有啊,1065.876,1611054947,16777215,1
17823cce,或许只有他自己知道,11.551,1611054960,104601,1
5f6a0a74,漂亮警告,32.461,1611054969,16777215,1
c2c9f096,赶紧10w啊,37.582,1611054972,16777215,1
37ad92c9,空条Q太郎,715.16,1611054973,16777215,1
ff65b279,逃犯,617.8,1611054986,16777215,1
17823cce,42岁,33.055,1611054992,104601,1
b549ee4,热乎,10.58,1611053222,16777215,1
22cff849,啊好吓人,934.417,1611053225,16777215,1
2dee8297,星期天,164.701,1611053228,16777215,1
285e4000,说不定她认为这家人反而是坏人天啊,800.728,1611053235,16777215,1
65675dd0,那出大问题了呀，随机作案是最难找的，有可能又得像某些别的案子一样等凶手以后作案时翻车才行了,676.241,1611053246,16777215,1
4f6b05e9,赴死啊,800.672,1611053249,16777215,1
c88cf5d8,一只手表，一只照相机,587.943,1611053265,16777215,1
2f18e2f9,我觉得这姑娘脾气挺急的,448.319,1611053266,16777215,1
9a8145c5,说了个寂寞,1105.564,1611053272,16777215,1
2dee8297,地球仪上有黑点在动,192.495,1611053273,16777215,1
ff51bf6c,也许只有她自己知道,159.068,1611053276,16777215,1
850fa0f3,这弟头发不对,100.186,1611053286,16777215,1
4acedc7f,真就作死呗,793.917,1611053286,16777215,1
72fd5d9f,山村警官该我出场了,585.792,1611053288,16777215,1
7a132bdf,不远,10.984,1611053289,16777215,1
f6fde356,追逐问题,782.507,1611053298,16777215,1
8a39dd9c,看了个寂寞,1095.316,1611053303,16777215,1
bf8678f,不远，172的都听过。狗头。,11.821,1611053305,16777215,1
d8b0c917,就这？,1101.97,1611053315,16777215,1
2f2b56c4,钓鱼佬从不空军不是,1027.287,1611053321,16777215,1
a3daca1d,说没身份证的我们国家早在8090年代有身份证的去酒店入住有的也不要登记你的身份证信息的,732.871,1611053325,16777215,1
74cc8dc4,难道没有qj就不进行认真的调查了吗？只有qi才能引起重视吗？什么观点啊,734.23,1611053334,16777215,1
886afaf5,感觉K小姐是故意留下这张照片,873.205,1611053338,16777215,1
2dc13315,太阴间了这张,944.263,1611053338,16777215,1
4d6feff2,怎么不找黑田兵卫！,70.271,1611053341,16777215,1
c807928d,群马县警doge,54.784,1611053342,16777215,1
850fa0f3,只有他自己知道,163.7,1611053350,16777215,1
e0f56f6,绝地求生？,233.473,1611053353,16777215,1
853b5e0e,1个小时车程？,390.156,1611053377,16777215,1
75483c5d,意思鞋白买了,388.987,1611053379,16777215,1
4c2ed5d6,又说她去过怎么好像第一次来一样乱来,375.029,1611053388,16777215,1
b8273e3f,也听人劝，吃饱饭,371.074,1611053403,16777215,5
445ffcac,爸和姐哭了,110.534,1611053403,16777215,1
c96525e8,无语，怎么那么爱点评女性的穿搭？,267.985,1611053416,16777215,1
65675dd0,不要多说被害什么吧尤其是被害都已经是死人了,819.321,1611053420,16777215,1
e0f56f6,现在的日本也是很不便,308.594,1611053434,16777215,1
e84fb9a0,她可能想边走边欣赏风景所以要走下山,458.868,1611053435,16777215,1
72fd5d9f,三次了，可惜了,798.613,1611053445,16777215,1
4eec4335,伊势崎isesaki,53.388,1611053447,16777215,1
59873c02,港诡实录,96.727,1611053448,16777215,1
2dc13315,这么多钓鱼佬,1055.462,1611053450,16777215,1
853b5e0e,不作死就不会死,463.356,1611053455,16777215,1
c96525e8,而且这还叫花里胡哨？,267.985,1611053464,16777215,1
f79f854a,和拓海一样,71.38,1611053468,16777215,1
e69cebe,真是三番五次有人在救她非要走唉,799.038,1611053480,16707842,5
453e9e04,提前只有他自己知道,19.963,1611053481,16777215,1
7cd2ddcd,作死,800.526,1611053488,15138834,1
7ac9b837,外出旅行还穿高跟鞋吗,242.579,1611053499,16777215,1
f6888050,故事的主人公都是这样喜欢冒险旅游的，我也是好害怕,81.085,1611053508,15138834,1
4c2ed5d6,徒步要三四个小时这还走不说危险不危险你一个女孩子怎么那么好体力？,469.613,1611053515,16777215,1
442257c9,好像幻影凶间，上帝在男主送死的路上一直提醒他回头，结果男主做了最差的选择,459.788,1611053522,16777215,1
8c7075ea,我有一次被黑车司机骗了扔在荒郊野岭那种偏僻地方确实挺危险,477.953,1611053524,16777215,1
b93526a4,挺无语的，人家去旅游想徒步感受一下景色，当时也没想那么多吧，怎么还死者有罪了呢？,490.24,1611053524,16777215,1
fdb29c78,鬼节尽量在家吧,113.099,1611053540,16777215,1
853b5e0e,这音效可以奥,542.036,1611053544,16777215,1
e0925396,还是国内好，到处有摄像头覆盖,1057.199,1611053549,16777215,1
67e9cbba,盲猜星期五,154.866,1611053568,16777215,1
4eec4335,也许只有她自己知道,154.947,1611053572,15138834,5
110120dd,这都叫花里胡哨啊,273.463,1611053587,16777215,1
b7f32c26,魔怔了,812.819,1611053587,16777215,1
9917e10,胆子太大了，失踪也就不奇怪了,457.477,1611053588,16777215,1
4eec4335,周三,166.347,1611053589,15138834,5
d2bc41f5,受害者有罪论？,468.884,1611053628,16777215,1
4c2ed5d6,弹幕怎么知道不是仇杀？,576.458,1611053630,16777215,1
f4237641,跟千与千寻里的场景好像,133.545,1611053632,16777215,1
f38a425e,石田雨龙,850.388,1611053641,16777215,1
7d59c93b,这都看不出是男是女,832.64,1611053642,16777215,1
8540c6a6,弹幕都没几个你在这跟谁讲礼仪呢,188.071,1611053706,16777215,1
6763a9b9,警察尽力了,1080.35,1611053708,16777215,1
91c23b37,意识knight,55.404,1611053709,16777215,1
2af5418c,可能这就是性格决定命运,796.225,1611053712,16777215,1
eb96190c,听成了钓鱼佬,1029.3,1611053729,16777215,1
cbbdaabc,热乎,8.002,1611053742,16777215,1
a092761f,说了她性格内向不喜欢麻烦别人,818.926,1611053753,16777215,1
65675dd0,没有动机就是最麻烦的，看wil描述这个案子应该是个随机作案,1088.918,1611053757,16777215,1
7e624129,82年，叫叔,301.701,1611053767,16777215,1
a0c8f28d,弹幕素质低下,486.08,1611053767,16777215,1
e2580588,AK,210.219,1611053775,16777215,1
4c2ed5d6,生意兴隆啊,721.647,1611053776,16777215,1
930714de,山村操？,8.358,1611053796,16777215,1
d9cb7cdd,热乎,3.757,1611053801,16777215,1
d4c1a48f,你好,4.631,1611053808,16777215,1
7f00cab3,那个时候国内也没有摄像头，土鳖,1076.397,1611053809,16777215,1
31627c69,这是什么穿搭,234.302,1611053812,16777215,1
3ccaef73,大家好他是暮警官,2.099,1611053823,16777215,1
358e9acb,为什么要匿名,56.877,1611053830,16777215,1
69b16d6c,吓人！,940.485,1611053843,16777215,1
8c7075ea,日本警察一直都很高效的，只是有个别失职特别显眼,725.525,1611053861,16777215,1
4202733e,这里似乎是北海道,724.301,1611053882,16777215,1
1be8d832,群马县最快，藤原文太,49.338,1611053895,16777215,1
