Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6af07978,听着这么像葡萄酒庄园,37.117,1611069114,16777215,1
6af07978,啊？对马的那个阿姨吗,67.219,1611069160,16777215,1
5e273a6b,这里建议放马大师原声大碟原音,143.898,1611067288,16777215,1
2816f91,跳戏。,133.385,1611063699,16777215,1
638e0883,23,147.949,1611063941,16777215,1
3adc2e17,平保国,96.748,1611064090,16777215,1
3adc2e17,平保国,162.748,1611064156,16777215,1
9fedbed0,耗子尾汁,158.709,1611064328,16777215,1
5a1df472,啪的一声很快啊,78.736,1611064460,16777215,1
5a1df472,大太古代两字通,97.951,1611064596,16777215,1
5a1df472,原来九州几个大族都是平氏一脉,104.758,1611064675,16777215,1
6b43830f,藤原氏贵族啊,201.627,1611064855,16777215,1
ab637a2d,用两个词就可以概括南九州的历史隼人岛津,48.958,1611066157,16777215,1
990112b8,老下克上了,187.118,1611066468,16777215,1
