Sender,DmContent,AppearTime,SendTime,FontColor,DmType
68563cd3,她和胜利是邻居,1737.657,1610905625,16777215,1
ece7b42f,李胜利对门,1691.277,1610891701,16777215,1
6f34c335,韩国人睡的真少,1385.23,1610874136,16777215,1
aa544b29,经纪人真好,1395.35,1610874737,16777215,1
229f6549,看着好害怕,1151.392,1610875733,16777215,1
229f6549,打光不自然,1279.559,1610875862,16777215,1
229f6549,经纪人拍的背影比摄影师拍的封面好看多了,1297.843,1610875903,16777215,1
229f6549,会做饭的男人好帅,1411.927,1610876019,16777215,1
229f6549,俊男美女，羡慕,1661.946,1610876275,16777215,1
229f6549,抖音迷惑韩国,1683.609,1610876308,16777215,1
229f6549,豪宅,1714.487,1610876341,16777215,1
229f6549,拍抖音吗,1815.756,1610876443,16777215,1
a053d7ca,好看啊,1260.492,1610876479,16777215,1
dba69300,家里好大，装修很高级,1701.775,1610877034,16777215,1
dba69300,丈夫应该也是经济实力强的类型,1718.396,1610877068,16777215,1
229f6549,直男果然不会拍照,3866.52,1610877192,16777215,1
f74e8c,哈孩子摸鼻子，再摸食材,2337.405,1610877282,16777215,1
229f6549,善花啊，偶像演员还是不要随便发表政治言论哦,4267.349,1610877645,16777215,1
be96c00f,像CG一样,1159.779,1610879281,16777215,1
f985b1e5,好听,97.638,1610880376,16777215,1
75b0b8c5,不恐高真好。,1140.992,1610880466,16777215,1
75b0b8c5,姐长得真好看啊,1272.795,1610880579,16777215,1
75b0b8c5,经纪人拍的更好看呢，哈,1297.498,1610880630,16777215,1
dba69300,哈笑死了,4742.539,1610880969,16777215,1
dba69300,普通人还是没那个演技,4744.419,1610880981,16777215,1
bea6cc89,啊好久不见善花,4190.633,1610881415,16777215,1
d476dc07,可以,4510.041,1610882692,16777215,1
fcd9fe5f,这哪里政治了不就是口音吗,4280.963,1610883282,16777215,1
75b0b8c5,这个不算政治言论吧。,4287.271,1610883846,16777215,1
b3bd74a0,这姐中国抖音有号,1705.954,1610883850,16777215,1
e9c682e9,她跟胜利邻居,1718.967,1610884245,16777215,1
1d94650,好美,1264.352,1610888846,16777215,1
1d94650,经纪人真的好会拍,1300.311,1610888895,16777215,1
d476dc07,不错,2884.951,1610873108,16777215,1
d476dc07,没得,2894.95,1610873118,16777215,1
d23ab820,这孩子长的和妈一点都不像啊哈,2037.416,1610872673,16777215,1
