Sender,DmContent,AppearTime,SendTime,FontColor,DmType
1b573f7c,这个粉底超好用！我吹爆！,83.004,1610954565,16777215,1
b969832c,这个绿的绝了,246.401,1610954590,16777215,1
f3a81ed1,啊很美,18.729,1610955040,16777215,1
a29d1b02,眼线感觉怪的,41.588,1610955185,16777215,1
3f2321af,来啦,7.61,1610955198,16777215,1
3f2321af,最近太高产啦,17.162,1610955207,16777215,1
25d3d857,好前！,6.369,1610955390,16777215,1
45e0bb9a,每次都美出新高度,34.708,1610955444,16777215,1
eb76ac9e,我太牛啦！,10.425,1610953690,16777215,1
ea896807,4分钟，真巧,5.28,1610953699,16777215,1
cfd8bcc8,这个皮肤绝了,100.385,1610953721,16777215,1
b804f599,娇兰最近买了多少推广,125.895,1610953743,16777215,1
cfd8bcc8,艺高人胆大,264.054,1610953991,16777215,1
ec8fdb3f,前排第一！,8.879,1610953995,16777215,1
75c5022b,美女都没有毛孔的吗,129.325,1610954059,16777215,1
1e4a2550,大哥好,14.16,1610954145,16777215,1
8113c706,近看绝了这姐,10.338,1610954351,9033215,1
33b12e5e,来啦,3.135,1610953443,16777215,1
74537dec,热乎！,0.363,1610953480,16777215,1
