Sender,DmContent,AppearTime,SendTime,FontColor,DmType
2ae0def2,起范啊,156.415,1610888671,16777215,1
2ae0def2,爱了金起范！,158.548,1610888696,16777215,1
69e7c139,蹦米好看又帅气！,157.757,1610888696,41194,5
12defe7c,来了,3.432,1610888707,16777215,1
656d9328,第一！晚上9点05,13.986,1610888718,16777215,1
9c507e64,怎么感觉像小勋的相机,68.542,1610888745,16777215,1
75ddeeb2,小学生泰古,95.336,1610888792,14811775,1
570e19be,娜莱当初出道的时候哈,133.352,1610888818,16777215,1
12defe7c,sence,196.257,1610888861,16777215,1
89a0b2e8,来了来啦蹦米！,1.039,1610888888,16777215,1
75ddeeb2,泰妍在旁边看著好可爱啊k,186.856,1610888943,16777215,1
38ebf0f9,这个胶卷相机是找小勋拿的吧哈，他有这个来着,81.03,1610888948,16777215,1
266007a3,Taeng古好可爱,96.623,1610888949,16777215,1
75ddeeb2,泰古kiyo,239.699,1610889032,16777215,1
2fe94317,这星期更新早了啊，舒服,39.66,1610889056,16777215,1
89a0b2e8,帅哥小金！,157.007,1610889059,16777215,1
6ff45fd5,播放的版本是高耀太翻唱的版本，现在是钟旼的声音,2793.854,1610889152,16777215,1
570e19be,惊六的魅力总是能邀请到不常上综艺玩的嘉宾,454.332,1610889208,16777215,1
35f441cd,姐可爱,100.369,1610889218,16777215,1
17e64e0c,蹦米我来了,11.855,1610889245,16777215,1
a58e997c,金起范大帅哥,67.142,1610889252,14811775,1
17e64e0c,来了,23.312,1610889255,16777215,1
2b22cf92,超好康,159.849,1610889284,16777215,1
29986a04,不漏叔呀,327.511,1610889325,16777215,1
b106adc8,哈要笑死了,147.721,1610889327,16777215,1
29986a04,Haru阿爸呀,350.856,1610889348,16777215,1
17e64e0c,太好看了key,163.216,1610889355,16777215,1
a58e997c,小金老师也太好看了吧,164.182,1610889367,14811775,1
29986a04,blo叔呀,375.216,1610889373,16777215,1
570e19be,哈所以才放少女战歌的啊,576.295,1610889447,16777215,1
35f441cd,想起泰妍有feat过love嘞,321.26,1610889462,16777215,1
570e19be,难道要找少女签名吗,582.155,1610889523,16777215,1
570e19be,还是要找补精力的哈,608.902,1610889602,16777215,1
570e19be,哈牙咪我,616.07,1610889641,16777215,1
d72b8bac,进度条说明一切,3724.07,1610889695,16777215,1
f14b2693,不漏叔啊,308.289,1610889703,16777215,1
570e19be,哈又是bom最爱的19,748.098,1610889816,16777215,1
b106adc8,我的人夫团！,316.567,1610889882,16777215,1
570e19be,冬天版的吗哈,808.915,1610889901,16777215,1
4aa0ded,瓦达,26.217,1610889912,16777215,1
b106adc8,BloTukutz偶吧！,354.635,1610889969,16777215,1
570e19be,泰古梗图生成哈,869.918,1610890003,16777215,1
8c85193,23,511.894,1610890059,16777215,1
570e19be,哇竟然,932.691,1610890078,16777215,1
570e19be,有suli的感觉哈,986.754,1610890170,16777215,1
dc00d6d3,PO,47.529,1610890176,16777215,5
3335eea2,想起泰妍feat的love了。,426.592,1610890186,16777215,1
570e19be,哈渐都开始了performance,1016.689,1610890231,16777215,1
f475d300,表白bgm啪姐,647.672,1610890234,16777215,1
23533949,好美！,93.14,1610890263,16777215,1
570e19be,迪叔哈,1076.982,1610890308,16777215,1
f6076559,叔慌了哈,2383.287,1610890420,16777215,1
5d52105d,娜莱2021也要大发呀！,150.766,1610890442,15138834,1
bea5c96b,欧尼今天好看哎,255.302,1610890448,16777215,1
482224d1,这哥们颈纹看着好诡异。,419.278,1610890463,16777215,1
bea5c96b,N欧尼排面,277.651,1610890488,16777215,1
89a0b2e8,哈挺起肩膀,951.74,1610890545,16777215,1
57fb75fb,真的，当时都不看好来着，没想到现在都一百四十多期了,223.332,1610890556,16777215,1
d2043084,Tablo！,68.206,1610890577,16777215,1
e7c95766,日常耳背泰,1608.67,1610890633,14811775,1
11f75f62,Haru呀！,685.287,1610890657,14811775,5
86a18d75,蹦米,4.874,1610890676,7988683,1
bbfbb0e6,我梨又出现了,3815.142,1610890789,16777215,1
570e19be,哈新道具,1537.92,1610890792,16777215,1
e093e3c2,这次我好快！,15.846,1610890825,16777215,1
86a18d75,蹦米好帅啊,158.939,1610890847,7988683,1
570e19be,别把我们算进去呀喂哈,1556.156,1610890877,16777215,1
