Sender,DmContent,AppearTime,SendTime,FontColor,DmType
7d8a7d70,塌啊,49.758,1610888984,16777215,1
7d8a7d70,金在奂！,151.755,1610889016,16777215,1
7d8a7d70,塌脆骨！,389.892,1610889215,16777215,1
7d8a7d70,塌真的参加过好多次不朽啊,386.271,1610889252,16777215,1
7d8a7d70,哟克西wuli主唱nim,420.046,1610889344,16777215,1
7ed84a53,黄致列啊！,173.821,1610889425,16777215,1
7d8a7d70,啊期待塌弹吉他超帅,488.883,1610889483,16777215,1
f0562e1f,黄致列,144.968,1610889546,16777215,1
7d8a7d70,哈塌呀,523.322,1610889560,16777215,1
f0562e1f,黄致列,150.892,1610889573,16777215,1
4f3f7ab7,救命啊,4804.592,1610889592,16777215,1
fc6c3a83,黄致列,155.31,1610889661,16777215,1
7d8a7d70,哈不愧是你劲仔奂,566.517,1610889727,16777215,1
119e2d75,黄致列,157.83,1610889950,16777215,1
7d8a7d70,啊哈吉嘛麻没脸看了塌,1504.855,1610890106,16777215,1
f0562e1f,黄致列,484.103,1610890169,16777215,1
f0562e1f,帅，黄致列,495.955,1610890194,16777215,1
7d8a7d70,哈塌竟然骗到人了,1566.426,1610890236,16777215,1
7d8a7d70,拿呀拿！,1613.866,1610890296,16777215,1
7ed84a53,哈致列啊,1585.975,1610890621,16777215,1
7d2b9b81,哈这原来是不容易的吗,1614.987,1610890700,16777215,1
7d8a7d70,啊wuli塌运气好啊,3785.086,1610890818,16777215,1
7ed84a53,第三个就出场啦？,2255.309,1610890838,16777215,1
7d8a7d70,不过前几次塌都是第4个,3787.986,1610890846,16777215,1
eb4863ac,塌我来啦,4.419,1610890931,16777215,1
7d8a7d70,哈刚来的总是要来的固定项目,3931.681,1610890985,16777215,1
7ed84a53,我太期待这首歌了,2393.043,1610891015,16777215,1
7ed84a53,哇，这一嗓子惊到我了,2422.743,1610891066,16777215,1
7d8a7d70,怕苏！,3991.881,1610891148,16777215,1
7ed84a53,醉了，好听呀,2590.323,1610891253,16777215,1
7ed84a53,这段直击我心脏啊,2689.083,1610891365,16777215,1
7ed84a53,黄致列觉得的灵魂歌手脆骨,2828.402,1610891604,16777215,1
