Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e03fb92a,来了,8.096,1610898416,16777215,1
f054e60b,第一条弹幕,20.257,1610898419,16777215,1
b3dd481d,我最快,8.403,1610898419,16777215,1
e03fb92a,沙发,22.596,1610898431,16777215,1
b3dd481d,我第二块,21.904,1610898433,16777215,1
c7170980,来啦,8.766,1610898451,16777215,1
399ad872,我居然第一！,13.55,1610898459,16777215,1
f66b63d1,看我发现了啥,63.496,1610898460,16777215,1
f9f65103,来了,7.898,1610898470,16777215,1
48ba5ce,全妹我来啦！,3.553,1610898507,16777215,1
48ba5ce,全甜我来了！,4.073,1610898513,16777215,1
48ba5ce,wuli全妹我来了！,4.673,1610898519,16777215,1
48ba5ce,前排沙发表白全妹！,5.153,1610898525,16777215,1
48ba5ce,全甜！,6.673,1610898533,16777215,1
b9e022e9,大猫闻懵智的jio,4437.933,1610898539,16777215,1
af9fd887,这个清晰度爱了,62.031,1610898550,16777215,1
48ba5ce,全甜我来了！,9.793,1610898554,14811775,5
542f4a96,来了,10.282,1610898583,16777215,1
10940de8,来了,0.0,1610898585,16777215,1
b014f11a,我来了,113.008,1610898604,16777215,1
b9e022e9,大猫闻了懵智的jio,4473.669,1610898612,16777215,1
b014f11a,第一嘛,123.425,1610898623,16777215,1
10940de8,好清,72.45,1610898658,16777215,1
3fb7bf82,来了哈！已经知道结果先笑为敬,47.279,1610898716,41194,5
9c698397,我来啦,264.787,1610898727,16777215,1
917f0937,来了,6.598,1610898742,16777215,1
28eb0555,呵哈,315.923,1610898801,16777215,1
2a411068,有1080了,59.715,1610898806,16777215,1
96514b6d,来了,0.622,1610898856,16777215,1
684e97ff,牛逼,2023.903,1610898878,16777215,1
ca411cd3,智孝欧尼啊,24.605,1610898879,16777215,1
d468f89b,来了噜啦嘞,7.039,1610898903,16777215,1
28eb0555,红火恍惚,446.398,1610898936,16777215,1
12a3ea01,没人吗,525.819,1610898981,16777215,4
bef66f74,来了,28.229,1610899019,16777215,1
f098a6f1,疯起来,715.027,1610899094,16777215,1
5fac2226,韩国三句不离自尊心,79.969,1610899098,16777215,1
6f39976e,dis战,318.371,1610899104,16777215,1
3381b5d4,好久没听大神叫国钟了,229.689,1610899114,16777215,1
accca532,哈当成bp秀了吗哈,211.913,1610899147,16777215,1
77194d15,打卡,19.603,1610899149,16777215,1
10940de8,笑死,513.888,1610899174,16777215,1
8613461c,来了,8.055,1610899197,16777215,1
5741a53d,特意等着来看1080p,96.275,1610899202,15138834,1
cc1ee1e2,不用睡了,19.946,1610899229,16777215,1
aa4eca03,这清晰度可以的,68.27,1610899273,16777215,1
ae176b83,今天更晚了呢,65.68,1610899300,16777215,1
988e4ee2,kdl,663.253,1610899326,16777215,1
35de82a3,欧尼最近好努力哈,3373.076,1610899359,16777215,1
4a61d92d,哈xswl,442.281,1610899379,16777215,1
7b86e748,懵智太好看啦！,661.798,1610899386,16777215,1
5e2e1b81,来换个1080的！,5.089,1610899393,16777215,1
8b99c904,夜宵来了,5.499,1610899401,16777215,1
e3f806b5,啊哈,735.482,1610899431,16777215,1
4e3c6a31,大神真的宠,264.835,1610899453,16777215,1
41b390a6,越来越没有意思了。直接跳到游戏环节来看。,1256.681,1610899486,16777215,1
a0a0a5c7,哈12提到15,438.698,1610899489,16777215,1
7dcc3b72,我哈,396.246,1610899508,16777215,1
7dcc3b72,哈啊哈啊哈,415.104,1610899531,16777215,1
ca411cd3,wuli智孝啊,629.48,1610899538,16777215,1
3381b5d4,金咪,544.385,1610899548,16777215,1
7dcc3b72,哈啊哈啊哈,440.278,1610899560,16777215,1
6e4f1fea,前方高能,2215.211,1610899579,16777215,1
a852eb6b,哈小丑竟是我自己,4549.455,1610899601,16777215,1
2328fa9f,肯定有女友也不否认,613.928,1610899605,16777215,1
d81161b,上一集骂姐的不知道怎么看现在这一幕,648.24,1610899618,16777215,1
f21c6cc,歌手的尊严，哈,292.007,1610899641,16777215,1
ca411cd3,等到你了哈,707.475,1610899667,16777215,1
e03fb92a,来了,8.096,1610898416,16777215,1
b3dd481d,我最快,8.403,1610898419,16777215,1
f054e60b,第一条弹幕,20.257,1610898419,16777215,1
e03fb92a,沙发,22.596,1610898431,16777215,1
b3dd481d,我第二块,21.904,1610898433,16777215,1
c7170980,来啦,8.766,1610898451,16777215,1
399ad872,我居然第一！,13.55,1610898459,16777215,1
f66b63d1,看我发现了啥,63.496,1610898460,16777215,1
f9f65103,来了,7.898,1610898470,16777215,1
48ba5ce,全妹我来啦！,3.553,1610898507,16777215,1
48ba5ce,全甜我来了！,4.073,1610898513,16777215,1
48ba5ce,wuli全妹我来了！,4.673,1610898519,16777215,1
48ba5ce,前排沙发表白全妹！,5.153,1610898525,16777215,1
48ba5ce,全甜！,6.673,1610898533,16777215,1
b9e022e9,大猫闻懵智的jio,4437.933,1610898539,16777215,1
af9fd887,这个清晰度爱了,62.031,1610898550,16777215,1
48ba5ce,全甜我来了！,9.793,1610898554,14811775,5
542f4a96,来了,10.282,1610898583,16777215,1
10940de8,来了,0.0,1610898585,16777215,1
b014f11a,我来了,113.008,1610898604,16777215,1
b9e022e9,大猫闻了懵智的jio,4473.669,1610898612,16777215,1
b014f11a,第一嘛,123.425,1610898623,16777215,1
10940de8,好清,72.45,1610898658,16777215,1
3fb7bf82,来了哈！已经知道结果先笑为敬,47.279,1610898716,41194,5
9c698397,我来啦,264.787,1610898727,16777215,1
917f0937,来了,6.598,1610898742,16777215,1
