Sender,DmContent,AppearTime,SendTime,FontColor,DmType
8505cdba,有啊，我男的,33.145,1610892605,16777215,1
6db32691,就只能接受现实了吗,546.3,1610892758,16777215,1
3fe7feff,默看了看小博医生老师的发际线,142.91,1610893029,16777215,1
2ae09c36,初中的时候关注的第一个美妆博主，爷青回,10.178,1610893235,16777215,1
764895c3,来啦,6.288,1610893334,16777215,1
f3e2ca2,学到不少,549.362,1610893626,16777215,1
7f8d3b53,梦幻联动,15.374,1610894238,16777215,1
3bc6c09,完了,168.455,1610894439,16777215,1
92100947,三毛哈,65.439,1610894557,16777215,1
f8c94f4d,你说的朋友不会是大物吧嘻,452.865,1610894706,16777215,1
3bc6c09,卧槽,480.804,1610894752,16777215,1
a3d2fc25,没有,26.377,1610894808,16777215,1
61dd7d65,！我关注的up和up联动了,20.014,1610895434,16777215,1
1b119ec4,胡子的毛囊可以不,501.045,1610895583,16777215,1
276f29f,是一般啦，脱发从哪里脱都是因人而异的,346.54,1610895762,16777215,1
b778c845,全程干货,201.989,1610895790,16777215,1
274b185d,但是吃黑芝麻头发真的可以变黑,137.971,1610895794,16777215,1
b778c845,被看见掉的340根,235.739,1610895845,16777215,1
b778c845,假发,430.992,1610896041,16777215,1
579395db,我悟了,474.338,1610896440,16777215,1
c7ce6f5,我要下车！,475.561,1610896596,16777215,1
8a1382ea,有啊，颜粉在此,25.815,1610896693,38979,1
8e8a9947,这个角度mk头发好明显呀,40.553,1610896996,16777215,1
1d7cfbdd,之前头上有一块秃了不长头发然后用生姜涂那块头皮又都长出来了,124.1,1610897043,16777215,1
abcd1eba,我24开始明显,316.994,1610897279,16777215,1
b4e8e965,这个段子男女都能听,481.779,1610897483,16777215,1
abcd1eba,米诺地尔多少天用一次,525.938,1610897638,16777215,1
f5818bd4,但是中医理论也是没错的。也只要推崇中医的,125.827,1610898001,16777215,1
5c7ffd16,可爱,59.247,1610898010,16777215,1
17ee21ec,颜粉,22.32,1610898053,16777215,1
ba9cbd96,为啥感觉这么快啊。,147.409,1610898230,16777215,1
34a0acb6,来了，小博，我是你的颜粉,36.767,1610898287,16777215,1
c939dc09,光动力治疗PDT,195.307,1610898426,16777215,1
86120a82,我就喜欢揪头发幸好发量多以后要改,573.667,1610898665,16777215,1
7158dc94,我爸是发际线后移了,343.678,1610899110,16777215,1
867b902e,有，小博的颜和才华我都爱,22.828,1610899678,16777215,1
5770a0b1,得甲亢的我哭了，怪不得今年感觉头发变少了,388.693,1610900359,16777215,1
b0f712e2,黑芝麻让头发黑的原理是黑芝麻含铁，补铁即补血，补血让头发黑,167.782,1610900604,16777215,1
b0f712e2,上次去农行，柜台里男客服一溜都是脱发的,336.13,1610900795,16777215,1
56e0c124,我就是多囊所以掉发,295.059,1610900914,16777215,1
c38dde02,我掉的多长得也超级快,262.933,1610901105,16777215,1
3a5b186c,男生无所谓吧，直接光头就好了,457.273,1610901566,16777215,1
91833063,卧槽我懂了,475.233,1610902739,16777215,1
91833063,卧槽我懂了,475.233,1610902752,9487136,5
65afd2fa,中医是脏腑不是脏器或者器官，概念不一样的,73.486,1610903921,16777215,1
65afd2fa,那些可以黑发不可以生发,121.886,1610903986,16777215,1
ef67e255,类比的我想到了用啤酒洗脸,132.474,1610904127,16777215,1
ef67e255,是我了，你们都不关心，那我自己揪好了,566.259,1610904554,16777215,1
acf4e05b,是我了一边做题一边拔头发,169.667,1610904857,16777215,5
ce98b1e7,我姐是的,407.96,1610906575,16777215,1
f006325b,呜啊哭了,245.927,1610906933,16777215,1
f006325b,自来卷我也愿意啊,482.264,1610907168,16777215,1
f006325b,都两点多了可是我还没睡,529.412,1610907215,16777215,1
8694aa63,米诺地尔可能每天要用一两次,531.518,1610908711,16777215,1
8505cdba,有啊，我男的,33.145,1610892605,16777215,1
6db32691,就只能接受现实了吗,546.3,1610892758,16777215,1
3fe7feff,默看了看小博医生老师的发际线,142.91,1610893029,16777215,1
2ae09c36,初中的时候关注的第一个美妆博主，爷青回,10.178,1610893235,16777215,1
764895c3,来啦,6.288,1610893334,16777215,1
f3e2ca2,学到不少,549.362,1610893626,16777215,1
7f8d3b53,梦幻联动,15.374,1610894238,16777215,1
3bc6c09,完了,168.455,1610894439,16777215,1
92100947,三毛哈,65.439,1610894557,16777215,1
f8c94f4d,你说的朋友不会是大物吧嘻,452.865,1610894706,16777215,1
3bc6c09,卧槽,480.804,1610894752,16777215,1
a3d2fc25,没有,26.377,1610894808,16777215,1
61dd7d65,！我关注的up和up联动了,20.014,1610895434,16777215,1
1b119ec4,胡子的毛囊可以不,501.045,1610895583,16777215,1
276f29f,是一般啦，脱发从哪里脱都是因人而异的,346.54,1610895762,16777215,1
b778c845,全程干货,201.989,1610895790,16777215,1
274b185d,但是吃黑芝麻头发真的可以变黑,137.971,1610895794,16777215,1
b778c845,被看见掉的340根,235.739,1610895845,16777215,1
b778c845,假发,430.992,1610896041,16777215,1
579395db,我悟了,474.338,1610896440,16777215,1
c7ce6f5,我要下车！,475.561,1610896596,16777215,1
8a1382ea,有啊，颜粉在此,25.815,1610896693,38979,1
8e8a9947,这个角度mk头发好明显呀,40.553,1610896996,16777215,1
1d7cfbdd,之前头上有一块秃了不长头发然后用生姜涂那块头皮又都长出来了,124.1,1610897043,16777215,1
abcd1eba,我24开始明显,316.994,1610897279,16777215,1
b4e8e965,这个段子男女都能听,481.779,1610897483,16777215,1
abcd1eba,米诺地尔多少天用一次,525.938,1610897638,16777215,1
f5818bd4,但是中医理论也是没错的。也只要推崇中医的,125.827,1610898001,16777215,1
5c7ffd16,可爱,59.247,1610898010,16777215,1
17ee21ec,颜粉,22.32,1610898053,16777215,1
ba9cbd96,为啥感觉这么快啊。,147.409,1610898230,16777215,1
34a0acb6,来了，小博，我是你的颜粉,36.767,1610898287,16777215,1
c939dc09,光动力治疗PDT,195.307,1610898426,16777215,1
