Sender,DmContent,AppearTime,SendTime,FontColor,DmType
cd0edbc0,爷青回！,5.256,1610881362,15138834,5
7857f50c,哈或,363.066,1610881368,16777215,1
4b76945f,没想到的哈,381.919,1610881385,16777215,1
f2f4b220,陕西人留下来嫉妒的泪水,28.139,1610881386,16777215,5
ab793038,p5天下第一,81.085,1610881386,16777215,1
13cf44d0,oh,345.945,1610881429,16707842,5
fcef9a43,学后周真实,365.501,1610881451,16777215,1
1f63b226,我听见这串门的亲戚声音就血压高，谁往我的坐标扔个大伊万，谢,140.802,1610881456,16777215,1
a57f6d01,我周围都没几个人玩守望,57.767,1610881533,16777215,1
695e7901,热乎的,6.199,1610881555,16777215,1
c500faa3,爷青回,9.93,1610881570,16777215,1
1212d57f,爷从青楼回来了！,1.821,1610881574,16646914,5
9e7fbad7,泰罗！,155.048,1610881614,15138834,5
1212d57f,呜我2号才考完试,27.342,1610881620,13369971,5
84aedc47,爷青回,4.798,1610881623,16777215,1
68ee8459,爷青回,34.163,1610881637,16777215,1
7815d20c,游戏王link的音效！,107.179,1610881677,16777215,1
7bb2e380,oh老师神助攻,358.282,1610881702,38979,5
e30e0524,爷青回,1.682,1610881703,15138834,5
919620d2,和我小学同学一样,99.019,1610881710,16777215,1
7bb2e380,这孩子运气忒好了,358.282,1610881712,38979,5
a8efa970,爷青回,36.981,1610881726,16777215,1
8de39d8d,爷青回,14.899,1610881742,16777215,1
783021c1,爷青回,17.225,1610881799,16777215,1
688ad468,高三留下嫉妒的泪水,29.179,1610881817,16777215,1
a2282792,红火恍惚,310.907,1610881849,16777215,1
e044ba8b,爷青回,0.0,1610881867,16777215,1
2d6dabbf,爷青回,13.633,1610881874,16777215,1
8590aead,爷青回,22.579,1610881878,16777215,1
edfbeb0d,姑父神助攻,294.812,1610881893,16777215,1
b2abd5e2,王小炮允许访问,149.396,1610881903,41194,5
515af30b,爷青回,27.697,1610881917,9033215,1
5370defb,oh！,339.719,1610881950,15138834,1
6d4e698c,哦斯,151.736,1610881959,16777215,1
5370defb,沃日槽,367.659,1610881994,15138834,1
c3ebfef9,爷青回,12.064,1610882027,16777215,1
6280bb83,刚不说了吗，游戏下好了,150.31,1610882033,16777215,1
27a92add,还原屏幕,247.003,1610882036,15138834,4
89a2640d,午时已到,214.133,1610882044,15138834,4
3f1884da,爷青回,0.0,1610882082,15138834,1
8b41df6b,逃课了,361.99,1610882105,16777215,1
2b7adbd4,估计在一局里23,366.044,1610882122,16777215,1
4487bef0,爷青回！,16.405,1610882171,16777215,1
198a0869,爷春回呀，这不比博人转燃,131.699,1610882206,15138834,5
b1ff688d,wc，爷青回,20.675,1610882252,16777215,1
809339b2,啊！我都放假半个月了！,30.759,1610882272,41194,1
