Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c2232559,热乎的,4.349,1611055261,16777215,1
374a0106,热乎,6.495,1611055277,16777215,1
631823b7,来了,7.512,1611055281,16777215,1
168d8290,热乎,7.334,1611055284,16777215,1
aa967b4f,这么前,10.308,1611055286,16777215,1
3e1f3d7,热乎的,23.828,1611055286,16777215,1
b1d73808,这么前,4.433,1611055287,16777215,1
e44faae6,紧跟时事,20.777,1611055290,16777215,1
8f0dc76d,我是第一,0.0,1611055291,15138834,5
735bf23,保护,26.749,1611055292,16777215,1
f3a76866,nb,55.659,1611055292,16777215,1
ed1e1033,热乎,15.904,1611055301,16777215,1
168d8290,紧跟时事,25.834,1611055302,16777215,1
ee6fbc71,你干嘛啊，开头就把我塞箱子里,2.451,1611055302,14811775,5
374a0106,保护,33.758,1611055304,16777215,1
57bb8313,盲猜zs,3.659,1611055307,16777215,1
bd5147b7,这声音太像了吧,23.873,1611055308,16777215,1
554e4a97,刚被烫进医院了,21.47,1611055310,16777215,1
c6be68c5,三连了，白嫖个黄金神兽不过分吧doge对白金的印象不太深，但感觉黄金和原画简直一模一样,10.596,1611055311,16777215,1
e7a9c5fb,紧跟时事,45.388,1611055311,16777215,1
d2d4c7b4,好讽刺啊,29.677,1611055312,16777215,1
e3b4d5b,热乎,12.323,1611055315,16777215,1
374a0106,结合时事,45.51,1611055316,16777215,1
96c28f45,热乎,28.457,1611055316,16777215,1
2e83cd75,热乎,4.3,1611055316,16777215,1
414117a1,热乎,24.148,1611055319,16777215,1
48799bdb,紧跟时事,30.645,1611055321,16777215,1
414117a1,四分钟,28.647,1611055324,16777215,1
3c4462df,紧跟时事,15.819,1611055324,15138834,5
374a0106,紧跟时事,55.525,1611055326,16777215,1
7ea7c380,紧跟时事,14.067,1611055329,16777215,1
247251e0,热乎,10.769,1611055330,16777215,1
65a72200,紧跟时事,33.476,1611055331,16777215,1
fda7c82c,紧跟时事,14.766,1611055332,16777215,1
4a16c619,紧跟时事,49.438,1611055333,16777215,1
1951374b,热乎,9.984,1611055334,16777215,1
31443b88,紧跟时事,57.492,1611055336,16777215,1
749b8bd2,紧跟时事,36.431,1611055337,16777215,1
1ffe4454,一播放125评论，b站特色,17.844,1611055337,16777215,1
2879d449,太对了哥,17.446,1611055340,16777215,1
b7b7d7d2,紧跟热点,14.078,1611055342,16777215,1
c9b3b623,虽迟旦到,1.554,1611055343,16777215,1
70ddb0e7,前排出售,14.069,1611055344,16777215,1
4a6a72c5,热乎的,7.534,1611055344,16777215,1
5ccdfb04,哈懂了,22.226,1611055345,16777215,1
6f63dfd4,紧跟时事,51.989,1611055346,16777215,1
ee6fbc71,紧跟时事啊，郑爽必糊,32.061,1611055346,14811775,5
477ce6bc,我是第二,4.323,1611055347,16777215,1
29ed5af7,妙啊,17.599,1611055347,16777215,1
764380a1,男妈,81.876,1611055350,16777215,1
1c1ed325,懂了某sz,23.186,1611055350,16777215,1
13ce69d8,突然有了颜色,84.128,1611055352,15138834,1
f209e7d3,犯规了啊,96.594,1611055353,16777215,1
ed3ce877,男妈？,81.179,1611055353,16777215,1
9bc072c0,热乎的,15.304,1611055354,16777215,1
f5c77bd2,紧跟时事,27.436,1611055355,15138834,1
70db4750,热乎,12.274,1611055355,16777215,1
c2232559,跟紧时事,99.581,1611055356,16777215,1
ca29278d,热乎,8.197,1611055357,16777215,1
b58daa15,看到我的时候你已经不是第21了,8.699,1611055357,16777215,1
1f6d8168,紧跟时事,18.137,1611055359,16777215,1
2c24736d,有钱人的世界是这么丰富多彩吗,94.704,1611055360,16777215,1
72be796d,妈来了,85.491,1611055360,16777215,1
1e07f98c,阴间滤镜？,10.839,1611055361,16777215,1
87cfa7f6,牛逼,15.119,1611055361,16777215,1
e3489090,升华主题,96.94,1611055363,15138834,4
785922b4,热乎,9.34,1611055364,16777215,1
3c5a5d77,我还以为是小动物，居然是孩子,105.952,1611055365,16777215,1
c1df39a8,男妈,84.619,1611055365,16777215,1
97ddb0dd,找了个土豪,84.365,1611055366,16777215,1
f5a0d628,不要男妈doge,77.774,1611055367,16707842,5
