Sender,DmContent,AppearTime,SendTime,FontColor,DmType
72a12a47,你独,1714.196,1610881615,16777215,1
72a12a47,我独,1716.244,1610881622,16777215,1
ff41e1ef,总觉得经纪人像看过的，想起来了，吕子乔,1925.914,1610881633,16777215,1
205d7024,这姐也挣了很多的，出道好久了,2123.7,1610881725,16777215,1
529d2510,这个姐本身家庭也很好,2150.056,1610882136,16777215,1
76db7269,不行我吓死了,1170.729,1610882232,16777215,1
97c91bf,经纪人好棒，理想男友哈,1318.698,1610882242,16777215,1
930fb8bb,这不就是土味视频吗哈,1788.819,1610882249,16777215,1
a0f06777,善花和光熙拍过我接啊，挺喜欢她的,4413.042,1610882268,16777215,1
6a3774bb,哇真的太帅了,1178.882,1610882376,16777215,1
225fa52d,好一个幸福的三口之家,2741.915,1610882535,16777215,1
ac23cb6,太可爱了,2730.899,1610882637,16777215,1
a07430e0,日出没了,984.374,1610882674,16777215,1
97c91bf,一给莫呀,1811.924,1610882754,16777215,1
a3708c93,不是运动有用是十几二十年的运动有用。,559.441,1610882954,16777215,1
e22e2965,一起合作过自体发光办公室,4311.947,1610883183,16777215,1
6a3b5258,他俩像夫妻似的,2026.153,1610883280,16777215,1
5ab45330,住的好朴素啊,3081.279,1610883397,16777215,1
44967c33,经纪人喜欢女人李诗英阿,1046.82,1610883425,16777215,1
44967c33,眼神,1060.51,1610883450,16777215,1
44967c33,这程度的话，没爱是不会做的,1419.483,1610883511,16777215,1
6a3774bb,自己也在努力赚钱啊,2128.664,1610883529,16777215,1
44967c33,这哥肯定喜欢她,1443.68,1610883536,16777215,1
d10617a,理想男友啊,1412.17,1610883628,16777215,1
44967c33,这姐现在还有退休金呢,2128.596,1610883660,16777215,1
68d6dac9,哈一点逐渐侵入领域,235.269,1610883765,16777215,1
f88c0077,赫儿真的好笑,3006.324,1610883821,16777215,1
f2be1d16,VJ这是糟的什么罪哈,387.028,1610883878,16777215,1
16b5a1e0,这姐们家实豪,1733.467,1610883879,16777215,1
f52d4a7b,是滴特别像一个演员,1673.595,1610883902,16777215,1
88ae984e,这期没出现就是下期，嘉宾没打酱油的,2833.789,1610883922,16777215,1
f52d4a7b,哈李诗英真是典型白羊座,1691.975,1610883941,16777215,1
666ec737,说用心工作就好了吧什么喜欢不喜欢的,1449.566,1610883989,16777215,1
6a3774bb,真实了,2587.986,1610883996,16777215,1
781e9b2d,这种体力在韩国女艺人中应该无出其右者。就是男艺人可比肩的也寥。真的是一位伟大的女性。,853.22,1610884096,16646914,1
16b5a1e0,这肉多少人份,2113.197,1610884258,16777215,1
119a35f3,所以明星容易和经纪人在一起，这样朝夕相处照顾的无微不至,1083.079,1610884292,16777215,1
81b80a26,胜利邻居不是吗,1741.081,1610884373,16777215,1
781e9b2d,真是位伟大的女性。,1297.619,1610884569,16646914,1
af9437fb,有点危险也,1156.859,1610884603,16777215,1
767b07be,李胜利邻居，结构肯定一样,1727.06,1610884715,16777215,1
781e9b2d,仰慕是肯定的，只要是正常的男人。,1449.624,1610884765,16646914,1
c2e13413,七百多米，那么喘吗，,988.979,1610884783,16777215,1
af9437fb,弹幕的人真的有妄想症细心照顾也说喜欢,1445.671,1610884836,16777215,1
2f971343,我也想要这样的家结构,1726.327,1610884844,16777215,1
e4c76e29,看的都腿软,1169.147,1610884972,16777215,1
2f971343,啊都忘记她结婚了！,1909.367,1610885028,16777215,1
e4c76e29,卧槽窒息了我,1247.587,1610885063,16777215,1
af9437fb,哈好笑,1803.735,1610885100,16777215,1
c9f042a9,这么封闭新冠警告,1388.873,1610885203,16777215,1
a07430e0,可能是因为要上电视吧,1436.129,1610885254,16777215,1
a07430e0,平时都这样做就太亲近了,1446.568,1610885264,16777215,1
104ead96,对不起！我磕了这对！,1217.851,1610885264,16777215,1
af9437fb,我的妈瘦了好多,2851.109,1610885494,16777215,1
b73316d8,这位看起来好有责任心啊而且阳光,1318.914,1610885497,16777215,1
ef796630,都是名曲，二代粉哭泣。,111.832,1610885613,16777215,1
e4c76e29,李胜利是邻居好像,1706.947,1610885624,16777215,1
5786eea1,李尚允？,1677.503,1610885842,16777215,1
874f5c9b,呃这姐结婚了有孩子了评论注意些吧,1447.957,1610886117,16777215,1
4148c2ac,Hh,924.278,1610886139,16777215,1
523b5f9b,好可爱！,1921.675,1610886352,16777215,1
16b5a1e0,善花开始电影路线了很棒！,4229.578,1610886375,16777215,1
