Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6bebb5df,卧槽。太离谱了,270.542,1610897209,16777215,1
e7aee2,看老亚索看来，失误挺多的,318.984,1610897710,16777215,1
e7aa6b7,这个月男id,376.038,1610897849,16777215,1
30a7bd03,这么强的辅助！这ad是得有多菜？闭着眼睛玩吗？,269.37,1610897947,16777215,1
23c41fb7,showmaker,216.313,1610898051,16777215,1
db9f8fad,这血条是充了会员吗？,65.358,1610898273,16777215,1
589e81d7,最后肯定被大虫子吃了，所以没播,145.449,1610898289,16777215,1
21030b4a,这里失误了灯笼没有丢出来,250.665,1610898782,16707842,5
90bd9f48,反弹你的反弹，老套娃了,40.089,1610895184,16777215,1
90bd9f48,要用魔法打败魔法,40.089,1610895189,16777215,1
90bd9f48,无懈可击，无懈可击！,42.747,1610895273,16777215,1
5231b6c1,我是你老公,127.708,1610895980,16777215,1
c1f96739,卧槽这个秀,201.684,1610896034,16777215,1
c1f96739,心态崩了,312.618,1610896153,16777215,1
4cf884fd,注入灵魂,316.47,1610896714,16777215,1
6bebb5df,卧槽。太离谱了,270.542,1610897209,16777215,1
e7aee2,看老亚索看来，失误挺多的,318.984,1610897710,16777215,1
e7aa6b7,这个月男id,376.038,1610897849,16777215,1
138be6b5,卧槽这啥啊,271.67,1610894098,16777215,1
3b94b755,鲨齿从不挑食,315.739,1610894172,16777215,1
612bd2fe,诶，这个就过分了,240.342,1610894970,16777215,1
e0a419da,五个人勾了个遍,269.639,1610892731,16777215,1
b6f30c53,亚索打诺手就离谱,288.862,1610892817,16777215,1
ab122eb3,大司马,181.998,1610892835,16777215,1
efc7426a,夜幽瑞文！,66.668,1610892961,16777215,1
68b15dc5,离谱,276.542,1610893097,16777215,1
2ac2ac0f,我这么大个卡莎呢？一刀没了？,52.329,1610893178,16777215,1
d6e17897,，冲，看完之后总感觉我上我也行这是为什么,9.319,1610893214,16777215,1
d801bdbb,离谱啊,269.345,1610893269,16777215,1
4b8620e7,贾克斯不怂就杀了,64.989,1610893482,16777215,1
f2e27afd,谁人少谁上,167.647,1610893719,16777215,1
a75019ff,寒冰老二次元了,201.899,1610893954,16777215,1
e197362d,这个我以前无限火力操作出来过！一套反杀了,34.385,1610893993,16777215,1
957f62a0,爆炸,5.904,1610890949,16777215,1
568cdb42,真这么丝滑吗？,311.402,1610890967,16777215,1
13241f3c,这么远的吗,241.225,1610890985,16777215,1
800efe63,只要对面够菜，我就能秀,224.713,1610891042,16777215,1
5b7cb13c,注入灵魂,314.475,1610891176,16777215,1
cdc7aabd,在？为什么不玩亚索,104.702,1610891562,16777215,1
54743805,？这不是炸呼？,114.865,1610891756,16777215,1
54743805,这花圈好大,215.425,1610891869,16777215,1
738ee98b,卧槽,277.354,1610892172,16777215,1
b8746d9b,卧槽,274.159,1610873768,16777215,1
17eb615e,自古第八出团战,70.056,1610873802,16777215,1
4c62e6c6,大嘴？,73.595,1610873826,16777215,1
862c3d8e,这二连桶躲的就离谱,262.427,1610873891,16777215,1
8a201738,离谱,274.537,1610873893,16777215,1
c4cc26fc,这cd,245.912,1610873893,16777215,1
3e49d8f5,一个人的团战,57.221,1610873902,16777215,1
5e227707,因为有皮肤,261.027,1610874033,16777215,1
54f6696d,没视野就没视野啊，大概率猜到在哪就在哪，会玩的都想试,132.273,1610874079,16777215,1
8d002cae,wzry设计师来了,97.75,1610874148,16777215,1
1c786a1c,提前起飞,15.997,1610874161,9033215,5
5d67ce44,提前办,11.359,1610874191,16777215,1
5d67ce44,提前曝炸,13.579,1610874202,16777215,1
7f4efbd,离谱,276.153,1610874211,16777215,1
1e71b6cd,正片开始,343.107,1610874261,16777215,1
f47927f8,离谱,267.579,1610874411,16777215,1
4b33a82b,让人着迷的亡灵,232.15,1610874456,16777215,1
be55f9a8,这期有博人传燃么？,12.777,1610874546,16777215,1
c04f43a9,nb,276.257,1610874550,16777215,1
8dfb26aa,炸个痛快,14.614,1610874613,16777215,1
14400fbe,直接爆炸,7.899,1610874637,16777215,1
c176a3e3,撕破伤口,255.662,1610874809,16777215,1
7da30d92,原来还可以这样玩的？学到了,37.14,1610874844,16777215,5
47750af7,nb,272.487,1610874854,16777215,1
c176a3e3,小奏！,286.102,1610874855,15138834,5
a53ddde3,我是你老公他爸,128.229,1610874869,16777215,1
50f96cd,哦哈,9.779,1610874885,16777215,1
af91912a,他说他是乱E，这可不是乱E嗷,303.493,1610874913,16777215,1
94af543d,而且是没视野的情况下,41.501,1610874961,16777215,1
2d016108,这么秀的锤石在守高地。,254.742,1610874962,16777215,1
dcc37529,关上10的大门,17.356,1610875039,16777215,1
b8b86912,我滴个龟,268.338,1610875046,16777215,1
e4a6029d,派克背景板的神,205.058,1610875063,16777215,1
673e21e0,超极限，五杀，细不细兄弟们,64.239,1610875140,16777215,1
2800e46e,指向性钩子,272.639,1610875147,15138834,5
7da30d92,众所周知，锤石场次越多，Q技能越长,241.15,1610875173,16777215,5
6a7cda01,ID爱了,285.4,1610875240,15138834,5
fef2d28f,爆炸,104.855,1610875423,16777215,1
f912e2ba,双风失败了呀,302.438,1610875468,16777215,1
859b3e68,第一怎么说第一,17.383,1610875581,16777215,1
859b3e68,第一怎么说,25.735,1610875589,16777215,1
1e6291e8,3小时,14.059,1610875673,16777215,1
e4a3d5cf,经典队友不会点灯笼h,270.993,1610875727,16777215,1
953e2c2b,但凡有个重伤,63.615,1610875733,16777215,1
