Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5f8fab3d,锤石基本没钩到人直接不想玩了,346.707,1610913082,16777215,1
7eff8528,uzi,381.383,1610911648,16777215,1
2c870924,samd可惜了,493.716,1610911877,16777215,1
a4e503ba,精彩,490.201,1610911299,16777215,1
8cbd18c7,不至于因为这个闪销户吧,340.679,1610909599,16777215,1
f7264ee7,早点交闪有啥用,33.837,1610909705,16777215,1
c061d778,这鳄鱼真的离谱，杀了个七进七出,274.208,1610910286,16776960,5
1b044835,澡灵子,66.153,1610909087,16777215,1
f46eacde,chelizi不太行,130.3,1610909243,16777215,1
7d9484ce,w闪,403.115,1610908420,16777215,1
78f89ca6,灯皇单纯是不想玩了，别搁这犯罪了,343.161,1610906986,16777215,1
86033a4d,uzi强啊,85.224,1610905995,16777215,1
a9423e89,这把t打的很好啊,368.262,1610906058,16777215,1
1c77b6f9,早交3岩雀岩突你怎么躲,32.303,1610906387,16777215,1
96d25aa1,同感是不想打了，想快点结束,366.062,1610906822,16777215,1
41160ad4,看不起谁啊，这么早？,5.698,1610905140,16777215,1
a9423e89,别说我跳p1了求了,2.965,1610905661,16777215,1
acf16d54,十一经典胡说八道,454.947,1610904190,16777215,1
343988a1,队友无动于衷,344.895,1610904203,16777215,1
123b486,撒盐？,173.95,1610904323,16777215,1
a5f8bf6d,mikuya赢两场ale输一场，你说教练用谁,404.884,1610904791,16777215,1
1ba20d1b,samd强啊,490.059,1610904902,16777215,1
cdbcecdf,解说就离谱,104.937,1610904916,16777215,1
5e055c01,闪现了不叫没有推到,478.358,1610903813,16777215,1
6e6c557b,沐浴着金色的光？啥玩意,90.131,1610903954,16777215,1
f5c15d68,samd赶紧换队吧,485.503,1610904162,16777215,1
eb600735,转世灵童,72.539,1610903011,16777215,1
f8e135b7,沙皇tp是被打断了吗,437.338,1610903243,16707842,1
7c6cdabb,感觉light没有以前阿修罗打得好,444.859,1610901495,16777215,1
f15b6aa0,这波是因为第二场太折磨了，灯皇不想玩了，可以看完整录像，真的折磨,343.904,1610901521,16777215,1
f201f243,秀啊,63.379,1610901582,16777215,1
a23c51c3,扥回来了,36.115,1610901941,16777215,1
865a6efa,好饭！双招都交了,423.703,1610902105,16777215,1
5d5772d0,盲猜冷少mvp,511.045,1610902169,16777215,1
d9d0fa30,堵上职业生涯的闪现2,420.519,1610902219,16777215,1
ffe66090,是不是耳朵聋，明说的是规避了第一波伤害,136.665,1610900649,16777215,1
1b7a73e,三亩地挺强的,64.489,1610900699,16777215,1
62756aa1,鳄鱼这是个战神,100.79,1610900704,16777215,1
9eb311aa,偷家了杰斯怎么还在收兵。,365.553,1610900756,16777215,1
9219c450,这么早，瞧不起谁呢,21.644,1610900837,16777215,1
6f129085,犯罪,337.319,1610900974,16777215,1
aa1bf6ad,这MVP不得给到灯哥吗,379.966,1610900980,16777215,1
7f047415,周姐！,86.36,1610901038,16777215,1
629cb798,Icon这波太帅了,473.449,1610901043,16777215,1
c203aa33,dawuge,96.613,1610901057,16777215,1
698f35d7,瞧不起谁呢,0.0,1610901101,15138834,5
628b4a9a,03,5.182,1610901232,16777215,1
18c2205f,我真的想听ig的bp语音，说实话有点离谱,511.006,1610901286,16777215,1
44c6e0f5,毕竟是拿寒冰正面刚过满血鳄鱼的人,73.827,1610901353,16777215,1
e953e463,阿乐打的挺好，咋又换下了,398.151,1610901445,16777215,1
c3310d41,鳄鱼直接回满,78.868,1610899676,16777215,1
de3a06a,第一来了,18.139,1610899726,41194,5
ed9368e5,抢占前排,23.699,1610899730,16777215,1
17242175,可以早点交闪的啊,30.181,1610899762,16777215,1
4226f707,这个男解说真的一点业务能力都没有,98.521,1610899770,16777215,1
c941cad4,这女解说真的太差了,101.999,1610899796,16777215,1
cfc101e,第一,31.772,1610899874,16777215,1
98bcd011,瞧不起谁呢,8.879,1610899904,16777215,1
57d2a98d,都没人嘛,6.459,1610899908,16777215,1
91cc11a6,卡牌有点犯罪,107.979,1610899935,16777215,1
a081fa7a,icon好拉啊,124.177,1610899988,16777215,1
339f84fc,打五个？,85.515,1610900026,16777215,1
339f84fc,打五个？,85.515,1610900035,16777215,1
91cc11a6,不然说lng今年补强厉害,224.942,1610900049,16777215,1
c08c565a,原地交了个金身钉窝规避掉了一张黄牌,130.052,1610900073,14811775,5
84498eeb,没人？,29.339,1610900200,14811775,1
cab61e9f,看不起谁,12.519,1610900220,16777215,1
d7000cb3,这姿势哈,175.017,1610900267,16777215,1
b362db8,冷少秀啊,473.065,1610900294,16777215,1
764104b3,我才是熬夜冠军,6.019,1610900359,16777215,1
764104b3,第一哈,6.439,1610900366,16777215,1
a500e7a4,是5个啊鳄鱼已经杀了两个了不是5个嘛,105.028,1610900379,16777215,1
8d9b056c,堵上职业生涯的闪现,338.036,1610900557,16777215,1
629cb798,这鳄鱼都杀疯了女解说在懵逼什么呢,91.625,1610900578,16777215,1
34473ed0,这么早的嘛,24.757,1610899162,16777215,1
34473ed0,是不是玩不起，这么多金身,109.147,1610899289,16777215,1
2b1ccb76,第一，怎么说,15.996,1610899318,16777215,1
ba3332cc,卡着59发？,4.619,1610899345,16777215,1
b2f5caf8,这解说就离谱,101.523,1610899483,16777215,1
d00e1623,打5个自己都杀吗？,100.158,1610899495,16777215,1
d00e1623,打5个自己都杀吗？,100.158,1610899502,16777215,1
6b51463c,早啊,0.0,1610899572,16777215,1
f26d69aa,阿乐去LNG了？,213.703,1610899581,16777215,1
154c454a,强啊,100.861,1610899665,16777215,1
