Sender,DmContent,AppearTime,SendTime,FontColor,DmType
17868e38,冷的越冷，热的越热。,78.386,1610896598,16777215,1
17868e38,广州下雪不是梦,148.305,1610896668,16777215,1
17868e38,冷的越冷，热的越热。,78.386,1610896598,16777215,1
17868e38,广州下雪不是梦,148.305,1610896668,16777215,1
e8571736,学习了,16.978,1610895024,16777215,1
11e94a23,四川都下雪了，北京怎么就是不下，唉,23.871,1610891020,16707842,1
26487156,只会越来越多,40.551,1610872734,16777215,1
16132697,原本为北极制冷的空气南下造成灾难有点难过,105.799,1610872735,41194,1
16132697,卧槽，北极！A,120.759,1610872839,41194,1
82130a78,懂了，是东风压倒了西风,63.619,1610873042,16777215,1
8dd188d7,震荡,144.857,1610873996,16777215,1
fabcc311,温差减小,101.638,1610874209,16777215,1
252714db,你是物理所，不是气象局,19.765,1610874406,16777215,1
4729f980,总温度上升了啊,50.624,1610874669,16777215,1
5c15dd91,等羊跑光了就彻底变暖啦,47.107,1610874749,16777215,1
be57f464,后天,102.707,1610874996,16777215,1
ae4e4ef0,反复,135.859,1610875019,16777215,1
e58ec728,负反馈,130.44,1610875369,16777215,1
fdff59b1,凛冬将至,22.557,1610875449,16777215,1
84af8492,好像前些时候在南京听过老师的讲座,56.981,1610875840,16777215,1
ea6ff426,柴静,52.153,1610876081,16777215,1
48612fa1,刚看到地球自转都变快乐,122.381,1610876982,16777215,1
8e65aa24,冰川时代,52.081,1610878523,16777215,1
c1c1609a,极端天气变多,20.589,1610880173,16777215,1
bc2ea508,明日之后,95.9,1610881921,16777215,1
9cd206d0,其实对俄罗斯利好，北极航线能开了,88.468,1610881961,16777215,1
b081ee20,丁仲礼怎么看？,83.718,1610882394,16777215,1
628ef808,冰河时代,128.509,1610883343,16777215,1
302c9ab3,可怕,78.779,1610883857,16777215,1
302c9ab3,也就是经过时间的推磨北极就会变成普通地区一样了？,122.042,1610884038,16777215,1
d82a4a86,冷暖变换增加,166.479,1610884240,16777215,1
9dcd236c,去年北极圈夏季气温破纪录,47.967,1610884948,16777215,1
9424c176,冰河世纪0,128.28,1610887546,16777215,1
c9503f61,热空气挤压极地冷空气？,11.512,1610887959,16777215,1
4389606,极端天气会越来越多,31.553,1610888412,16777215,1
6fd14c31,去看一部电影后天。,40.497,1610890014,16777215,1
a7040630,啊该热的不热该冷的不冷,119.482,1610871253,16777215,1
5fe35ca8,后天,60.046,1610871313,16777215,1
c7b81682,极端天气,172.615,1610871579,16777215,1
7c931a21,有个电影很像这个现象，叫做后天,31.61,1610871685,15138834,5
9c78b41,小学生跑出来嘲笑院士了,49.379,1610872712,16777215,1
40b03ca2,还是全球变暖的原因,81.115,1610869140,16777215,1
1d1b4be7,那全球变暖还不如说全球变冷,43.181,1610869534,16777215,1
746feaf1,大气活动变强,24.946,1610867853,16777215,1
ecf2bc2,懂了，我们都是羊,54.523,1610866778,16777215,1
22ca1f69,说不下雪的，我们这怎么下呢,94.931,1610867041,16777215,1
61e33332,冷空气又不是湿空气,78.633,1610867537,16777215,1
8cedaec9,温差小有利于空气混合，温差高水火不容,149.283,1610867625,16777215,1
ebf34247,看到我你就不是第一了,26.116,1610865261,16777215,1
8d7b6f04,理科生表示很淦,67.392,1610865316,16646914,5
6ecf3cc4,北方都不下雪了什么原因？北方降水量这么少谁的锅？,67.49,1610865643,16777215,1
f3ec07b0,后天,99.31,1610866108,16777215,1
eeb14daa,冰块融化吸热？,7.118,1610866475,16646914,5
