Sender,DmContent,AppearTime,SendTime,FontColor,DmType
46badfcd,噢，来超人回来了啊！,6061.923,1610909583,16777215,1
46badfcd,同床异梦之后又来超人回来了，期待,6129.703,1610909670,16777215,1
a1aebeee,魔鬼回放感觉比以前回放次数多了,3160.297,1610909714,14811775,5
6e84d216,本乖宝,1517.585,1610909731,16777215,1
a1aebeee,上一集我以为河颖不知道孩子们是什么意思，现在看来完全懂啊！,3194.175,1610909811,14811775,5
bc7d175b,三个真的都像爸,5894.934,1610909813,16777215,5
f169d7b8,哈小本试图讲价,2231.827,1610909868,16777215,1
c12a2d4c,为什么要捂耳朵我的傻儿子啊哈,1246.206,1610909892,16777215,1
c65b0ee3,好你个Sam真有你的哈,1701.494,1610909934,16777215,1
7790e75f,来啦,6.033,1610909941,16777215,1
bd859d6,前面的能不能滚,1615.368,1610909942,16777215,1
7b68c8a1,好久不见,95.656,1610909954,16777215,1
7b68c8a1,爸妈很甜的那家,106.151,1610909975,16777215,1
4e6fba6d,第一,1018.221,1610910017,16777215,1
f514d903,关你屁事，没人在意你的看法,1570.473,1610910021,16777215,1
9d3cee23,好漂亮呀,115.395,1610910047,16777215,1
57c258be,到了打架的年纪了，矛盾不断呀,1520.288,1610910118,16777215,1
2921e54b,30min前,10.919,1610910122,16777215,1
f851b4a0,斗不过啊都不过,1152.895,1610910162,16777215,1
7b68c8a1,何颖留下了羡慕的泪水,266.22,1610910174,16707842,1
eaa71de,利姐弟妈太坚强了,890.177,1610910206,16777215,1
cbe992f5,沉浸式取暖,1833.23,1610910231,16646914,5
c12a2d4c,首先现在节目组很喜欢剪威本争吵的片段出来，其次是他们都是人，人都会犯错，别用什么天使不天使的话来挑拨。你要找天使去天上找吧,1560.903,1610910237,16777215,1
57c258be,这个年纪的小孩挺常见的啊，就是两兄弟的日常,1639.024,1610910262,16777215,1
a1aebeee,我的天啊！一家子神仙！小人精都mini！,3427.796,1610910269,14811775,5
e957e05f,韩国夏雨h,2101.21,1610910332,16777215,1
f169d7b8,可爱本特利,2544.195,1610910338,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦,0.999,1610910340,16777215,1
a1aebeee,说实话撞脸家族不单独做个综艺可惜了！一家子都综艺体质！艺能神赏饭吃！,3430.783,1610910341,14811775,5
fb564cab,妈太不容易了,980.353,1610910359,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦,0.296,1610910364,16777215,1
76c9f304,是记住故事名字和封面了,1409.921,1610910372,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦，后来的姐妹们不要在其他小朋友的part里刷哦,0.289,1610910417,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦，后来的姐妹们不要在其他小朋友的part里刷,16.51,1610910436,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦，后来的姐妹们不要在其他小朋友的part里刷,22.843,1610910442,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦，后来的姐妹们不要在其他小朋友的part里刷,34.074,1610910453,16777215,1
d7767bf,开头提醒这期没有娜恩建厚猪一家哦，后来的姐妹们不要在其他小朋友的part里刷哦,46.688,1610910466,16777215,1
a1aebeee,哈救命啊我要笑死了,3542.825,1610910466,14811775,5
2d397ca2,最早的我赶紧留下足迹,84.093,1610910519,16777215,1
53ffe6f3,啊我超喜欢这两个小漂亮,95.422,1610908608,16777215,1
53ffe6f3,好帅哦莫,196.542,1610908716,16777215,1
f169d7b8,本真的很诚实,1307.622,1610908838,16777215,1
3fc9e761,来啦！凌晨准时,16.042,1610908852,16777215,1
1bbfab18,本看了就会说呀,1302.825,1610908862,16777215,1
d4bbc0be,字幕组辛苦啦,7.37,1610908923,16777215,1
a1aebeee,？我看过这一集？似曾相识,2706.068,1610908997,16777215,1
a1aebeee,真的好。帅啊！,2709.396,1610909007,16777215,1
db7f772a,有一个小天使来到世间啦,5618.107,1610909021,16777215,1
1bbfab18,分三个碗不好吗,1479.209,1610909075,16777215,1
bc7d175b,这真是孤独最高级别，一个人去医院生孩子。我的天,5209.851,1610909086,16777215,5
a1aebeee,kbs就是故意剪出来给你看！谁要你辞职的！,2753.087,1610909102,14811775,5
f169d7b8,本可能不是很明白,1475.435,1610909102,16777215,1
1f21c20a,从一开始用勺子打弟的勺子的时候，就真的有问题了,1605.753,1610909131,16777215,1
fb564cab,超回好多韩国足球界的家庭哇,334.865,1610909192,16777215,1
a1aebeee,活该炼乳懂那么多！爸妈教的好啊,2857.62,1610909240,14811775,5
667d33be,这算什么剧本吗还是好的天使被惯坏了？,1559.262,1610909241,16777215,1
a1aebeee,我以为要教原理结果是耍宝。对不起打字早了。,2869.054,1610909297,14811775,5
b5312911,威本姨妈来了！,985.812,1610909324,16777215,1
3fc9e761,妈好辛苦,542.143,1610909378,16777215,1
af9533a5,哈小伙砸。知道自己在干嘛么,191.017,1610909403,16777215,1
bc7d175b,我要哭了，我的天,5521.051,1610909410,16777215,5
6e84d216,哈傻瓜帅哥,1216.444,1610909433,16777215,1
57c258be,不能找老人或者保姆吗,911.002,1610909451,16777215,1
8cb12611,粑！,243.071,1610909453,16777215,1
57c258be,这就有点过分了,931.968,1610909472,16777215,1
fb564cab,金英权很会撒娇的样子哈,479.561,1610909473,16777215,1
a1aebeee,好可爱啊！求撞脸别下车啊！河颖说话越来越溜了到了最好玩的年龄了啊！,2975.295,1610909479,14811775,1
90a54ba4,一个五岁的小孩前面也能说这种话。绝了,1562.29,1610909503,16777215,1
1c5a87f5,前面两位麻烦出门赶紧走,1608.635,1610909528,16777215,1
fb564cab,妈以前好漂亮啊,490.363,1610909531,16777215,1
57c258be,这不会是韩国的常态吧,992.627,1610909533,16777215,1
bc7d175b,利宝小天使，欢迎你呀,5622.051,1610909543,16777215,5
f169d7b8,哎呀我们圆嘟的小本,1967.686,1610909549,16777215,1
46badfcd,噢，来超人回来了啊！,6061.923,1610909583,16777215,1
15858538,耶，来了,6.459,1610908393,16777215,1
90a54ba4,第一条弹幕,57.665,1610908405,16777215,1
4a0b0309,这周也好早啊，辛苦了,3.731,1610908434,16777215,1
ce821f0b,Sam瘦了好多哦,1205.302,1610908467,16777215,1
2e27c1a3,睡不着来看威本,99.571,1610908480,16777215,1
f169d7b8,本我来啦,3.339,1610908486,16777215,1
c475e320,等到了！熬夜党的胜利,25.92,1610908507,16777215,1
53ffe6f3,俺来也！,3.732,1610908530,16777215,1
8743f2d6,这么早，字幕组辛苦了,16.614,1610908547,16777215,1
