Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ee4f1607,不愧是童,1199.344,1611044404,16777215,1
6741f27b,可爱的盒,263.351,1611044458,16777215,1
6741f27b,分数也很有sense,270.401,1611044477,16777215,1
6741f27b,哈被吐过笑死我了,952.934,1611044590,16777215,1
6741f27b,礼盒应该指他自己哈,954.693,1611044611,16777215,1
1c7af38f,热乎哒,12.566,1611044811,16777215,1
80448d9,一群爱演的人,1499.101,1611044930,16777215,1
f34cfced,李虎你也太高兴了吧哈,183.636,1611045034,16707842,5
87b5535d,李海好娇,907.758,1611045153,16777215,1
f34cfced,看来小盒这夸群也不好进啊，我做不到这样夸，小海牛的,253.104,1611045199,16707842,5
39b0c4bd,移动嘿太可爱了！,1247.5,1611043483,14811775,5
6649ce70,no野心哈啊哈,125.298,1611043542,16777215,1
39b0c4bd,移动嘿你笑的太大声了哈,1272.929,1611043598,14811775,5
dd482d8d,蓝子的目标非常明确，超过队友,235.42,1611043600,16777215,1
6649ce70,啊哈开心,207.129,1611043633,16777215,1
6649ce70,突然的野心哈啊哈,215.462,1611043649,16777215,1
4f4491c4,为什么打宝,890.118,1611043793,16777215,1
39b0c4bd,麻收到wink了！,1436.018,1611043837,14811775,5
d9918b73,这该死的鬼手哈,1224.138,1611043848,16777215,1
6741f27b,小盒眼睛亮的。,131.847,1611043856,16777215,1
ee4f1607,宝又要哭了哈,59.952,1611043965,16777215,1
6649ce70,wow,477.485,1611043972,16777215,1
6649ce70,哈啊哈,484.231,1611043979,16777215,1
55b8b5b3,仿佛看到了10期认哥的运动接力，小盒也是第一个，持续上班23,1514.032,1611043997,16777215,1
ee4f1607,还是孩子啊哈,213.327,1611044119,16777215,1
19ae1e9d,你不是被吐过吗,949.653,1611044230,16777215,1
47417b38,哈金澈不愧是你,643.252,1611042604,16777215,1
39b0c4bd,哈又逗虎,893.808,1611042860,16777215,5
39b0c4bd,前方全程高能,922.95,1611042921,14811775,5
39b0c4bd,移动嘿这是在干什么？哈,958.886,1611042999,14811775,5
80bb0d68,请注意东海的去向！,489.518,1611043075,11890,5
39b0c4bd,哈草吐口水太好笑了,1016.289,1611043091,14811775,5
2be733bd,投了首歌刚好看到！,7.033,1611043146,41194,1
39b0c4bd,65的笑声穿破演播厅,1212.117,1611043404,14811775,5
dd482d8d,我们在意的是最后一名哈,116.7,1611043428,16777215,1
223ba0bd,羊驼吗？,951.136,1611041996,16777215,1
39b0c4bd,哈明是菇先把拉要抱的为什么移动嘿你在里面,250.77,1611042166,16777215,1
8b64a54b,真能夸啊李东海,236.577,1611042321,16777215,1
e3969e90,果然体力最好的老李先上,1321.798,1611042370,16777215,1
f05983d,来早了,0.0,1611042489,16777215,1
f53d0df3,来了,17.238,1611041124,16777215,1
431500e5,我来了,21.949,1611041254,16777215,1
431500e5,来了,40.614,1611041273,16777215,1
eeebedc3,不是垫底就行,93.228,1611041279,16777215,5
59442feb,这是什么好东西,19.967,1611041463,16777215,1
43831698,来了,8.909,1611041527,16777215,1
43831698,来了,16.681,1611041535,16777215,1
43831698,我来啦,22.357,1611041540,16777215,1
