Sender,DmContent,AppearTime,SendTime,FontColor,DmType
51c40308,KPL30万马,53.335,1610873852,16777215,1
9cced6dd,60万合影。,18.459,1610873879,16777215,1
fe516711,我每天都在看妞doge,51.083,1610873950,16765698,5
b2542a7d,60万合影,9.533,1610874257,16777215,1
abcf944a,我的手是冰的,47.008,1610874304,41194,5
cc104845,我哥就是,159.535,1610874380,16777215,1
8695ce81,60万合影，这是来自意大利粉丝的祝贺,2.019,1610874480,38979,4
dc254be1,北方冷是物理伤害，南方冷是魔法伤害,68.685,1610874748,16777215,1
4fa2cba3,武汉是北方的啦！,44.777,1610874855,16707842,5
7328d639,60万合影！,2.71,1610874998,16646921,4
8b7520b8,60合影,10.399,1610875230,15138834,1
b3cb5746,王者荣耀腿,137.159,1610875239,15138834,1
14e6004,六百万合影,19.374,1610875454,16777215,1
a4c3be63,我在武汉还好吧,57.273,1610875455,16777215,1
77176699,情怀，懂不懂,101.407,1610875458,16777215,1
a2257859,北方室内比南方暖和，难道北方取暖费不要钱？,102.439,1610875491,16777215,1
51dfac24,毒奶粉也是好些人这样玩,157.739,1610875692,16777215,1
54928b29,60W恭喜,60.02,1610875921,16777215,1
2b49ca6,北方冷是外伤，南方冷是内伤,65.576,1610876016,16777215,1
1b7c24bc,60合影,10.623,1610876028,16777215,1
d302938a,就是我,150.602,1610876115,16777215,1
48b34bc1,谁说武汉不算南方？,62.207,1610876367,16777215,1
830bff17,60万合影,27.579,1610876423,16777215,1
edce700c,北方的冷是真伤，但是地暖是瑶公主的护盾doge,94.514,1610876434,16777215,1
2bc68057,60万合影,22.782,1610876475,16777215,1
21854536,干冷,70.306,1610876495,16777215,1
e7a368a6,安徽人表示真实,59.052,1610876537,16646914,5
e7a368a6,痛子哥！,93.466,1610876579,16776960,5
c76e049e,来了,4.468,1610876583,16777215,1
2af58f26,小女子芳龄才十八,105.053,1610876594,41194,5
e28f3245,真实,67.272,1610876661,16777215,1
fa7b7ffd,我在南方我流鼻血了,74.679,1610876740,15138834,1
3eba83ca,突然看了看自己的手的位置,59.679,1610876767,16777215,1
37ef461a,南方人，南方魂，南方都是挨冻人,69.526,1610876814,16707842,1
47a7040c,二队哈,36.199,1610876882,16777215,1
542e70a0,真实,61.786,1610876999,16777215,1
a15a0adf,现在的北方供暖令人怀疑，和以前没法比,95.419,1610877040,16777215,1
592360d1,捂脖子好真实！,59.966,1610877132,16777215,1
592360d1,我好想体验北方的地暖！卑微南方人嘤,75.369,1610877167,16777215,1
d2cc57e4,指剑为刀,104.005,1610877239,16777215,1
f0fbc842,60万合影,36.705,1610877354,16777215,1
b6836d61,60W,37.418,1610877675,16777215,1
66637060,热血英豪,149.666,1610877873,16777215,1
5b4e0138,60w合影,26.572,1610877875,16777215,1
6011e6d1,v7落泪,188.506,1610877890,15138834,1
5cc5b1ef,还有替补没算吧,47.899,1610877947,16777215,1
b8e72bd8,地下城与勇士,153.299,1610877983,16777215,1
a9a3928,合影,16.859,1610878031,16777215,1
5ef63e15,合影,23.685,1610878035,16777215,1
fe9a58dd,合影,8.379,1610878069,16777215,1
c24200e7,热乎的,6.695,1610878125,16777215,1
a9a3928,湖北人落泪,79.059,1610878131,16777215,1
c24200e7,60万合影,13.799,1610878152,16777215,1
7aeedb36,我玩电脑就是这么玩的,151.019,1610878289,15138834,5
dad9cecb,能不能学地理武汉是南方,48.499,1610878319,16777215,1
796f8e65,东北的冷是秒杀,60.576,1610878416,16777215,1
e5fc8eee,60w合影！,14.547,1610878467,41194,1
a7d290db,天宫迅音,153.839,1610878540,16777215,1
8c384103,此时，一名安徽人骂咧路过,60.559,1610878576,16777215,1
6e196165,60万粉丝合影。,10.799,1610878733,16777215,1
6e196165,60万粉丝合影。保佑期末成功。,19.679,1610878759,16777215,1
11251f06,哦不,48.383,1610878764,41194,5
11251f06,是冻水,48.383,1610878778,41194,5
cc120f11,大概是银河系到黑洞的距离吧,25.039,1610879286,16777215,1
cc120f11,还是一半不供暖一半供暖一看你就不是什么有学历的河南人,80.219,1610879352,16777215,1
f60c4767,3620,147.104,1610879386,16777215,1
3c04f55a,六百万,17.72,1610879391,16777215,1
6644443c,60w了哦,22.808,1610879637,15138834,1
af09a83c,吕布出貂蝉一般的真伤,47.162,1610879780,16777215,1
af09a83c,真伤,48.875,1610879791,16777215,1
f027142b,合影留念,22.419,1610879933,16777215,1
3922ed42,你看他头发白了一撮doge,111.859,1610880014,16777215,1
25066f04,60W合影,31.242,1610880331,16777215,1
77a9f932,南方的冷是法术伤害，护甲衣服堆多厚都没用,44.407,1610880692,16777215,1
115fed38,说南方冷的我笑了，零下三十度你硬当开玩笑,67.62,1610880710,16777215,1
fbaf6b0c,我见过,156.269,1610880797,16777215,1
df8663,60万合影。,29.659,1610880816,16777215,1
a9c31bac,60万合影,34.819,1610881100,15138834,5
10df3fa9,您就是黄金左手？,144.318,1610881230,16777215,1
8448bcc1,刺痛哪里走心了，他都不睁眼,88.295,1610881254,16646914,1
90ed0929,法术穿透,56.044,1610881320,16777215,1
228e26e3,给左撇子设计的,141.337,1610881320,16777215,1
354523b0,我也是！Q飞车小时候就这样玩的,150.887,1610881703,16777215,1
b2730844,7小时,4.997,1610881954,16777215,1
1b1be7d2,60w合影,17.623,1610882000,16777215,1
604ae20,飞车,154.83,1610882048,16777215,1
57671547,六百万合影,5.074,1610882216,16777215,1
57b11ba9,这个发际线不对劲,99.139,1610882288,16777215,1
c398e32,V7感觉良好,173.699,1610882323,16777215,1
c398e32,V7感觉良好个鬼,175.259,1610882368,16777215,1
8f01e0af,拳皇97正手，反手打出来的技能不一样的,156.739,1610882408,16777215,1
a00fe64b,女武神除外,191.038,1610882413,16777215,1
ede3b099,你的马超离kpl还有亿步之遥,8.739,1610883163,41194,1
5f0b959f,我玩拳皇也这么玩,159.222,1610883277,16777215,1
252f58b2,灵儿,80.349,1610883349,16777215,1
dc1d8630,照顾一下左撇子。,154.487,1610883349,16777215,1
f954b1c6,六百万,30.219,1610883491,16777215,1
3ba5bcd3,广东以外都是北方,61.476,1610883586,16777215,1
d66954f4,哈我表示能理解,46.159,1610883758,16777215,1
7e631bcd,我就是，q飞车和dnf都是这么玩的,148.499,1610883765,16777215,1
ed41990c,毒奶粉没谁了,152.809,1610883912,16777215,1
23242901,早年是18几年嘛嘻,42.359,1610884071,16707842,1
6c0fc17a,60w合影,36.299,1610884203,16777215,1
340b4fad,60万合影,5.579,1610884220,16777215,1
29c3722,还有替补,33.267,1610884759,16646914,5
58579e1a,泪目,89.739,1610885336,16777215,1
962bfc0e,这个黑眼圈好重,145.299,1610885499,16777215,1
4e4422ca,朋友们，这里的bgm是啥呀？,195.721,1610885733,16777215,1
b7d9f509,水分,77.76,1610885836,16777215,1
127f40a6,60w合影,5.402,1610885922,16777215,1
326ad118,论我是北方人我该怎么办,44.491,1610886049,16646914,5
9d9bc879,60万合影,34.881,1610886072,16777215,1
326ad118,名媛效应,185.689,1610886200,16646914,5
32c0ff9e,Knight,152.014,1610886385,16777215,1
c4fbc053,一个筋斗云那么远,25.192,1610886605,16777215,1
a45da848,玩飞车哈后面改QWE就不用反手了,149.616,1610886614,16777215,1
2600150a,来了,3.832,1610886721,16777215,1
ecbdaf2,特别顶，晚上睡觉热出汗,76.139,1610886763,16777215,1
dbeda467,我舅就是这样的，我还下半个不累吗,145.361,1610887152,16777215,1
ca5b9d7b,60万牛逼啊,91.198,1610887169,16777215,1
1b97dd7a,439,150.939,1610887761,16777215,1
85e5627a,60w合影oh,9.754,1610887797,16777215,1
9b25f2b2,正青春被师傅削去了头发际线,106.469,1610887862,14811775,5
d52602e,60万合影,20.299,1610888340,16777215,1
19b1a736,三十几了吧,117.865,1610888585,16777215,1
9e0709a1,60w合影,22.997,1610888772,15138834,1
3b69502b,B站还真有用脚玩的,148.332,1610888855,16777215,1
1df44ef0,我朋友玩dnf就是左右手交叉玩,144.419,1610889043,16777215,1
ef716a06,这边建议说武汉不能来到武汉读两年书然后说冷不冷,37.626,1610890503,16777215,1
bcf36b95,真实！,60.939,1610890582,38979,1
59f5a1c0,真实,57.021,1610890766,16777215,1
2f5600da,宝勺未老,102.767,1610891142,16777215,1
6dd972bb,我有这个皮肤，个人感觉不如世冠的,173.021,1610891270,16777215,1
9c8e37c8,knight之前就这么打联盟,155.841,1610873025,16777215,1
57afef43,跑卡丁车就是这样玩的,150.599,1610873109,16777215,1
ed0b836e,米斯达,13.803,1610873266,16777215,1
ce62662a,v7的集合！,171.64,1610873425,16777215,1
770332c3,我Q飞车就是这么玩的,151.721,1610873495,16777215,1
f2db6566,老张,150.673,1610873525,16777215,1
95004391,前蹄和后蹄,54.319,1610873606,16777215,1
6415f1e5,我打439也是这么打的,151.587,1610873691,15138834,4
c528fba,60万！,27.419,1610873736,16777215,1
51c40308,KPL30万马,53.335,1610873852,16777215,1
9cced6dd,60万合影。,18.459,1610873879,16777215,1
20d8ee76,六百万合影,0.099,1610871982,41194,4
20d8ee76,保佑期末考试成功！,18.499,1610872029,41194,4
d07ad026,庆祝60万,19.479,1610872049,16777215,1
9dc973dd,哈，我室友就这样，因为是左撇子，方向键在键盘右边,154.516,1610872170,16777215,1
86b7df0e,我小时候也是这样,163.072,1610872207,16777215,1
4bdc52bc,广东也特别冷！,53.78,1610872349,16777215,1
7c3bab74,之前说过拼皮肤号的来集合了，一起做峡谷名媛啊,193.61,1610872714,16777215,1
1a33d38,宝锅未老,112.602,1610872756,16740868,5
87f8c311,六百万合影,19.243,1610872759,16776960,5
4842c1be,4小时热一热还能吃,50.262,1610872815,16777215,1
1a33d38,七夕节？森林冰火人？老番茄？,155.797,1610872838,16740868,5
b8dcc34d,太像巫师里的凯拉了,198.56,1610872915,16777215,1
de5ef38d,关于我看了三年大仙视频却很少看直播这件事,16.771,1610872982,16777215,1
57afef43,魔法攻击,52.487,1610872999,16777215,1
ba1fe66d,保饭未老,109.118,1610871331,16777215,1
1fd5024f,60w合影,31.84,1610871375,16777215,1
ad5e35f,60w合影,0.0,1610871507,16777215,1
ad5e35f,60w合影,8.503,1610871520,16777215,1
5f591943,叫jio,53.719,1610871629,16777215,1
51abcba7,60万,5.639,1610871665,16777215,1
34539a73,60万啦！,27.629,1610871679,16777215,1
6eb87794,叫jio,44.867,1610871735,15138834,1
97bfbeb8,15广州我只穿一件,81.053,1610871814,16777215,1
d95d7e0d,60万合影,5.819,1610871819,16777215,1
de2be6a6,60万合影,7.258,1610871875,16777215,1
2b22c4ce,我之前这么玩dnf,158.898,1610871878,16777215,1
de2be6a6,T0,13.789,1610871881,16777215,1
b375a62c,六百万合影！,1.395,1610870531,16777215,1
eceedfd6,啊这，谢啊,41.75,1610870629,16777215,1
ed1f5c2e,60万合影,10.019,1610870976,16777215,1
3a218cb9,刺痛老实人,91.819,1610870996,16777215,1
e2d3b059,恭喜60万,180.113,1610871031,16777215,1
bc9b5520,60w！,1.073,1610871138,16777215,1
88cbb475,60万合影,21.699,1610871144,15138834,5
15eba40c,60万合影,19.559,1610869587,16777215,1
15eba40c,好啊，张六百万,21.679,1610869607,16777215,1
412df9ba,合影,12.954,1610869650,16777215,1
99c8b224,有多远就有多远,27.619,1610869704,15138834,5
c8edf6ff,60万合影,3.619,1610869836,15138834,5
e41cfa7b,六百万了,10.879,1610869853,16777215,1
894898c2,60万大合影！,22.594,1610869971,16646914,5
6728728b,我以前在网吧就是这样打游戏,158.041,1610869994,16777215,1
b99c631d,六百万合影,33.799,1610870047,16777215,1
d5162e9,60万合影,19.468,1610870100,15138834,5
792654ae,武汉人表示极度真实哈,54.794,1610868519,16777215,1
9ea1ae0c,60w合影,9.23,1610868553,16777215,1
3ace1b42,Q飞车,149.318,1610868560,16777215,1
53c25e8e,60万恭喜！,27.516,1610868563,16777215,1
d2a32e92,DNF,150.93,1610868619,15138834,1
