Sender,DmContent,AppearTime,SendTime,FontColor,DmType
3f0a1cf5,Haha,1965.743,1610901517,16777215,1
3f0a1cf5,你竟敢看我老婆换衣服！,2206.777,1610901772,16777215,1
d8ca1e34,笑死了哈,2225.572,1610901824,16777215,1
d8ca1e34,笑吐了,2227.252,1610901837,16777215,1
59e8de66,正常操作,1584.156,1610902188,16777215,1
f9cb17fc,退货远征队,2992.78,1610902251,16777215,1
59e8de66,哈，互相伤害,1698.05,1610902351,16777215,1
389d2d9f,女团的歌吧,2961.91,1610899107,16777215,1
183ff653,exid上下,3019.213,1610899317,16777215,1
3d83e385,aoa？,2980.212,1610899580,16777215,1
582227d4,哇！智孝有心了啊！十年感慨,609.718,1610899619,16777215,1
7395d126,自己的歌,3369.567,1610899664,16777215,1
18d31208,apink的吧。我歌单只有无限挑战和apkin感觉像,2949.206,1610899708,16777215,1
79c6b7b3,Exid的,2964.767,1610899734,16777215,1
7395d126,金手快点回归吧,3445.468,1610899754,16777215,1
6fae5138,我又回来了,2187.921,1610899872,16777215,1
b804931,老年克里斯埃文斯滑稽,3749.565,1610899913,16777215,1
32f2afce,像Apink的,2958.001,1610899992,16777215,1
6fae5138,大神的jio滑了一下,2190.243,1610900013,16777215,1
7395d126,果然很舔,3746.48,1610900086,16777215,1
68e10eec,果然,3432.074,1610900134,16777215,1
19c91714,哈疯狂吐槽,404.188,1610900218,16777215,1
7395d126,哈世灿真的很搞笑,3879.02,1610900231,16777215,1
19c91714,哈过于敷衍,422.393,1610900244,16777215,1
7395d126,哈帕布,4017.96,1610900377,16777215,1
19c91714,哈会心一击,702.89,1610900533,16777215,1
7395d126,哈好可爱,4188.41,1610900554,16777215,1
18d31208,这前奏不是爸妈那首歌吗。翻唱的？,3496.285,1610900582,16777215,1
183ff653,pd太搞笑了哈,4499.468,1610900804,16777215,1
7395d126,闻了欧尼的脚居然那么自然,4456.452,1610900849,16777215,1
7395d126,倒回来再看一遍,4442.877,1610900878,16777215,1
132e9be1,哈大赏,1398.798,1610900894,16777215,1
132e9be1,没多少弹幕芜湖来得早！,1410.506,1610900930,16777215,1
a2134632,全作家身败名裂,819.55,1610901142,16777215,1
132e9be1,哈连钟国也,1670.661,1610901230,16777215,1
7395d126,哈用这张太搞了吧,4855.819,1610901310,16777215,1
132e9be1,哇关系真好,1780.641,1610901355,16777215,1
3f0a1cf5,这双鞋子绝了好看！,1832.745,1610901372,16777215,1
3f0a1cf5,NB92gr,1833.48,1610901382,16777215,1
132e9be1,智孝可爱,1819.624,1610901440,16777215,1
3f0a1cf5,小火苗,252.978,1610898220,16777215,1
a32c01ed,像是aoa的,2971.939,1610898458,16777215,1
a32c01ed,上和下！,3085.219,1610898579,16777215,1
64225196,哈宝弼？,4475.356,1610898720,16777215,1
7395d126,youxi光洙,1597.177,1610897869,16777215,1
4b7c30a8,搞笑是自然的，而不是做作的搞笑！梁和全就是强行搞笑的一类！而且对有些谦卑毫无礼貌！,815.359,1610895825,16777215,1
edbb68d9,难得运气爆发一次,4789.315,1610895993,16777215,1
be9381a9,早到,46.959,1610896010,16777215,1
f1623333,感谢字幕组！,21.983,1610896533,16777215,1
579c0a6a,姐好美！,2036.022,1610896710,16777215,1
d01ce192,这么早，又是晚睡的周天,13.259,1610896838,16777215,1
b528a129,可爱,1823.555,1610897045,16777215,1
7395d126,哈好贴切,720.387,1610897146,16777215,1
4ee18d69,辛苦了,24.221,1610897451,16777215,1
d89c24c9,不愧是你,1624.366,1610897545,16777215,1
d01ce192,大神反应快,707.063,1610897626,16777215,1
55e2b57,好美啊全妹,1304.598,1610897726,16777215,1
a2134632,很有rm味的介绍,406.084,1610897758,16777215,1
819e72be,来了,13.86,1610894280,16777215,1
8992515b,第五吗,41.694,1610894331,16777215,1
20deabc5,来了,7.076,1610894339,16777215,1
6fae5138,来了,22.01,1610894379,16777215,1
f26cac36,签到,42.172,1610894518,16777215,1
50c4b4e5,第一,7.716,1610894680,16777215,1
9c11a6d0,第一来了,137.468,1610894946,16777215,1
c80da0f6,字幕组辛苦啦！,14.26,1610894947,16777215,1
b50d522a,来啦,56.683,1610895291,16777215,1
ed7a5b71,好看,1307.352,1610895313,16777215,1
c2e0ea0b,专业,456.994,1610895469,16777215,1
c2e0ea0b,最爱懵智，么哒,604.464,1610895626,16777215,1
4b7c30a8,如果没有后来的这俩，,800.78,1610895713,16777215,1
4b7c30a8,Runingman会好看一点,800.78,1610895736,16777215,1
