Sender,DmContent,AppearTime,SendTime,FontColor,DmType
64bad63b,解说加油！,527.614,1611077113,16777215,1
98d1c21c,团战怎么打呀，对面一进场都得碎，只能线上一搏,210.068,1611077371,16777215,1
98d1c21c,theshy不会打团？,279.956,1611077467,16777215,1
6baf14c8,拿鳄鱼能解决青钢影带球吗？,247.079,1611076428,16777215,1
e9ebf49a,这起名罗光头直呼内行,184.339,1611076587,15138834,5
eaca194f,鳄鱼压不了青钢影？鳄鱼在上路是青钢影她爹,245.14,1611076592,16777215,1
5f0b1db7,其实根本不是鳄不鳄鱼的问题放了潘森你拿啥上路都要炸,242.152,1611076871,16777215,1
134b8e06,铁男呗,196.779,1611075360,16777215,1
d4235452,剑姬有什么说法吗,278.287,1611075386,16646914,5
37d4d40e,世界第一好抓上单,319.371,1611075733,16777215,1
d3be2c58,ts不会鳄鱼你是真的看过排位记录吗,252.905,1611073172,16777215,1
f5839e9e,狼行怎么压得了的啊？,247.919,1611073183,15138834,1
db990354,BP选出来都不知道怎么赢的阵容,211.793,1611073191,16740868,1
b9511066,这里不回头QA是不会死,308.534,1611073225,16777215,1
9a705424,复盘很专业,514.195,1611073276,16777215,1
1b938a3f,除了红米时期，IG的BP从来都很一般,603.407,1611073473,16646914,5
4cfbc48,一样不回头多爱一下T而已,318.133,1611073697,16777215,1
fbe93e60,这复盘太给力了,535.927,1611072325,16777215,1
275e9495,这潘森原画看着就凶,138.41,1611072536,16777215,1
7ad8e5eb,这个视角发条小的可怜,567.003,1611072548,16777215,1
b95f8436,女枪不是t1啊？,105.159,1611072553,16777215,1
2fec2870,放了潘森上路玩啥都容易死,126.108,1611071279,16777215,1
11f9740d,建议参考靠谱电竞的柴西,79.739,1611071338,16777215,1
ab8bf8c2,我开15速度刚好,545.107,1611071365,16777215,1
bbbbf50d,这卢锡安不可能摇的,156.977,1611071532,16777215,1
2fec2870,回不回头都死了被buf粘住了,322.378,1611071535,16777215,1
16557993,这个回头就nm离谱,317.255,1611071593,16777215,1
bbbbf50d,这回不回头不都是死？尬黑啥呢,318.1,1611071714,16777215,1
bbbbf50d,对面这阵容卢锡安就不可能有用,489.688,1611071907,16777215,1
9e405016,这把宋江一直被对面上野军训太惨了,330.979,1611071925,16777215,1
455c8fff,所以第二手抢先ban了就是个大失误,95.453,1611072027,16777215,1
6050d327,ts不玩儿鳄鱼的,232.736,1611072112,16777215,1
6050d327,ts之前的那把鳄鱼好像是翻盘,248.004,1611072163,16777215,1
5c5f4314,选鳄鱼没有大优势打对面这种阵容就是超级兵青钢影也不怂更何况shy基本不玩鳄鱼,231.054,1611070372,16777215,1
ec2d6add,有趣,191.321,1611070776,16777215,1
13b38f2e,这不秒了心思啥呢,214.004,1611070864,16777215,1
9216502a,ts不玩鳄鱼,239.617,1611070958,16777215,1
31b16abe,shy哥rank哪里练鳄鱼了,548.219,1611071161,16777215,1
ec2d6add,这复盘很中肯我喜欢,509.181,1611071176,16777215,1
2fec2870,掉坑里了,105.032,1611071242,16777215,1
3de45f12,击剑,42.043,1611069572,16777215,1
a8fbc471,他恶意对线还可以但是不会打团,270.065,1611069959,16777215,1
d1a29804,鳄鱼压不了青钢影，这阵容要上路大优势,240.958,1611070293,16777215,1
c3b3d7d9,会倒是拿出啊，什么都拿不出来就是不会。,252.399,1611068578,16777215,1
383c011a,2k,75.114,1611068932,16777215,1
ebf6d480,宝蓝在干什么,558.679,1611068995,16777215,1
18c8db92,其实可以二三手banAD，12手ban意图太明显了,121.037,1611069077,16777215,1
dc208bbc,觉得自己很懂吗跟个rz一样搁着讲,541.642,1611069259,16777215,1
7b3b3d1,游戏结束,201.23,1611069281,16777215,1
fea9d84,选鳄鱼对面可以counter选个石头或者奥恩，或者长手，鳄鱼容易被counter,250.609,1611067706,16777215,1
2f665714,香克斯这个预判走位,534.979,1611067950,16777215,1
11afa61e,会，短手上单选过几个了，别tm又甩锅教练不让,251.819,1611067998,16777215,1
9db49a6c,鳄鱼可能是最简单的上路英雄之一了，不可能一个有上单经验的选手拿不出鳄鱼,250.353,1611068105,16777215,1
d7fa572f,这17年的WERNG阵容太完美了,182.579,1611068176,16777215,1
171bb59f,你shy爹不会玩鳄鱼贾克斯,234.815,1611066635,16777215,1
a85b40aa,为啥不拿武器,251.809,1611066781,16777215,1
e86fd731,不是不会，但是他不算擅长,263.359,1611066890,16777215,1
8c0299a1,AD现状,115.199,1611066942,16777215,1
918a0dc3,每次都是bp不行靠个人实力,243.118,1611067159,16777215,1
57277cf2,shy不玩鳄鱼,239.961,1611067249,16777215,1
b43d8d9c,压就给人抓，打野来了2v2也不一定打的过,212.459,1611067256,16777215,1
918a0dc3,这回他头就nm离谱,315.785,1611067264,16777215,1
ce4cf20,男的女的折磨,547.111,1611062588,16777215,5
6882de59,波比永远滴神,222.977,1611062773,16777215,1
32ab44ef,说白了bp被爆了，这把已经和选手玩的怎么样关系不大了,111.191,1611062824,16777215,1
581f27fc,丧心病狂,393.788,1611062863,16777215,1
40c61bce,TS不玩鳄鱼个屁，他rank没少练，就是不知道为啥没选,542.715,1611062902,16777215,1
3d04e7e0,声音好听你们不要？真给惯的,1.946,1611062930,16777215,1
97ca0913,又开始了，先选鳄鱼也会被we上中野一直军训，一样没法打，ig的bp从前三啥ban已经崩了,538.647,1611062935,16777215,1
126d5533,想跟配音击剑,28.017,1611063066,16777215,1
6b42f3cb,有房啊,21.077,1611063071,16777215,1
126d5533,声音比上一期已经有改进了,76.43,1611063130,16777215,1
73a463f0,漂亮,576.653,1611063172,16777215,1
4c6d6c80,15倍挺清晰,30.048,1611063214,16777215,1
8c276b81,睡着了淦还有课题要做不看了,372.9,1611063328,16777215,1
8b35a652,KPL？和LPL能比？,55.826,1611063376,16777215,1
e22b73fe,教练太拉了,592.772,1611063396,16777215,1
d96d0ead,那一开始ban一个卡沙不就完了,115.718,1611063595,16777215,1
2000ca02,讲的很好快入睡了,590.308,1611063656,16777215,1
a8b16418,霞呢，为什么不能拿霞,106.174,1611063872,16777215,1
85e28f9f,关键在于theshy不会鳄鱼,243.781,1611063910,16777215,1
8f8219fe,shy会鳄鱼的只不过不喜欢玩,264.019,1611064043,16777215,1
cacb9f78,先看先得啊,19.865,1611064109,16777215,1
cc04f36b,细啊,332.154,1611064147,16777215,1
97edf5b7,刚开塞你再者说没玩过尽,57.126,1611064204,16777215,1
f6b91af3,分析的很到位，bp就已经输了,595.135,1611064235,16777215,1
7876cf71,思路清晰的那个走错台了,28.158,1611064345,16777215,1
cb912fcf,说ts不会鳄鱼的是在那放屁呢？,251.139,1611064542,16777215,1
542d95aa,这波可以的,595.774,1611064580,16777215,1
36ad1f67,你们知道配音有多努力吗，你不知道！你只在乎自己的睡眠！,521.118,1611064647,16777215,1
3884d857,hui鳄鱼只是不想玩,237.555,1611064654,16777215,1
155d49f1,yds,187.38,1611064695,16777215,1
155d49f1,全明星阵容,194.3,1611064721,16755202,5
7559b6a0,问题就是你鳄鱼莉娅还是打不过卡密尔潘森吧2V2,259.793,1611064814,16777215,1
acb98922,不怕粉丝也在一起骂,7.756,1611064834,16777215,1
98167d59,他自己不肯玩,551.486,1611064849,16777215,1
e761d8b0,没有激情的声音,27.184,1611064854,16777215,1
c0833790,先潘森行吗,76.35,1611064961,16777215,1
dc203d3c,太细了,317.539,1611064974,16777215,1
a4c84e96,卢锡安也可以打卡莎啊,115.699,1611065430,16777215,1
a4c84e96,说白了还是能力不够，压不住了,203.899,1611065540,16777215,1
a4c84e96,合理,328.899,1611065670,16777215,1
fcda0588,我看困了,536.356,1611065754,16777215,1
989665cd,任何一个顶尖职业上单都必须会鳄鱼，不可能不会。,246.731,1611065896,16777215,1
63b5944d,那选鳄鱼呀,229.006,1611065998,16777215,1
3a884148,内容挺扎实的，吐字清晰，我是愿意看的，不喜欢嗓音的右上角退出,255.061,1611066071,16777215,5
36c76ed3,别不会了他史前巨鳄灭了淀粉,246.002,1611066126,16777215,1
