Sender,DmContent,AppearTime,SendTime,FontColor,DmType
aa497db1,很好听诶超喜欢！,247.968,1610980473,16777215,1
aa497db1,给我看饿了,309.098,1610980544,16777215,1
b2338ae7,？突然港风了起来,290.084,1610980781,16777215,1
c31fa879,sm必须有枪,240.632,1610980901,16777215,1
3a9fc47,这是阳光先生里的日本兵吗,79.259,1610980912,16777215,1
453cf594,词真的很好,184.959,1610980957,16777215,1
b567214b,影帝的演技真的绝了，眼神的层次好多,360.819,1610981107,16777215,1
453cf594,男孩子是不是对黑帮有一种迷之向往,341.079,1610981140,16777215,1
10da4dba,哈，我实在忍不住了哈,389.411,1610981177,16777215,1
453cf594,影帝来吃了根棒糖喝个酒吃个菜就只有一句走吧,374.659,1610981199,16777215,1
725c73b3,郑允浩solo,419.421,1610979494,16777215,5
6b9d79e8,我哥好帅,396.283,1610979538,16777215,1
3854ee6d,考，好帅啊,225.817,1610979565,16777215,1
fdd310ba,这腿太优越了,230.048,1610979583,16777215,1
b2f5e615,前面东西南北中的为什么发视频,318.826,1610979644,16777215,1
3854ee6d,刺激,351.327,1610979691,16777215,1
fdd310ba,黄正民你说话啊,323.582,1610979696,16777215,1
2a4b2b8c,俞大神果然是东团的亲爹哈,6.368,1610979992,16777215,1
2a4b2b8c,啊哥！,76.508,1610980071,16777215,1
2a4b2b8c,这歌就非常俞永镇了,259.952,1610980283,16777215,1
2a4b2b8c,黄叔也好帅啊,315.875,1610980357,16777215,1
ee45b068,歌难听可是哥太帅了,240.456,1610978559,16777215,1
2b3f9cd6,标签摘了，哥以后做自己就好！,402.462,1610978571,16777215,1
2b3f9cd6,这里演技挺好！,350.85,1610978607,16777215,1
fb08bcc7,笑死我了,315.856,1610978625,16777215,1
a92b2b20,我也想这么走,36.197,1610978657,16777215,1
ca98ae40,很好很中二很UKnow这么多年允浩的中二病越来越严重了啊,303.609,1610978665,16777215,1
a92b2b20,黄政民也老了,103.482,1610978702,16777215,1
f51f4542,死了？,86.842,1610978723,16777215,1
1d3da326,有一种孤独感,431.499,1610978744,16777215,1
f51f4542,这还没死？,152.491,1610978799,16777215,1
a92b2b20,三代舞王,243.295,1610978842,16777215,1
496238ed,允浩平时烟酒都不沾的,22.707,1610978869,15138834,1
48aa0cff,是猛男，就要吃棒糖！,65.259,1610978871,16777215,1
5981423f,老郑太帅啦！,11.276,1610978958,16777215,1
a92b2b20,不知道是不是真金的，我想去捡可以吗,417.757,1610979034,16777215,1
725c73b3,绝美少年,114.959,1610979117,16777215,5
725c73b3,歌哪里难听啊，艺术感满,246.385,1610979280,16777215,5
f51f4542,啥社会啊，杀人不偿命啊,392.291,1610979296,16777215,1
ab823150,电梯这段帅死我了！,160.424,1610979377,16777215,1
725c73b3,haters滚蛋！,349.202,1610979411,16777215,1
ab823150,全世界的电梯都标配这个蓝地毯吗？,164.048,1610979425,16777215,1
ed6484e4,演的好棒,360.627,1610977621,16777215,1
a606b38,终于理解了认真的男人真帅这句话,114.626,1610977670,16777215,1
ed6484e4,大片,427.043,1610977698,16777215,1
6e7b8c17,他之前不是被捅死了吗,401.113,1610978177,16777215,1
