Sender,DmContent,AppearTime,SendTime,FontColor,DmType
cd915a3a,你在干嘛啊哈,741.718,1611076621,11890,1
ade52c88,哈草,881.897,1611075329,16777215,1
7cb99d1,真的卢本伟,602.685,1611075476,16777215,1
7d7133a8,亲爱的H,225.759,1611074395,16777215,1
ad5613d6,1917,608.831,1611074788,16777215,1
b2f750f1,班长负责局部指挥传达命令标记敌人和修建兵站,775.46,1611073087,16777215,1
fc2602ab,打空气,363.787,1611073094,16777215,1
15afcb23,打没打中都不知道,839.68,1611073297,16777215,1
71fb294a,红火恍惚,195.035,1611072246,16777215,1
fdf71a1c,一枪没开，佛系局长,480.922,1611072341,16707842,5
d7e3da4,lbw牛逼,249.022,1611072434,16777215,1
248b5a4a,我也这么觉得,609.192,1611072481,16777215,5
4b63ceb0,我们是德国中国话,504.974,1611072790,16777215,1
4ccc4dca,一直对内语音,674.579,1611072814,16777215,1
14ab77d7,卢格,310.564,1611072823,16777215,1
2a8ff1d4,有了,197.548,1611072826,16777215,1
71fb294a,来了,5.988,1611071318,16777215,1
d399a1d8,怕就怕国人孤儿盯上这款游戏,453.531,1611071690,16777215,1
a1f6672d,苏修,331.753,1611071858,16777215,1
b2134e07,，但是一战电影,606.494,1611070297,16777215,1
2f4151e4,奈斯大夫,166.209,1611070555,16777215,1
22ea8cc,打了这么久都不知道自己在打谁,498.2,1611070657,16777215,1
4fe8750c,我是看苏拉的视频过来亲,117.794,1611070839,16777215,1
10e1e03b,战地五现在挂壁满天飞,450.599,1611070846,16777215,1
4fe8750c,给苏拉打钱,146.22,1611070867,16777215,1
4fe8750c,先填医疗保险单,156.087,1611070988,16777215,1
e3f61c29,死因这个人好强,103.01,1611071136,16777215,1
b781f54b,亲爱的,223.67,1611071191,14811775,5
f249072,跟赶牛赶猪一样,730.19,1611069455,16777215,1
e217b5ba,台湾人,245.332,1611069519,16777215,1
e217b5ba,据说下一版战地有128人图,444.341,1611069746,16777215,1
af43f0b8,V字仇杀队h,597.248,1611068429,16777215,1
983c783c,主要是战地没有这种语言交流,450.536,1611068557,16777215,1
e5e1c426,医疗包,13.522,1611068587,16777215,1
88778abb,斩首行动,243.433,1611068959,16777215,1
7813fdfc,victory！,1006.383,1611069255,16777215,1
f249072,1917,603.956,1611069319,16777215,1
ed940364,瓦尔特P38,317.28,1611069350,16777215,1
f85cb91a,能不要放洋屁狗头,652.648,1611067832,16777215,1
802c8b55,这个小哥声音好听啊,180.593,1611067948,16777215,1
802c8b55,这个小哥声音好听,180.593,1611067959,16777215,1
d7af8abf,美国战术，火力压制,508.343,1611068033,16777215,1
af43f0b8,同化成功,255.901,1611068087,16777215,1
d7af8abf,h有内味了,622.448,1611068152,16777215,1
b12fe744,真实，我玩凡尔登也这样,92.928,1611066592,16777215,1
c969da6,萨尼特塔,167.425,1611067010,16777215,1
3185c214,1917吧,611.45,1611067176,16777215,1
d29a85e,紫人集合,24.005,1611067227,16777215,1
6dd51bc6,文化沙漠,203.579,1611067256,16777215,1
700dc567,声音好听,190.703,1611062627,16777215,1
700dc567,妨碍咱都渣！,302.15,1611062744,16777215,1
700dc567,联合国军,336.334,1611062785,16777215,1
700dc567,你自己也是啊,512.513,1611062965,16777215,1
700dc567,jawohl还行,567.667,1611063022,16777215,1
6f4a35b6,1917？,615.339,1611063035,16777215,1
cd9a256e,来了,9.81,1611063207,16777215,1
ce2d9d7d,有个人的声音好像lbw幻听,234.066,1611063872,16777215,1
5f541eef,你们最多就是一个班,406.919,1611063896,16777215,1
24e1048b,细作,354.517,1611064555,16777215,1
684790de,球了打两枪吧,393.679,1611064774,16777215,1
59961659,黑豹,89.493,1611065046,16777215,1
50c3b026,对的,194.094,1611065139,16777215,1
f2e4ec6b,步坦协同,423.299,1611065322,16777215,1
33f2bcc0,这个游戏好像每个小队长要和总指挥官联络吧,768.297,1611065337,16777215,1
59961659,山猫,407.884,1611065349,16777215,1
9231c0c0,p38,299.659,1611065676,16777215,1
6be007d6,哦？,21.939,1611065735,16777215,1
cab72be5,家乡话,265.899,1611066376,16777215,1
8d34d292,怎么看谁是敌人啊,321.769,1611066439,16777215,1
e2588126,被打成梭子,389.378,1611066498,16777215,1
a36c568a,squad战术小队了解一下,453.951,1611066510,16777215,1
e9223040,哈憋出广东话,173.261,1611061660,16777215,1
f4c0a8e5,过年了,101.699,1611061772,16777215,1
43be49fc,我已经开始笑了,31.278,1611061855,14811775,1
8bc0aa3c,紫人狂喜,27.274,1611061859,16777215,1
f73ec596,怎么看是自己杀的,872.72,1611062038,16777215,1
4d3ee5fa,嘿模拟穷,661.158,1611062143,16777215,1
d6eece8a,步坦协同啊,422.757,1611062319,16777215,1
86459105,这咋知道打没打中,865.793,1611062432,16777215,1
605abcae,23,658.065,1611062486,16777215,1
d4360149,我长官没了，我要升官了jpg,114.768,1611060661,16777215,1
c6af0650,一枪一个指自己,163.345,1611060741,16777215,1
ab550453,屋里不能开全自动,910.38,1611060919,16777215,1
14ad3633,1917啊,604.268,1611060943,16777215,1
f73ec596,挺帅的,22.511,1611061150,16777215,1
51a9e417,legalhigh！,877.693,1611061451,16777215,1
713390c9,人家都说了不要乱刷,90.619,1611059599,16777215,1
d4c0acda,阿巴啊吧,573.905,1611059749,16777215,1
5e4f5623,1917吧,612.023,1611060031,16777215,1
46a9a517,一口毒奶,119.143,1611060037,16777215,1
d4c0acda,你不是医疗兵？,949.605,1611060125,16777215,1
f4e8c1a1,forthefatherland,32.32,1611060184,16777215,1
74cc309a,1917,604.987,1611060294,16777215,1
5a4b8d19,好像战地,68.905,1611060359,16777215,1
dd24363d,医聊兵,139.861,1611058694,16777215,1
f343db0f,日籍外援,284.18,1611059048,16777215,1
865c2615,黑服米啊萨里忒塔！,992.786,1611059133,16777215,1
f343db0f,卢本伟？,422.46,1611059192,16777215,1
9f840a87,话糙理不糙,522.197,1611059320,16777215,1
d94a5d14,对啊队长有用吗？,761.094,1611059430,16777215,1
23780487,赤色中轴,931.962,1611057752,16777215,1
3b6126d4,好听就是好头,838.811,1611057830,16777215,1
bee9aa74,指挥官就是看地图的，然后和各队长沟通，你个新兵蛋子还想和指挥官说话,56.803,1611058013,16777215,1
33a18052,你不是补给兵吗？,144.249,1611058018,15138834,5
bee9aa74,压到基地了都,91.722,1611058060,16777215,1
e554f41f,看不清对面人，是我的严谨问题嘛,510.843,1611058208,16777215,1
e554f41f,眼睛,522.555,1611058219,16777215,1
d94a5d14,逃兵23,234.529,1611058404,16777215,1
d94a5d14,日籍德军23,256.921,1611058480,16777215,1
de04d47,在现场,15.379,1611058519,16777215,1
e9e1af22,来了,8.078,1611058535,16777215,1
bcb2a188,新游戏云一下,0.0,1611058563,16777215,1
d94a5d14,医聊兵23,124.678,1611058587,16777215,1
dd24363d,奶死了,121.02,1611058675,16777215,1
798f90be,局长你这个时候应该喊萨尼踢他,1012.764,1611056838,52480,5
e0c73b14,黄旭东关门大弟子？,112.248,1611056873,16777215,1
2e25051a,1917？,606.234,1611056958,16777215,1
e0d41857,哈这段笑死,581.839,1611057177,16777215,1
2e25051a,怎么还没看见对面机枪手,845.119,1611057212,16777215,1
721a57a9,什么叫做步坦协同啊,104.617,1611057215,16777215,1
e703fc7a,笑死,1006.33,1611057403,16777215,1
a020f0b0,玩squad,453.619,1611057474,16777215,1
13e090ee,烦死了，F2A了,325.131,1611057485,16777215,1
e839fe72,5开的声音呢？,589.019,1611057715,16777215,1
1eed1dc8,重要的是路人局都有交流,484.868,1611055940,16777215,1
3e6ceae6,lbw牛逼,455.254,1611056148,16777215,1
7a68c09b,一枪一个小朋友pubg后遗症,882.451,1611056279,16777215,1
7a68c09b,pubg行为h,878.523,1611056299,16777215,1
7a68c09b,暗示,891.451,1611056326,15138834,5
883694cd,洋基红脖子，汉斯啃土豆,549.546,1611056339,16777215,1
7a68c09b,哈塔科夫后遗症,982.758,1611056428,15138834,1
d8559e23,前左方有个人,237.321,1611056499,16777215,1
e703fc7a,好强,114.419,1611056508,16777215,1
798f90be,这明是灰狗，神tm谢尔曼,730.7,1611056517,52480,5
7a855887,制式步枪，不用98k还用啥？,34.869,1611056532,16777215,1
a05bb45d,真医疗兵，奶得真好,118.12,1611055414,16777215,1
17b6def5,在现场1太欢快啦,14.307,1611055427,16777215,1
4527a48b,毒奶,117.164,1611055432,16777215,1
70341d51,逃兵23,237.221,1611055569,16777215,1
f9ff96ee,按F部署,366.965,1611055643,16777215,1
26875b35,你们这队人，是真的，在郊游跑图聊天啊。,771.862,1611055711,16777215,1
f8680ff9,1984,610.371,1611055758,16777215,1
7a68c09b,pubg？,454.334,1611055824,16777215,1
2e3b85d,咖喱行为,704.516,1611055909,16777215,1
90cbce06,和squad一样类型的游戏,112.273,1611054232,16777215,1
a25d5075,医学奇迹,137.671,1611054487,16777215,1
81d5fe85,新宾淡紫,15.467,1611054511,16777215,1
582aeab8,应该在看地图指挥,44.878,1611054649,16777215,1
28549118,他在看地图23,47.242,1611054758,16777215,1
81770f2a,不，你是来逛gai的,207.052,1611054921,16777215,1
952dded3,这里说的应该是1917非常棒的电影小破站有,606.979,1611053374,16777215,1
926decf1,哈黑卡半载,566.795,1611053389,16777215,1
d5e336f1,有的,196.139,1611053450,16777215,1
79307131,1917,613.479,1611053467,16777215,1
b4ad99a4,这是仿对讲机的声音吗,78.926,1611053544,16777215,1
55f4d1ba,前方名场面,696.724,1611053552,15138834,5
5b1e05d3,斩首行动,853.346,1611053578,16777215,1
5b1e05d3,卧槽,878.938,1611053604,16777215,1
afdfc8fb,我也觉得有一个队友声音像开哥,459.317,1611053648,16777215,1
241a1ca1,萌新,22.163,1611053665,16777215,1
b4ad99a4,一站就有了,202.191,1611053668,16777215,1
b4ad99a4,1840鸦片战争就有了,214.724,1611053681,16777215,1
6cea66b3,有没有医疗兵,940.199,1611053699,16777215,1
c90be98,扁鹊那时候都有麻醉了你觉得呢,196.235,1611053741,16777215,1
b09f61b9,23,513.973,1611053746,16777215,1
b09f61b9,笑死我了23,520.249,1611053781,16777215,1
