Sender,DmContent,AppearTime,SendTime,FontColor,DmType
3f1ff0fd,真就阴谋论呗赢了比赛输了人心矮姬粉拜托我大清早亡了就没人心,11.979,1610882249,16777215,1
ddbd4e3f,来啦我是第一个,8.939,1610882274,16777215,1
d6c698b0,我看到了什么,5.264,1610882293,16777215,1
8578dc15,爱了！小姐！超棒,25.789,1610882367,16777215,1
40ba30be,最初七年老粉不请自来狗头,40.808,1610882383,16777215,1
dcc17c10,我赌ag输了，赢了一个赞一个俯卧撑,44.132,1610882697,16777215,1
1015c90f,感觉阿豆以后退役了会做教练有那个范儿了,101.125,1610882740,16777215,1
87a25464,黑马死神！,1533.031,1610882881,15138834,5
b1809160,我去为了个塔差点团灭,1960.988,1610882892,16777215,1
97cfbc37,梦泪啥时候回来,69.109,1610883137,16777215,1
4abadec7,让我们恭喜hero,8.139,1610883153,16777215,1
415d6e25,无畏憨宝贝,494.551,1610883163,16777215,1
1015c90f,汤是要笑场了吗,581.344,1610883179,16777215,1
415d6e25,无畏宝贝！,509.307,1610883194,16777215,1
3d0e7f76,内涵一诺哈,76.308,1610883209,16777215,1
f0151cb8,笑死我了,2360.776,1610883274,16777215,1
ea61fad0,义无反顾,59.816,1610883284,14811775,5
b6d0f264,战歌,481.32,1610883287,16777215,1
87a25464,一刀抬走dyg！,1533.634,1610883342,15138834,5
ea61fad0,君诏老受害者了,100.757,1610883350,15138834,5
912e0e2a,老队友了doge,46.994,1610883379,15138834,1
1015c90f,奶凶的都,1609.848,1610883504,16777215,1
d0b47b96,好难俩队都挺喜欢，还是看回放吧,477.029,1610883504,16777215,1
ea61fad0,易峥笑死我了,154.673,1610883508,15138834,5
498bcf4e,我滴天，好崩唉,2082.641,1610883597,16777215,1
87a25464,真香组合孙尚香加太乙,1543.606,1610883682,15138834,5
55c42f1d,梦泪别了，回来只会丢脸，现在人气高挺好,90.838,1610883683,16777215,1
f171797e,君昭，你去rap吧,137.534,1610883689,16777215,1
38839fd0,还梦泪呢？基本不可能请回来，偶尔打一两把估计还行,73.019,1610883708,16777215,1
cd448999,久酷太可爱了吧,1582.273,1610883713,16777215,1
17b67d1,巅峰时迎来虚伪的看客，黄昏时留下虔诚的信徒。,7.687,1610883715,16777215,1
17b67d1,迎来虚伪的看客，黄昏时留下虔诚的信徒,2.615,1610883741,16777215,1
ea61fad0,君诏笑死我了，长了一张厌世脸哈,109.295,1610883847,15138834,1
cf9203b2,6？,590.809,1610883994,16777215,1
43050333,还是老版本地图看着舒服啊,1997.424,1610884063,16777215,1
34a41e3e,啊这,2086.691,1610884370,16777215,1
bdcef879,君诏配个烟熏妆应该很酷,169.669,1610884563,16777215,1
34a41e3e,what,2372.359,1610884655,16777215,1
34a41e3e,稳住,2393.743,1610884678,16777215,1
cd448999,呵，下饭橘子还有脸说,1542.294,1610884701,16777215,1
ca5bae2d,经验太丰富,37.507,1610885094,16777215,1
ca5bae2d,合着半天是吹自己哈,158.863,1610885228,16777215,1
9c84daf1,不是复活起来了吗,2010.216,1610885479,16777215,1
2374504f,论暂停ag只图一乐，暂停还得看黑漏,14.32,1610885509,16777215,1
2374504f,论暂停ag只图一乐，暂停还得看黑漏,16.86,1610885513,16777215,1
2374504f,论暂停ag只图一乐，暂停还得看黑漏,23.78,1610885523,16777215,1
42ce7cf9,1w经济差,2362.916,1610885583,16777215,1
9b4acbe0,舒服了,10.187,1610885637,16777215,1
1ac5d7f1,几比几了？几比几了？,4.479,1610885645,16777215,1
729e27ab,内涵自己？,1541.838,1610885764,16777215,1
4c138e4d,君诏要笑死我,136.706,1610885883,16777215,1
5a572d52,火舞吕布牛魔,1749.579,1610886018,16777215,1
c9557665,agfw,34.902,1610886129,16777215,1
56a09ead,久酷也挺帅的呀,287.799,1610886373,16777215,1
5a572d52,都没幻神什么事,2087.818,1610886392,16777215,1
ea61fad0,让我们恭喜南京HERO久竞！,0.0,1610886417,15138834,5
