Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c2e06730,一起游戏吧综艺也玩过这个,713.69,1610900853,11890,1
b2e7c21a,前面bo的也是神了h,452.991,1610899624,16777215,1
67e27f02,Hh,876.543,1610899862,16707842,1
b29a2feb,GODGAME,428.418,1610899910,16777215,1
f6b1cdb6,对线哈,651.304,1610899988,16777215,1
b29a2feb,CARY！,607.869,1610900116,16777215,1
8659f19b,家撕逼死你死,882.815,1610900133,16777215,1
c2e06730,童前辈,159.399,1610900189,11890,1
73f87889,对王之王,56.009,1610900252,16646914,5
c7e3c517,触舞,476.734,1610900514,11890,5
660020ff,NCT,798.718,1610898827,38979,1
8387af8f,hardcary,623.997,1610898881,16777215,1
13dbb3e4,看完认哥来了,3.329,1610899006,16777215,1
b097efe4,乐姨母来看你了,45.993,1610899028,16777215,1
6824bf22,是柳变态我记得,229.874,1610899125,16777215,1
12613b9c,牛宝昨天倒了,271.337,1610899158,16777215,1
67e27f02,Hh,305.919,1610899190,16707842,1
67e27f02,Hh,360.233,1610899273,16707842,1
67e27f02,Godgame,428.606,1610899360,16707842,1
67e27f02,Hardcary,619.412,1610899562,16707842,1
3381b5d4,巨人的皮肤也很多痘坑啊,56.782,1610897954,16777215,1
3381b5d4,根叔，快带你丸子弟来,136.714,1610898061,16777215,1
91262bcf,好费嗓子啊哈,766.859,1610898184,16777215,1
252b3a38,来了哈,6.95,1610898341,16777215,1
be9b4da5,满级？,531.585,1610898358,16777215,1
252b3a38,排面必须有,59.089,1610898432,16777215,1
252b3a38,哈名场面,129.403,1610898508,16777215,1
1ca41ccb,来了预告,790.203,1610897034,16777215,1
c6012279,大小CP,62.91,1610897074,16777215,1
f92ecd82,赫海！,477.129,1610897162,16777215,1
8396ed8c,godgame？,430.582,1610897430,16777215,1
9b915ba4,面基,662.408,1610897492,16777215,1
9d56e07b,根仔迷妹来了,58.034,1610897633,52480,1
9d56e07b,妈爱你！,59.357,1610897641,52480,1
b204aea6,cary？,610.909,1610897662,16777215,1
9d56e07b,根仔好帅！,79.41,1610897682,52480,1
fff05193,瓦达,100.357,1610896150,16777215,1
912d22b9,乐笑得太大声了吧哈,829.426,1610896154,10546688,1
8396ed8c,开头无限嘿,60.417,1610896192,16777215,1
c5e2a2c2,21里玩过哈,147.877,1610896254,16777215,1
c5e2a2c2,这节目老说游戏G1有可能来吗,178.645,1610896311,16776960,1
f0195319,刚看完这期认哥还以为是开玩笑的哈,81.493,1610896335,16777215,1
d1d0f5d,哈或,62.952,1610896437,16777215,1
13bfbd6f,哈不愧是你,167.302,1610896477,16777215,1
d1d0f5d,之前出过预告了呀,94.104,1610896540,16777215,1
86318550,巨人拿笔的姿势好有趣,493.715,1610896666,16777215,1
c3c7ef56,这也行？哈,778.535,1610896673,16777215,1
13bfbd6f,道歉信准备一下,366.174,1610896734,16777215,1
d8535864,李帝努钟辰乐妈来啦,27.303,1610896834,16777215,1
