Sender,DmContent,AppearTime,SendTime,FontColor,DmType
5527f33d,姜呢,188.139,1611047003,16777215,1
3054e67c,夹沙肉好吃的很,732.881,1611047005,16777215,1
1ead42a1,适量,1274.317,1611047010,16777215,1
5c24ed0b,人到中年不得已，茶杯里面泡枸杞,1527.393,1611047011,16777215,1
7fdbd6c3,这种要好吃一些,904.665,1611047012,16777215,1
9ac8eb2f,好家伙这我真没吃过,776.197,1611047017,16777215,1
8a3a3646,美食博主家真的是什么都有呢！,488.942,1611047018,16777215,1
2cf3251c,你管这叫厚切。我最薄也就这样了,920.162,1611047018,16777215,1
323c7d2d,应该还有鱼吧,1416.424,1611047021,16777215,1
6b2a1931,看不下去了我已经感觉我吃的好腻了先下桌了友们下一顿再来吧,1231.619,1611047023,16777215,1
dfb2f3d0,好家伙我直接好家伙，原来是这个,417.659,1611047031,16777215,1
610d3b0d,这一期视频做的大年三十可以做看,769.618,1611047033,16777215,1
b9d0f244,这才是酥肉吗！外卖点的怪不得叫小酥肉,100.401,1611047038,16777215,1
1dd6b309,王刚老师太用心了,1401.934,1611047044,16777215,1
4592ecf1,一份非常美味的炸大酥肉就制作完成,93.24,1611047047,16646914,5
10e4ae2,圆子,359.144,1611047048,16777215,1
caf0411d,山西叫卷煎,454.727,1611047051,16777215,1
97b02538,石灰的简直魔鬼,73.713,1611047053,16777215,1
2cf3251c,哎，现在过年是没精力这样搞了,956.416,1611047054,16777215,1
2290c45b,哈19,1579.134,1611047055,16777215,1
bb068da5,因为四舍五入,512.277,1611047056,41194,5
6c6a1ec6,今天整大活啊,30.153,1611047059,16777215,1
40b16a6c,豌豆尖是底料，铺在底下,442.593,1611047062,16777215,1
609de87a,吃不起告辞,15.497,1611047066,16777215,1
e4bda5c2,徐福记酥心糖也行,720.729,1611047084,16777215,1
6fc48f32,嫌麻烦的可以点外卖,564.34,1611047085,16777215,1
40b16a6c,前面的又不是6小时只做一个菜,449.673,1611047095,16777215,1
10e4ae2,蛋圆子,415.336,1611047098,16777215,1
8207ea27,园子,419.796,1611047106,16777215,1
97b02538,有味儿了,126.847,1611047106,16777215,1
dca61211,热乎,5.098,1611047110,16777215,1
2bfd5b59,光翼展开,3.635,1611047113,15138834,5
121f31fc,夹芋头片才好吃,914.499,1611047113,16777215,1
9f121e7c,这东西没见过。,719.969,1611047118,16777215,1
3e5fed26,四川人表示也没吃过,733.16,1611047118,16777215,1
96b8800b,全是猪肉，贵啊,7.444,1611047128,16777215,1
4e3e50cb,我一个都不会，还津有味的看完了,1572.627,1611047130,16777215,1
fad57b62,这么多肉？啥家庭啊？,5.802,1611047134,16777215,1
cf3021fe,我们这边盘龙菜也是这样做的,466.779,1611047134,16777215,1
c578a972,没有山奈的同学可以加入奈生,531.679,1611047137,16777215,1
5f3467e1,这不比博人传燃？,1589.715,1611047139,16777215,1
e42d5c05,过年杀一头猪就有这么多做法,791.849,1611047147,16777215,1
b4694137,钢丝球竟然是用来洗肉的,523.063,1611047154,16777215,1
d6034c17,蒸花鸭,210.785,1611047157,16777215,1
7e21f01b,喔现在终于知道是什么菜了，超喜欢吃这个,403.199,1611047157,16777215,1
1f3ed2b1,粉蒸肉超好吃！,492.976,1611047158,16777215,1
b65e137a,我以为是拿去年的视屏重发的，没想到是重拍的,672.161,1611047159,16777215,1
671d431c,没有锅的去买一个,184.715,1611047167,16777215,1
20cc9492,我都没见过,731.453,1611047177,16777215,1
d6034c17,蒸熊掌,213.932,1611047188,16777215,1
dac19a7a,没有黄酒的可以用茅台,45.848,1611047191,15138834,5
8155e010,膀砣,839.699,1611047195,16777215,1
42c431ac,收藏视频，然后妈,33.734,1611047202,16777215,1
b3e03172,做糖醋里脊简直香啊这,154.819,1611047203,16777215,1
9bc26a09,像虾糕,414.025,1611047205,16777215,1
bafb6b9d,高级,733.149,1611047207,16777215,1
610d3b0d,我们也放梅菜！叫梅菜扣肉,946.252,1611047210,16777215,1
f0610960,跃欲试,1196.194,1611047212,16777215,1
7d80e378,条过半,809.62,1611047213,16777215,1
21e52b16,好家伙我直接好家伙,10.865,1611047216,16777215,1
44e5a9c,拉丝？,265.673,1611047216,16777215,1
fad57b62,鸡蛋都6块一斤了，肉就更不用说了,61.187,1611047230,16777215,1
26e46f81,看得有点腻,1213.466,1611047232,16777215,1
19e924d9,这就是王刚剧场版吗,1205.853,1611047232,16777215,1
b04181c7,卡路里教父来了,665.113,1611047233,16777215,1
70b8c6c3,这块太肥了,218.536,1611047234,16777215,1
5310618a,麻辣是对四川口味的刻板印象,1324.227,1611047235,15138834,5
b716d38c,这个超级好吃,1050.213,1611047239,16777215,1
2aee090,直接吃肉不好吗,626.614,1611047239,16777215,1
6ba9fc8b,讲个鬼故事进度条,664.611,1611047240,16777215,1
f3f3efb9,这不直接吃？,169.701,1611047240,16777215,1
66d63869,这个超好吃下面的糯米也好吃,734.962,1611047243,16777215,1
7dea9c26,华农骂咧走出直播间,426.387,1611047247,16777215,1
5cc2f0ef,烧白,693.114,1611047251,15138834,1
b9d0f244,臭蛋入盆体会过。,262.353,1611047253,16777215,1
df31e07c,oh,1019.415,1611047254,16777215,1
f4ea8b1c,四川第一次见扣鸡鸭,1400.044,1611047257,16777215,1
90d6b962,弹幕护体,345.631,1611047267,16777215,1
6ae4a405,直接睡着了，醒了拉回来继续看,990.273,1611047269,16777215,1
6a5fcfaf,其实成品里的米更好吃比肉还香,764.063,1611047277,16777215,1
f3f3efb9,蒸完以后还能叫酥肉吗？,207.898,1611047278,16777215,1
91fbec7a,太肥了,1023.525,1611047280,16777215,1
610d3b0d,梅花三弄,1008.815,1611047282,16777215,5
5be2e99b,芽菜？,878.604,1611047283,16777215,1
b04181c7,卡路里教父,708.693,1611047288,15138834,5
e3c3ae6f,北方叫焖子,419.673,1611047293,16777215,1
90d6b962,没有纯蛋黄的同学可以加入纯长裙,345.631,1611047295,15138834,5
25a28035,这叫原子吧,347.118,1611047300,16777215,1
93818bca,对，甜烧白,708.995,1611047302,16777215,1
200628d5,门槛肉？,918.977,1611047302,16777215,1
e9b5e280,好饿啊,1066.294,1611047303,16777215,1
6fc48f32,这也是甜烧白么,768.153,1611047307,16777215,1
f0610960,猪油放少了！,1282.214,1611047313,16777215,1
1ead42a1,学会了,1573.237,1611047314,16777215,1
2ddae88b,八大丁在餐桌上怎么分呢,1044.674,1611047315,16777215,1
3cf93a36,梅干菜？,892.419,1611047315,16777215,1
d03a622f,我家都是直接买粉蒸粉,589.96,1611047315,16777215,1
2d209b33,砍好的排骨哈,1149.846,1611047316,16777215,5
610d3b0d,眼泪不争气地从嘴角流出,1029.569,1611047318,16777215,5
d6034c17,不喜欢的同学，可以掀桌,303.331,1611047323,16777215,1
868e7e5c,大家好，他说他是王刚。,7.226,1611047327,16777215,1
877bd4db,中间那个最好吃,28.624,1611047328,16777215,1
f8968ad1,上宽饭,663.996,1611047329,16777215,1
eb54ca5e,技术总结同学们你们还是去饭店吃吧,1563.251,1611047329,16777215,1
2cf3251c,八宝饭？,1234.102,1611047332,16777215,1
b716d38c,超级好吃的,1140.653,1611047334,16777215,1
ba1de9a6,饿了,1569.865,1611047334,16777215,1
2b3cfbd,广东的爱了,1378.562,1611047335,16777215,1
edbd8f29,卷煎,409.379,1611047338,16777215,1
6173bf71,华农是兄弟不叫我,1573.325,1611047338,16777215,1
2acedb28,没有嘴的同学可以用我的,70.927,1611047339,16777215,1
154715b2,建议零售价3480,457.219,1611047339,14811775,1
ddd2665f,夹沙肉里的糯米饭才是灵魂,760.859,1611047340,16777215,1
e730e86a,三连啦，辛苦啦,1587.028,1611047341,16777215,1
139aec7a,和区别的不同？好别扭,130.266,1611047343,16777215,1
51857265,我家都是夹芋头,916.423,1611047346,16707842,5
17a6cb2f,鱼糕台州也有啊，怎么就湖北特产了？,520.305,1611047346,16777215,1
877bd4db,好吃,192.764,1611047349,16777215,1
a555474,过年好,1569.172,1611047350,16646914,1
4592ecf1,两分钟之后再次刷上蛋黄蒸1分钟,363.304,1611047356,16646914,5
5ed24cae,酥的肉？,35.937,1611047356,16777215,1
d03a622f,自己吃不加土豆,636.333,1611047361,16777215,1
b06ad177,1202,1572.067,1611047362,16777215,1
7c2c4c9d,流弊！,1553.833,1611047368,16777215,1
5310618a,四川年夜饭除了这几晚还有其他炒菜烧菜汤品,1437.513,1611047372,15138834,5
f029b47e,我一个无锡人看这么多糖都腻了一，,746.643,1611047372,16777215,1
f77cc61d,没有耐心的同学可以不吃,543.227,1611047378,16777215,1
8f73b584,这样的肉恐怕还不便宜，现在的猪种出栏快，偏瘦,223.652,1611047378,16777215,1
4b2a7757,糖拌饭超好吃,743.714,1611047380,16777215,1
4d32d79f,我们这里的是汤,426.339,1611047383,16777215,1
62095034,广东人不吃甜，那你少放糖就行了,1386.487,1611047393,16777215,5
9c580abf,这不3连一波,76.246,1611047395,16777215,1
271cde86,准备邢道荣,31.272,1611047398,16776960,5
23e543e3,粉蒸肉,310.005,1611047398,16777215,1
ee042fb7,潘凤,1053.457,1611047401,16777215,1
2e42821c,川菜的麻辣是刻板印象，川菜讲究百菜百味，甜口和酸甜口也是重要部分,1287.884,1611047402,16777215,1
e25b0569,这三个字好难念,658.114,1611047406,16777215,1
801b4472,头碗等我,432.698,1611047413,16777215,1
7b1fcdd7,太认真了,1474.78,1611047414,16777215,1
a9ae1c8b,T2热处理,390.272,1611047414,16777215,1
614c06c6,就是梅干菜,894.776,1611047420,16777215,1
1a5d9891,不是放冰块谁里,882.321,1611047424,16777215,1
