Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6597942b,休宁凯！,18.939,1611071293,16777215,1
9763c9ac,？哈,240.929,1611071330,16777215,1
4da2d839,笑死了怎么这样哈,250.169,1611071382,16777215,1
53476590,太瘦了吧宝贝们,12.219,1611071746,16777215,1
5d93d0d1,这吉利服不错,247.756,1611071859,16777215,1
75685311,前方高能,232.377,1611072152,15138834,5
23c4f044,清新档人冲鸭,4.659,1611070487,16777215,1
cfbba6b0,53就是最牛的！,24.999,1611070487,16777215,1
64295bf5,伴舞这装备也太搞笑了吧h,256.099,1611070512,14811775,5
23c4f044,好渴矮,96.539,1611070596,16777215,1
cfbba6b0,你大哥飞啦！,55.626,1611070599,14811775,5
c5271776,吉利服是吗？,247.539,1611070792,16777215,1
23c4f044,您的套路已出现,185.763,1611070795,16777215,1
23c4f044,笑死,249.157,1611070960,16777215,1
23c4f044,嘤为啥留4一个人嘛,289.557,1611071024,16777215,1
9e802562,mv还挺好玩,88.695,1611071050,16777215,1
109961d8,TXT弟大发！,21.11,1611069550,16777215,1
3d5e1d69,好帅,44.737,1611069956,16777215,1
3d5e1d69,等着2345学1这段日语rap哈,100.667,1611070031,16777215,1
3d5e1d69,竟然有这段,190.097,1611070134,16777215,1
3d5e1d69,伴舞哈,240.961,1611070186,16777215,1
a99f94ad,卧槽,244.589,1611070235,16777215,1
