Sender,DmContent,AppearTime,SendTime,FontColor,DmType
712ad848,炽阳,0.404,1611075067,16777215,1
3a204b0b,特效还行，建模一般，,23.867,1611075092,16777215,1
4bd5f682,亲姐确信无疑,36.141,1611075140,16777215,1
3a204b0b,说好的二次元呢,13.799,1611075290,16777215,1
7e43d3bb,不会玩，买了就是离V10又近了一步,55.311,1611075307,16777215,1
3a204b0b,这尼玛的那里二次元,35.309,1611075312,16777215,1
9330995b,前面说丑的你要买不起是真的不至于那么帅,74.827,1611075314,16777215,1
2dcee82a,没有那种惊艳的感觉,56.388,1611075322,15138834,1
3a204b0b,换个肤色，改特效,61.283,1611075358,16777215,1
9330995b,前面说丑的你要是买不起，就真的不至于那么酸,80.887,1611075361,16777215,1
3a204b0b,这锚点皮肤,87.828,1611075384,16777215,1
3a204b0b,暖阳的二次元就这,23.314,1611075486,16777215,1
13c24a49,这最后的语音太拉跨了吧，我是来听妹子声音的,79.716,1611075494,16777215,1
fdec018b,不怎么样,80.383,1611075506,16777215,1
3a204b0b,仔细看不就是原皮，换个肤色加特效,82.71,1611075545,16777215,1
3dca97f6,我吐了，期待了这么久，就给我整了这么个锚点皮肤？对得起我们这些镜玩家吗,47.57,1611075555,15138834,5
a77e9bda,一般情况啊,74.139,1611075559,16777215,1
3a204b0b,不咋地,15.931,1611075561,16777215,1
b597ff46,我还以为真二次元水冰月型呢，上当了,27.219,1611075569,16707842,1
a77e9bda,雅典娜？,9.894,1611075582,16777215,1
3a204b0b,这模型不是跟伴生差不多,51.824,1611075597,16777215,1
7488354d,感觉武器好短,33.047,1611075786,15138834,1
ef07b18c,打弟好评,30.58,1611075855,16777215,1
6f0ec21a,二次元？水冰月？逗人玩呢！也就换个颜色吧！有锚点咱没意见，可这也太敷衍了吧！,2.801,1611075880,16777215,1
d9754b1b,地铁老人手机,81.74,1611075993,15138834,5
8f959289,如有一味绝境，非历十方生死,26.765,1611074066,16777215,1
c42ac1c,姐弟俩都安排fmvp。这待遇是真的。,25.059,1611074134,16777215,1
fe74d333,有点吵,73.78,1611074134,16777215,1
e31a59b4,一技能就一团光不太好吧，太单调了希望优化改,34.213,1611074179,16707842,5
57e81fc,这个头我真的看了好久都觉得像p的！,3.133,1611074212,15772458,5
5539e115,个都说不行买的比谁都积极,74.279,1611074223,16777215,1
e31a59b4,优化建议希望官方看到一技能细节优化一下，一团光有点污染,0.598,1611074468,16707842,5
b7f774b8,个人感觉音效有点像修改了干将的FMVP,35.345,1611074478,16777215,1
