Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6bbf5ed7,开囸,6.502,1611068784,38979,5
6bbf5ed7,开囸,4.542,1611068810,14811775,4
324d4797,开头见,57.312,1611068883,16777215,1
39a7a54a,Oh,21.712,1611068996,16777215,1
5d52702f,Oh,21.207,1611069200,16777215,1
5d52702f,Oh,17.569,1611069222,16777215,1
5d52702f,Oh,17.569,1611069231,16777215,1
5d52702f,Ohjh,17.569,1611069240,16777215,1
5d52702f,Oh,16.549,1611069264,16777215,1
5d52702f,Oh,16.549,1611069270,16777215,1
5d52702f,Oh,16.549,1611069276,16777215,1
5d52702f,Oh,16.549,1611069282,16777215,1
5d52702f,Ohjh,16.549,1611069287,16777215,1
a24b195b,这不比博人转燃？,14.484,1611067826,16777215,1
860d239,旧活新整,2.858,1611068208,15138834,1
152e875c,oh,7.747,1611068262,16777215,1
e176ea41,简介太走心了,28.63,1611068295,16777215,1
6ee11e9,2倍速,10.582,1611067242,16777215,1
7f8846fe,带劲儿,18.385,1611063001,16777215,1
7f8846fe,耗子尾汁,53.465,1611063071,16777215,1
5efa53c,oh,17.575,1611063446,16777215,1
6c179f7b,囸现任,31.415,1611063558,16777215,1
d4fea227,90度急转,31.099,1611063840,16777215,1
addfaf9c,这时，打开二倍速。,20.993,1611063855,16777215,1
c8bcdcff,光速QA,21.578,1611064008,16777215,1
2bff4038,oh,19.939,1611064145,16777215,1
c1a1d4b8,BGM不对劲,0.662,1611064390,15138834,5
c1a1d4b8,我先来离谱,4.793,1611064408,16707842,1
3018d156,洗刷,45.037,1611064438,15138834,1
9e202e03,离谱,14.183,1611064640,16777215,1
9e202e03,仙人说唱,18.02,1611064675,15138834,5
b13d29ad,哈笑死了,33.26,1611064680,16777215,1
445b2641,oh,20.994,1611064706,16777215,1
ec3e6933,前方囸能,4.102,1611064835,16777215,1
4b2e3126,离谱,12.279,1611064970,16777215,1
4fc9409f,背景音乐不错,16.879,1611065428,16777215,1
4fc9409f,中国新说唱,25.927,1611065437,15138834,5
bbe6fe55,oh,24.219,1611065479,16777215,1
5da742f4,哲人音乐,4.039,1611065680,16707842,5
eda5ba91,kei你猫,48.521,1611065924,16777215,1
23320219,狂日人记,22.068,1611066089,16777215,1
2c8011be,oh,23.365,1611066252,16777215,1
949d0aeb,oh,17.982,1611066418,16777215,1
2f7a0808,好活,35.636,1611066454,16777215,1
51ab6dda,oh,17.129,1611061564,16777215,1
33fc94c9,就离谱,44.152,1611061809,16777215,1
1ca1f97f,唱上山了咋还？,31.271,1611062137,16777215,1
6906e081,好汉歌？,33.689,1611062420,16777215,1
8a38b60e,太草了,21.198,1611061128,16777215,1
8a38b60e,言叶,36.254,1611061143,16777215,1
dc23788d,处囸错,49.659,1611061161,16777215,1
dc23788d,哪都日,49.659,1611061182,16777215,5
3b5e1793,简介讲的太走心了,13.912,1611061299,16777215,1
950bef54,oh,21.899,1611061351,16777215,1
d3dab1ee,火钳刘明,0.4,1611059957,16777215,1
815b1b20,马哒,28.059,1611060552,16777215,1
2a131f21,oh,13.979,1611058734,16777215,1
2a131f21,仙人歌,37.388,1611058757,16777215,1
8fe74f0c,处囸,44.52,1611058940,16777215,5
5f42d7a0,rapegod囸仙人,1.062,1611058974,16777215,1
891bdab8,山本大意失先人,54.163,1611059184,16777215,1
7283b103,仙人板！,31.221,1611057759,16777215,1
81c40258,吕布毫无波动,40.84,1611057989,16777215,1
4cb2f0cb,oh,21.626,1611058494,16777215,1
a9a79b5c,仙人模式,21.861,1611056922,16777215,1
e38b7638,这什么歌来着,53.484,1611056936,16777215,1
658f123c,前方高能,4.651,1611055989,15138834,5
658f123c,离谱,29.311,1611056021,15138834,5
120083f9,BGM处吻,60.213,1611056152,16777215,1
120083f9,BGM是处吻,55.125,1611056197,16777215,1
b52b8311,简介讲的太走心了,2.901,1611056436,16777215,1
294ac415,口齿伶俐,23.439,1611056452,16777215,1
e70dc50b,处囸,56.677,1611056491,16777215,1
4e9e595e,简介讲的太走心了,18.015,1611056641,16777215,1
dbb2e9be,oh,6.655,1611055069,16777215,1
dbb2e9be,oh,13.156,1611055076,16777215,1
efa39a14,woc,13.386,1611055227,16777215,1
883694cd,家乡小调？,26.703,1611055495,16777215,1
9c33611c,求BGM,59.047,1611055632,16777215,1
e3778ce9,离谱,46.211,1611055676,16777215,1
dd25e5d9,离谱,14.979,1611054330,16777215,1
9cfbb44e,简介讲的太走心了,28.869,1611054749,16777215,1
771bec05,20分钟，热可食,6.003,1611053242,16777215,1
76d34fff,NB,45.051,1611053628,16777215,1
76d34fff,离谱，就离谱,7.774,1611053721,16777215,1
d3181e74,当你看到我，你已经是第十了,23.23,1611053984,16777215,1
d5526e3a,简介讲的太走心了,52.778,1611054058,16707842,5
5e9167b,离谱,22.881,1611052053,16777215,1
5e9167b,离谱,53.017,1611052083,16777215,1
a00adc2e,rap仙人,10.279,1611052277,16777215,1
622b0dec,oh,18.779,1611052280,16777215,1
