Sender,DmContent,AppearTime,SendTime,FontColor,DmType
218882f3,沙发,6.048,1610867659,16777215,1
5d3c7c2c,no1,24.291,1610867689,16777215,1
7789a919,又是情歌,77.668,1610867900,16777215,1
8fddc5a0,四分钟,6.32,1610867911,16777215,1
fee5d220,这首挺好听的,98.971,1610868204,16777215,1
9512230a,9分钟,14.685,1610868249,16777215,1
98b8b1f1,我是冲着美女来的,27.106,1610868695,16777215,1
576190ed,冰真可爱,104.051,1610868868,16777215,1
ab93a112,爱了,173.595,1610868968,16777215,1
ec2fefca,老林！,144.25,1610869133,16777215,1
9d8f8914,热乎,17.145,1610869166,16777215,1
40b03ca2,白月光冰,125.358,1610869386,16707842,5
40b03ca2,吴青峰和周深的也不错,172.914,1610869434,16707842,1
7bfba6f4,又是冰,85.534,1610869503,16777215,1
8171c588,这旋律，好像有点熟悉,79.165,1610869768,16777215,1
d95b1c04,以爱之名，再见宋哈娜,178.56,1610869968,16777215,1
116c0fb7,赞有了,176.626,1610870657,16777215,1
5ca013cb,恕难欣赏,93.613,1610871027,16777215,1
e9720250,起峰了,141.596,1610871264,16777215,1
3606a35c,什么啊,60.449,1610871284,16777215,1
62e9a8a2,白月光在照耀你才想起她的好,76.099,1610871309,16777215,1
3606a35c,林俊杰！,152.207,1610871376,16777215,1
34c74a72,冰好可爱,20.342,1610871639,16777215,1
2b22c4ce,都是这个封面,8.195,1610871946,16777215,1
83074919,开门BGM特好,30.591,1610873343,16777215,1
83074919,来了,40.798,1610873353,16777215,1
83074919,爷青回,51.923,1610873364,16777215,1
83074919,打卡,59.57,1610873372,16777215,1
83074919,极度舒适,79.747,1610873392,16777215,1
83074919,一切安好,99.734,1610873412,16777215,1
83074919,这期有内味了,127.271,1610873439,16777215,1
83074919,起风了,134.86,1610873447,16777215,1
83074919,俊杰克拉斯,145.632,1610873458,16777215,1
83074919,邵华不负，归来仍是少年,177.356,1610873489,16777215,1
83074919,幸福的,188.251,1610873500,16777215,1
83074919,开心,9.81,1610873518,16777215,1
83074919,要过年的赶脚,26.38,1610873534,16777215,1
83074919,被感动到了,35.399,1610873543,16777215,1
83074919,我去,48.575,1610873556,16777215,1
83074919,币了,54.948,1610873563,16777215,1
7dd40ad5,冷冰，暖莹,44.66,1610873566,16777215,1
83074919,己关注,63.187,1610873571,16777215,1
83074919,江湖风云录,75.545,1610873583,16777215,1
83074919,剪辑好评,86.676,1610873594,16777215,1
83074919,故乡的风,97.974,1610873606,16777215,1
83074919,故乡的云,104.918,1610873613,16777215,1
83074919,青春永驻,117.015,1610873625,16777215,1
83074919,投币,127.538,1610873635,16777215,1
83074919,无语,133.88,1610873642,16777215,1
83074919,唯有投币加赞,152.258,1610873660,16777215,1
83074919,厉害了,165.849,1610873674,16777215,1
83074919,励志,174.151,1610873682,16777215,1
83074919,币一个,181.431,1610873689,16777215,1
83074919,至此,187.927,1610873696,16777215,1
83074919,轻松,10.219,1610873713,16777215,1
83074919,把币拿好了,22.784,1610873725,16777215,1
83074919,UP主大才,128.591,1610873831,16777215,1
83074919,牛币,137.776,1610873840,16777215,1
83074919,黄非黄,179.414,1610873882,16777215,1
11f78d6b,这也太难听了吧,52.308,1610874170,16777215,1
1b39e18a,太好听了！,192.066,1610874400,16777215,1
43f189d1,只是年轻而已，大众脸吧，大些后就不耐看了,78.383,1610874548,16777215,1
83074919,第一个,28.42,1610874962,16777215,1
ca5ba378,白日梦想家，我最喜欢的电影之一,163.299,1610875266,16777215,1
24dc418,这个我熟,82.415,1610875315,16777215,1
fb919d42,不行,42.688,1610875702,16777215,1
53e08caa,这好听,33.449,1610876438,14811775,4
9b744846,欣赏不来,60.265,1610876701,16777215,1
86c297d7,这能听？好难听,49.578,1610876910,16777215,1
28ecedbf,冰！,12.4,1610877291,16777215,1
52385ee5,oh,141.359,1610877544,15138834,1
52385ee5,就j的有感觉,154.239,1610877557,16707842,5
18348bd5,欣赏不来,64.488,1610877805,16777215,1
e491c2c6,看到老婆我就点进来了,7.219,1610878077,16777215,1
abca1870,她还是这么迷人,105.869,1610878093,16777215,1
30a88722,还是这个好听,138.305,1610878583,16777215,1
98557869,币须有,148.858,1610878887,16777215,1
52cca29,舔狗。,58.143,1610879206,16777215,1
70da6d64,缝合怪歌,82.304,1610879224,16777215,1
40dd55ea,白月光的旋律好像很熟悉，在哪里听过,83.725,1610880889,16777215,1
11db43b7,她还是那么爱笑,119.354,1610881840,16777215,1
14bf2b62,什么东西,67.599,1610881916,16777215,1
f8207c4a,舔狗之歌,69.623,1610884886,16777215,1
69d5841d,欣赏不来，九十年代的感觉,68.339,1610885074,16777215,1
388aa5b3,为冰而来,32.819,1610885669,16777215,1
ea909f86,就这,56.921,1610888169,16777215,1
ea909f86,蹭热度吧,98.0,1610888220,16777215,1
52bc864,难听,34.761,1610889140,16777215,1
52bc864,什么玩意儿,58.76,1610889164,16777215,1
e84197a3,就这？,64.363,1610890842,16777215,1
29cb4400,这就是传说的桃花眼？,110.587,1610890928,16777215,1
d01b1c7d,这女的已经结婚了，你们不用做梦了,127.102,1610891431,16777215,1
4febd650,小姐真好看,111.659,1610892147,16777215,1
6883a7de,越狱,7.697,1610892918,16777215,1
a2088e67,再也没有,14.939,1610893453,16777215,1
3200525e,？不是，这能听？,63.721,1610896258,16777215,1
c7cc0567,用冰骗播放,25.927,1610896509,16777215,1
c7cc0567,冰给我留下的那句别问，问就是啃桌子,107.786,1610896591,16777215,1
43e96909,文案不错,46.196,1610899783,16777215,1
b9157f4c,这什么东西,59.321,1610900524,16777215,1
b9157f4c,说真的，比不上原唱,174.733,1610900577,16777215,1
d85adc,白日梦想家！,176.336,1610901136,16777215,1
218882f3,沙发,6.048,1610867659,16777215,1
5d3c7c2c,no1,24.291,1610867689,16777215,1
7789a919,又是情歌,77.668,1610867900,16777215,1
8fddc5a0,四分钟,6.32,1610867911,16777215,1
fee5d220,这首挺好听的,98.971,1610868204,16777215,1
9512230a,9分钟,14.685,1610868249,16777215,1
98b8b1f1,我是冲着美女来的,27.106,1610868695,16777215,1
576190ed,冰真可爱,104.051,1610868868,16777215,1
ab93a112,爱了,173.595,1610868968,16777215,1
ec2fefca,老林！,144.25,1610869133,16777215,1
9d8f8914,热乎,17.145,1610869166,16777215,1
40b03ca2,白月光冰,125.358,1610869386,16707842,5
40b03ca2,吴青峰和周深的也不错,172.914,1610869434,16707842,1
7bfba6f4,又是冰,85.534,1610869503,16777215,1
8171c588,这旋律，好像有点熟悉,79.165,1610869768,16777215,1
d95b1c04,以爱之名，再见宋哈娜,178.56,1610869968,16777215,1
116c0fb7,赞有了,176.626,1610870657,16777215,1
5ca013cb,恕难欣赏,93.613,1610871027,16777215,1
e9720250,起峰了,141.596,1610871264,16777215,1
3606a35c,什么啊,60.449,1610871284,16777215,1
62e9a8a2,白月光在照耀你才想起她的好,76.099,1610871309,16777215,1
3606a35c,林俊杰！,152.207,1610871376,16777215,1
34c74a72,冰好可爱,20.342,1610871639,16777215,1
2b22c4ce,都是这个封面,8.195,1610871946,16777215,1
83074919,开门BGM特好,30.591,1610873343,16777215,1
83074919,来了,40.798,1610873353,16777215,1
83074919,爷青回,51.923,1610873364,16777215,1
83074919,打卡,59.57,1610873372,16777215,1
83074919,极度舒适,79.747,1610873392,16777215,1
83074919,一切安好,99.734,1610873412,16777215,1
83074919,这期有内味了,127.271,1610873439,16777215,1
83074919,起风了,134.86,1610873447,16777215,1
83074919,俊杰克拉斯,145.632,1610873458,16777215,1
83074919,邵华不负，归来仍是少年,177.356,1610873489,16777215,1
83074919,幸福的,188.251,1610873500,16777215,1
83074919,开心,9.81,1610873518,16777215,1
83074919,要过年的赶脚,26.38,1610873534,16777215,1
83074919,被感动到了,35.399,1610873543,16777215,1
83074919,我去,48.575,1610873556,16777215,1
83074919,币了,54.948,1610873563,16777215,1
7dd40ad5,冷冰，暖莹,44.66,1610873566,16777215,1
83074919,己关注,63.187,1610873571,16777215,1
83074919,江湖风云录,75.545,1610873583,16777215,1
83074919,剪辑好评,86.676,1610873594,16777215,1
83074919,故乡的风,97.974,1610873606,16777215,1
83074919,故乡的云,104.918,1610873613,16777215,1
83074919,青春永驻,117.015,1610873625,16777215,1
83074919,投币,127.538,1610873635,16777215,1
83074919,无语,133.88,1610873642,16777215,1
83074919,唯有投币加赞,152.258,1610873660,16777215,1
83074919,厉害了,165.849,1610873674,16777215,1
83074919,励志,174.151,1610873682,16777215,1
83074919,币一个,181.431,1610873689,16777215,1
83074919,至此,187.927,1610873696,16777215,1
