Sender,DmContent,AppearTime,SendTime,FontColor,DmType
603274d2,这么会如此相似,202.718,1611076445,16777215,1
603274d2,完全一致,215.747,1611076458,16777215,1
77670e41,来了，熟悉的那一套,572.393,1611076634,16777215,1
9ab59b90,这不就是郑爽和张恒吗,169.202,1611075055,16777215,1
774e937b,为什么听起来还是在买卖儿童,457.57,1611075664,16777215,1
6a1e386f,刷一样的除了宝出生前父母分开了，还有哪里一样了,263.432,1611073909,16777215,1
e6ea660,不太一样吧这个前妻不是生物上的母亲啊,180.628,1611074733,16777215,1
dc1f1183,说不一样的你是认真的么女方不想与孩子有关联男方去国外照顾孩子男方签证到期都一样啊,248.98,1611074758,16777215,1
28bc635,以下内容建议全文背诵,577.555,1611073051,16777215,1
20974a6a,生物联系指的应该是物体上的联系吧，并不是说意向母亲与孩子没有血缘关系,237.893,1611073216,16777215,1
e9b40e9,那些捐精捐卵的人的孩子谈恋爱之前还是去做个血缘检测吧，万一爱上了自己的手足可就尴尬了,409.926,1611073253,16777215,1
b20c7e68,点名了。灯塔国,325.101,1611073609,16777215,1
72e31677,为什么海绵宝还是哪里有这个片段,226.671,1611072262,16777215,1
987a6afd,剪了什么,121.94,1611072693,16777215,1
4af32173,听起来好像alotsofgun,302.427,1611072770,16777215,1
5f5835e2,卧槽，一模一样啊,181.879,1611071181,16777215,1
6cd144fb,各国签署那没意思了川宝已经表演过很多次退群了,260.703,1611071214,16777215,1
6bf6b9d2,一毛一样,201.439,1611071249,16777215,1
a1854738,包生男孩。这种算购买了吧,474.252,1611071314,16777215,1
78053530,历史总是惊人的相似,238.989,1611071645,16777215,1
560e6f19,完全一致,212.636,1611071697,16777215,1
18fe11f6,所以还是不生吧，万一自己教育不行养出来个崽种怎么办,620.127,1611071937,16777215,1
2ec6d7e1,好家伙,203.614,1611072014,16777215,1
f2d6ad61,一模一样,230.799,1611070229,16777215,1
c7e743ee,一模一样,219.865,1611070543,16777215,1
c0b1921,这一点不认同，孩子是整场交易的一部分,474.399,1611070591,16777215,1
35836290,流产了就不会全额支付吧,477.946,1611070965,16777215,1
35836290,为购买者服务？那购买者反悔了怎么办？,464.441,1611071083,16777215,1
c7b27d1f,他的意思可能是说不仅是买卖孩子,474.839,1611069412,16777215,1
62d1bfce,案例里的女人和孩子没有血缘关系，不要孩子我还能理解，ZS可是孩子血缘上的母亲，还不要孩子，我的天,236.199,1611069585,16777215,1
63a94d0f,这句话建议背诵,334.338,1611069652,16707842,1
e6aefd88,和郑爽一模一样,229.507,1611069809,16777215,1
6dc99c82,一模一样,213.395,1611069858,16777215,1
71608a79,紧跟时事,51.519,1611069869,16777215,1
27492f6d,卧槽？这都一样,194.637,1611069986,16777215,1
3305df5,紧跟时事,24.499,1611070029,16777215,1
6784a893,为啥女方没有生物学联系，卵子不是女方的吗,173.896,1611070059,16777215,1
602cc0c0,服务不算商品吗,465.625,1611068524,16777215,1
326768ab,郑爽,2.659,1611068617,16777215,1
9510dd77,孩子依旧还是商品被买走,467.235,1611068876,16777215,1
1b219880,好家伙紧跟时事,7.557,1611068894,16777215,1
188aa34f,ZS,171.343,1611068969,16777215,1
3768c093,劳动力商品？,469.095,1611068984,16777215,1
c67ca5f3,shame,326.135,1611069264,16777215,1
11b8c509,紧跟时事,101.51,1611069301,16777215,1
8af7d138,紧跟时事,2.24,1611067494,16777215,1
601725cb,一模一样,227.143,1611067606,16777215,1
48bd7193,ZS,164.772,1611067662,16777215,1
e8f66c93,草好像,176.919,1611067671,16777215,1
48bd7193,一模一样啊,192.0,1611067688,16777215,1
48bd7193,如果禁止了还有孩子吗,285.044,1611067781,16777215,1
2e8715c6,确实,688.384,1611067797,16777215,1
2f28d48a,好家伙，一模一样,198.44,1611067826,16777215,1
1d1330fc,来了,0.0,1611068016,16777215,1
9ba1ea25,一模一样，可以当例子了！,199.861,1611068128,16777215,1
48bd7193,所以富人就是这样钻法律的空子。好酸,678.19,1611068178,16777215,1
41c96237,好家伙,196.53,1611068252,16777215,1
226722f3,一模一样哈,178.381,1611068414,16777215,1
3c5cd4aa,来啦,19.121,1611067059,16777215,1
b829d3f2,郑爽？,168.103,1611067237,16777215,1
b34a3ce2,好家伙一模一样,174.971,1611067299,16777215,1
2e8715c6,这个过程简直就像把孩子当做飞机一样，利用全球化来制造,389.663,1611067435,16777215,1
e9c91bb8,紧跟时事,16.446,1611067456,16777215,1
