Sender,DmContent,AppearTime,SendTime,FontColor,DmType
48848ea7,新赛季bug是真的多,159.299,1610960721,16777215,1
ede896ff,很简单,872.261,1610960724,16646914,5
f1947ac1,小明所以爱又转移了对吗,51.968,1610960730,16777215,1
5ff152b8,cuip,10.75,1610960761,16777215,1
4bb6409d,看到我你就不是第一了,0.059,1610960781,15138834,5
da875bb5,好家伙，现在脑子里全是鸟,873.631,1610960802,16777215,1
5c233a9e,热乎,5.188,1610960860,16777215,1
589478e3,我的也白了,8.301,1610960860,16777215,1
d11501c2,我同学遇到过,158.368,1610960879,16777215,1
4ade3dd5,这手机还是网络也太好了叭,180.776,1610960955,16777215,1
d03b6239,哈就,153.172,1610960967,16777215,1
13ab577b,第一个看完,868.542,1610960980,16777215,5
ac9b5dfe,哈啊,439.425,1610961057,16777215,1
4ac7bf15,还热乎,117.815,1610961069,16777215,1
f419b2cc,这马可。,442.382,1610961090,16777215,1
235bedf8,尿不出,656.164,1610961097,16777215,1
3eba7db9,BGM勾指起誓,19.094,1610961111,41194,1
5008e6b7,请问这种现象持续多久了,643.051,1610961111,16777215,1
ffd7805a,死因鸟！,725.332,1610961124,16777215,1
f419b2cc,哦原来是有孙膑的爆弹啊，我说为什么会过去啊,454.928,1610961137,16777215,1
f3c82a82,我也遇到了,155.785,1610961181,16777215,1
aee5844e,马可wdnmd吃我兵，害我残血也想蹭一口,431.76,1610961188,16777215,1
e49facea,笑死了,155.939,1610961189,16777215,1
f34b9571,笑死,504.047,1610961215,16777215,1
8848c1d5,尿不出来,648.338,1610961231,16776960,1
f34b9571,核弹石锤,550.255,1610961261,16777215,1
b409eb03,BGM好评！时代少年团！,274.268,1610961274,16707842,5
b409eb03,BGM我爱了啊！TNT,291.808,1610961309,16707842,5
65e9e607,还是我盾山倔强,124.339,1610961310,16777215,1
74d693b2,这种前期无限蹭线，真的烦，能带飞还好，遇到带不飞的真的想杀人,305.257,1610961314,16777215,1
f34b9571,爷青结,627.597,1610961339,16777215,1
e65aae37,正片开始,133.557,1610961409,16777215,1
3376dc,尿不出来呀,652.948,1610961413,16707842,1
e65aae37,正片2分14,2.072,1610961427,16777215,1
b88b393a,去我前天也这样,152.673,1610961449,16777215,1
c87f9051,23,737.703,1610961459,16777215,1
635656d1,不用重进的，照样下载，进去就没事了，别问我为啥知道QAQ,164.492,1610961512,16777215,1
6469964e,哈选了个盾山,115.462,1610961551,16777215,1
dc74c937,其实不用重进的,174.177,1610959823,16777215,1
6b011321,来早了,108.721,1610959857,16777215,1
6b011321,怎么没人,1.139,1610959865,16777215,1
70608b4d,我是第一,9.629,1610959875,16777215,1
f55ac202,兰陵王立绘怎么变了,85.681,1610959882,16777215,1
b97fe3e7,！前排，热乎,15.599,1610959894,16777215,1
fbe2d5a,第一个看完！,850.962,1610959905,16777215,1
b97fe3e7,承包空屏,25.238,1610959905,16777215,1
3daf7c9a,全员不要脸,151.244,1610959965,16777215,1
6bb73400,lp,9.327,1610960038,16777215,1
9b19ef2f,关上6的大门,12.745,1610960038,16777215,1
7d1a72ff,你吼辣么大声干嘛呀,711.101,1610960041,16777215,1
403f8dc7,冷鸢的勾指起誓！,58.92,1610960043,14811775,5
6bb73400,热乎！,15.378,1610960044,16777215,1
9b19ef2f,有人吗,33.852,1610960059,16777215,1
20881664,看到我你就不是第一了,1.259,1610960062,16777215,1
e48861f0,口出狂言,157.729,1610960101,16777215,1
ef8f58e3,热乎,8.494,1610960110,16777215,1
ede896ff,小乔哈,292.864,1610960134,16777215,1
1e38bc0d,果断重进，老玩家了o,157.95,1610960165,16777215,1
4d95da8e,住B站,138.873,1610960176,16777215,1
63440d6a,为啥禁澜,46.057,1610960199,16777215,1
954e94d4,对面好人啊都不反蓝的,264.842,1610960221,16777215,1
a4f4d588,蹭！,373.202,1610960227,16777215,1
25929139,我也遇到过,142.032,1610960269,16777215,1
f2ee0d1,我也是,3.47,1610960276,16777215,1
e88ccea8,白屏可还行,154.67,1610960306,16777215,1
8e1789ac,斗地主,137.556,1610960309,16777215,1
9552c6f7,勾起誓约,130.899,1610960328,15138834,1
e48861f0,小乔wdnmd,363.734,1610960365,16777215,1
a6e4f751,收取胜利保障金,400.193,1610960366,16777215,1
da92a26b,蹭，就硬蹭,393.981,1610960371,16777215,1
235bedf8,9分钟,29.243,1610960376,16777215,1
ede896ff,果然这队友好像我,548.153,1610960393,16777215,1
a4f4d588,你不要过来啊,534.971,1610960400,16777215,1
cef31636,梦泪的奇妙比喻,51.526,1610960492,16777215,1
3306a9e6,前方高能,130.507,1610960521,16646914,1
21c03790,ha,740.91,1610960525,16777215,1
aae2fb5,热乎,12.353,1610960525,16777215,1
7970fae9,12分,136.957,1610960561,16777215,1
b70f07e4,全员不要脸的那个你是魔鬼吗？,158.718,1610960573,16777215,1
e88ccea8,夺笋啊哈,439.301,1610960591,16777215,1
da92a26b,尿不出来，得治,666.027,1610960619,16777215,1
33b5ad66,我也是,25.221,1610960671,15138834,1
33b5ad66,重进就好了,40.645,1610960687,15138834,1
c16a9373,我也是,158.797,1610960697,16777215,1
f1947ac1,小明所以爱又转移了对吗,44.993,1610960713,16777215,1
c59bfd6d,我也遇到过,146.967,1610960713,16777215,1
90e899fe,生个小明无敌,82.987,1610959795,16777215,1
237b39bf,第一,25.455,1610959795,16777215,1
e5810fed,今天太早了,44.297,1610959818,16777215,1
