Sender,DmContent,AppearTime,SendTime,FontColor,DmType
b952d942,枸杞难挡岁月催，还得往里加当归。,59.883,1611017878,16707842,1
b952d942,当归难挡岁月催，人参鹿茸泡小烧。,63.723,1611017942,16707842,1
b952d942,人参鹿茸不挡饱，还得腰子加肾宝,67.563,1611017995,16707842,1
81b05622,金钱豹唱片,5.921,1611016422,15138834,5
4970d83a,大补啊,29.601,1611016558,16777215,1
d670861d,他为什么不能闭着眼睛吃饭？,189.431,1611017041,16777215,1
e50e50c8,齁不死你，难怪年纪轻就开始喝枸杞,147.841,1611017080,16777215,1
edc5f2bb,卧槽,35.133,1611017165,16777215,1
857eac13,这顿做的真的好诱人,182.662,1611017215,16777215,1
a8cb3b6b,可恶，突然想吃肘子，这就点外卖,242.493,1611016067,16777215,1
f7635c17,好湿,268.63,1611016312,16777215,1
37a1be73,好湿,269.071,1611014601,16777215,1
fc71102e,大补啊,31.434,1611015357,16777215,1
37a1be73,好家伙,36.552,1611014338,16777215,1
bcbd90c4,好家伙，枸杞粥,44.516,1611007480,16777215,1
8afc0e6c,不放折耳根没味道啊,144.181,1611005295,16777215,1
8afc0e6c,好像只有北方不吃折耳根吧？,153.093,1611005320,16777215,1
776a64c2,武林群侠传！,40.208,1611002883,16777215,1
1be61efa,小心前面带刺滴美腿,4.985,1610999805,15138834,5
9441ef53,好湿,269.801,1610995268,16777215,1
1e88b061,啊，这还是以前的打油诗吗，山药这写诗的水平现在真的不得了,267.241,1610995364,16777215,1
8927ef33,不喝雷碧，爷青结,262.681,1610993880,16777215,1
f9b5d909,是折耳根，好特喵腥啊,169.361,1610993233,15138834,4
46ed673,川人狂喜,142.859,1610993256,16777215,1
dfdbdd18,咽口水,197.9,1610991996,16777215,1
e2ec740a,好家伙,98.063,1610990583,16777215,1
7680b93c,枸杞难挡岁月催还得往里加当归,82.658,1610990700,16777215,1
7b8e0fe6,最受不了折耳根,148.095,1610990753,16777215,1
2daec6ee,香菜多少都能接受,156.874,1610990771,16777215,1
fcb02932,看着就觉得没食欲,163.681,1610991197,16777215,1
4be729b8,这缸子得有2升吧,70.388,1610991363,16777215,1
4be729b8,折耳根我直接G,133.535,1610991448,16777215,1
3c287cff,嘴角的眼泪情不自禁的流下来了,265.065,1610989736,16777215,1
f81cf5b7,好诗,270.09,1610988948,16777215,1
d782a2a1,人到中年不得已保温杯里泡枸杞,59.246,1610988051,16777215,1
abde841f,04,240.796,1610988217,16777215,1
853829d4,枸杞粥,27.738,1610988352,16777215,1
ceced17d,火，所,49.784,1610987357,16777215,1
f42b5c82,挺好吃的呀，折耳根，为啥你们不能吃？,156.518,1610987631,16777215,1
aecda544,不如吃鞋垫有营养,189.616,1610987678,16777215,1
565430c,像岳云鹏这么看,210.791,1610986139,16777215,1
5f20c159,我去！这么大一罐子！,36.613,1610986311,16777215,1
5f20c159,啊！酸菜啊！我的口水都要下来了！,93.558,1610986368,16777215,1
5a66761e,这次摄影师没得分了,223.779,1610986381,16777215,1
5f20c159,蘸料讲究！,144.389,1610986419,16777215,1
35992609,侠客风云传,55.996,1610986621,16777215,1
7aa0479f,折耳根香菜能送我离开这个世界,164.421,1610985123,16777215,1
9f5d21dc,这歌声甚妙，来人啊，赏币一枚,22.082,1610985230,16777215,1
104ae291,来了,2.944,1610985250,16777215,1
1ac8bcc2,好家伙,29.789,1610985322,16777215,1
47101ee8,绝了,240.115,1610985450,16777215,1
9f5d21dc,此刻应该要大人出场,217.326,1610985453,15138834,5
104ae291,馋了,199.473,1610985540,16777215,1
fdb9743c,噎死你个龟孙儿,234.204,1610985571,16777215,1
29694113,我不想吃大龙虾了，我想吃猪蹄,193.927,1610985638,16777215,1
581a94fd,大司马同款缸？,87.095,1610985693,16777215,1
df609bdf,黑暗,136.756,1610985714,16777215,1
24574350,牛逼,32.587,1610985745,16777215,1
15158467,灵魂,135.383,1610984371,16777215,1
e8a28821,折耳根好吃,149.243,1610984622,16777215,1
9f216d1e,好家伙，山药有点虚啊,45.828,1610984674,16777215,1
3cca8a3,饿了,164.549,1610984760,16777215,1
1f3a3ba7,脚气往上飘的笑死我了,10.841,1610983166,16777215,1
881b8ea6,猪是怎么死的,40.841,1610983209,16777215,1
98f2fdff,自己人，别开口,9.861,1610983214,16777215,1
1199e176,大户人家,26.306,1610983235,16777215,1
e189bf3d,好家伙，表面烧焦里面都是生的,37.046,1610983322,16777215,1
ff114d91,好家伙真的加了,96.395,1610983450,16777215,1
54e1dfc,切碎没灵魂了,127.581,1610983513,16777215,1
ff114d91,我喜欢鱼腥草那味但不喜欢吃,152.768,1610983532,16777215,1
e41a0ec0,香啊,198.788,1610983600,16777215,1
fc61b51a,金典德国菜,150.932,1610983807,16777215,1
33cbc9ec,折耳根加香菜，打死我也吃不下去,138.698,1610983964,16777215,1
1418574f,这声音，受不了,235.192,1610982257,16777215,1
eb7d545e,啊chwn,58.616,1610982298,16777215,1
eb7d545e,啊成都,58.616,1610982303,16777215,1
db68f063,3人正在看23点05分,183.517,1610982343,16777215,1
f6820540,二牛危,22.066,1610982347,15138834,1
5636ebcb,直接吃吧,132.131,1610982828,16777215,1
5636ebcb,来碗饭,173.709,1610982869,16777215,1
6f75ddc0,冬夏,242.426,1610982871,16777215,1
5636ebcb,好饿,236.261,1610982932,16777215,1
af1c757b,我去,27.201,1610982953,16777215,1
e24d13f7,折耳根，注入灵魂,147.296,1610983008,16777215,1
b1ba7c99,喝多了枸杞会上火，啊,31.507,1610983017,16777215,1
534d83e5,面前的牛肉面不香了,191.941,1610981397,16777215,1
f4887558,大晚上的来遭罪了啊,222.533,1610981420,16777215,1
c2305dc6,别唱了太难听了,16.961,1610981722,16777215,1
ce229518,整个煮的意义是什么,154.86,1610981751,16777215,1
ce229518,摄影师给我留点,220.016,1610981816,16777215,1
87fa6150,葱花小米辣蒜醋香油辣椒油,169.478,1610981848,16777215,1
980e95c5,尿结石了,95.045,1610980459,16777215,1
b12cea0,好家伙,208.341,1610980493,16777215,1
bf6df5e7,让我嗦一口这个小嘴,246.781,1610980497,16777215,1
b12cea0,爽啊,230.884,1610980515,16777215,1
3a83f7e5,七次郎,54.074,1610981053,16777215,1
def2a997,大补呀这么多枸杞,52.231,1610981089,16777215,1
70e66c36,白芍,91.036,1610981248,16777215,1
fd4f635b,折耳根闻着就想吐,162.124,1610979493,16777215,1
11fa26ee,老妈蹄花改进版,164.971,1610979775,16777215,1
7f3fdad5,囍茶,15.788,1610979910,16777215,1
5f4702ff,没用树枝筷差评,200.901,1610979925,16777215,1
18f5880c,饿！,168.829,1610979985,16777215,1
254c101f,怀里的乔碧萝突然不香了,196.494,1610980031,16777215,1
21395f19,不够辣,171.291,1610980261,16777215,1
b66ac6b3,好家伙,121.281,1610978609,16777215,1
b66ac6b3,好家伙,210.921,1610978702,16777215,1
7e5a3e2a,直接吃枸杞炖红枣多好,29.152,1610978721,16777215,1
b03193f,好家伙,26.816,1610979055,16777215,1
e141db99,这量，是要干嘛？,46.777,1610979125,16777215,1
dc16739a,今天没撒盐没得灵魂,200.93,1610979145,16777215,1
2f758129,卧槽！,232.762,1610979242,16777215,1
dacc93e4,讲究,162.534,1610979389,16777215,1
645ed5c2,哇哦肘子,13.162,1610979408,16777215,1
d1003bcf,第一首歌,18.061,1610977623,15138834,1
2f7de2e7,老年人plus专属饮品,25.201,1610977673,16777215,1
a4728c8e,看起好吃,168.468,1610977682,16777215,1
795816d7,来了,4.242,1610977717,16777215,1
ec730332,太残忍了,209.888,1610977724,16777215,1
d6175253,肘子沾着蒜汁太香了,202.641,1610978359,16777215,1
f3ccf00,刚吃饱毫无波澜,178.001,1610978455,16777215,1
807b0799,好爽,206.981,1610978511,16777215,1
a9f79d66,辣子呢，没有辣子就没有灵魂！,107.161,1610976736,16777215,1
7235016b,那个煮鞋垫的你乐死我了,208.882,1610976746,16777215,1
a9f79d66,见到辣子了,139.961,1610976794,16777215,1
5e490e39,太虚了，都尿油了,46.349,1610976861,16777215,1
4badeaf6,身体虚了,26.161,1610976962,16777215,1
b9d08d2e,昨天吃鸡，枸杞难医,62.016,1610977100,16777215,1
b8528266,肘子表皮微焦,60.121,1610977172,16707842,5
f3681334,饿了,198.055,1610977218,16777215,1
14674813,好家伙，这是枸杞粥吗？,41.494,1610977328,16777215,1
ec730332,山药失恋了,26.012,1610977523,16777215,1
ec730332,山药失恋了，因为肾不好,38.881,1610977551,16777215,1
f9b8c40,山药家辣椒酱确实不错,199.978,1610975939,16777215,1
17bd9f8e,嘴角的眼泪不争气地流了下来。,242.314,1610976011,16777215,1
c990a8b5,我好饿啊,240.718,1610976160,16777215,1
30d9198e,Wc,24.424,1610976162,16777215,1
153449d9,好家伙,25.855,1610976179,16777215,1
153449d9,好家伙,99.416,1610976252,16777215,1
153449d9,我不信没有辣椒,134.449,1610976287,15138834,1
30d9198e,饿了！,164.115,1610976310,16777215,1
fcaf2b05,山药的视频越来越好看了，怪不得播放又慢回来了,159.207,1610976334,16777215,1
fcaf2b05,人在成都，手里的馕突然不香了,206.387,1610976397,16777215,1
fcaf2b05,人在成都，手中的馕突然不香了，绵阳真能吃那么好嘛,245.327,1610976459,15138834,1
3dacfd0e,最后出来的那个好像二牛,257.642,1610976536,16777215,1
3dacfd0e,最后出来穿黑色衣服的那个好像二牛,26.818,1610976580,16777215,1
7235016b,保温杯里放枸杞,44.261,1610976582,16777215,1
cdd2c267,文艺复兴！,16.938,1610974960,16777215,1
cdd2c267,可怕,28.603,1610974972,16777215,1
fb8e67b7,这是想把人送走呀,6.866,1610974973,16777215,1
cdd2c267,硬核哈,73.019,1610975016,16777215,1
6e18bfe7,我听成了亲爱的，你M飞,3.481,1610975017,15138834,5
a279e8c8,枸杞不抵岁月催，杯里还得加当归,62.352,1610975289,16707842,1
d6fb4b8b,放干辣椒和干豆角一起蒸才韵味,209.175,1610975381,16777215,1
4f199b1d,真不怕死啊,37.007,1610975673,16777215,1
1f982c18,药老？！,16.121,1610975675,16777215,1
4817801a,好家伙,55.921,1610974136,16777215,1
d5fba0b7,扔了吧,149.514,1610974161,16777215,1
73551d64,就硬补？,26.363,1610974272,16777215,1
4817801a,哦啊,258.281,1610974345,16777215,1
5d7fbfda,好诗,275.274,1610974375,16777215,1
68054b32,好家伙,27.94,1610974534,16777215,1
5104b3f1,亲爱的,14.633,1610974563,16777215,1
4b2bc7b3,武林群侠传！,71.261,1610974569,16777215,1
5104b3f1,你慢飞,21.185,1610974570,16777215,1
5104b3f1,真不错,42.944,1610974592,16777215,1
9ff71115,好久不见老板娘了！,42.491,1610974634,16777215,1
9ff71115,强烈要求看老板娘,71.276,1610974663,16777215,1
abecb0c3,孤独寂寞老男人,24.485,1610974679,16777215,1
93a2bf3f,倒进去,76.456,1610973119,16777215,1
b754b03d,脚气离谱,18.414,1610973163,16777215,1
d2eb9e3d,哦吼,141.802,1610973218,16777215,1
32dbea58,折耳根一级致癌,167.234,1610973244,16777215,1
b754b03d,这不就倒了,99.421,1610973263,16777215,1
