Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ad15ebbb,看到我你已经晚了,2.02,1610899303,16777215,1
723eb7b6,沙发,10.499,1610899371,16777215,1
ed3974de,来早了,14.791,1610899567,16777215,1
5947eda5,来了,12.621,1610899610,16777215,1
943d2974,熬夜党胜利,9.188,1610899745,16777215,1
4da36e47,今天居然没有正片？,140.631,1610899748,14811775,4
d1cc172a,西施王,17.038,1610899752,16777215,1
98ad7e28,没有top0？,140.961,1610899824,16777215,5
d1cc172a,火舞王,119.766,1610899883,16777215,1
76a34dce,猜错主角,43.531,1610899918,16777215,1
313fc887,哦流批,10.325,1610900026,16777215,1
cfff50b1,没有正片，都很努力，希望每个选手继续加油,2.926,1610900372,16777215,1
b19329bc,解说,134.193,1610900513,16777215,1
b19329bc,解说只会哦,134.193,1610900521,16777215,1
1548e9a0,西施王,21.419,1610901414,16777215,1
1548e9a0,不知火融,122.379,1610901522,16777215,1
b2eaeedc,在现场,7.265,1610904134,16777215,1
5bd38b24,就这吗。,64.233,1610904384,16777215,1
9ecbd579,这么快就出来了？,19.851,1610904892,16646914,5
2107a313,花海这波镜就是在刮痧,53.659,1610905125,16777215,1
8bb18b06,火神排面！,117.374,1610905323,16777215,1
5df3e65,这top5后边得多可怕,32.239,1610908017,16777215,1
5df3e65,火舞王,134.459,1610908126,16777215,1
b0f502c8,孙膑大招宫本跑车打出复活甲,65.718,1610916047,16777215,1
ad15ebbb,看到我你已经晚了,2.02,1610899303,16777215,1
723eb7b6,沙发,10.499,1610899371,16777215,1
ed3974de,来早了,14.791,1610899567,16777215,1
5947eda5,来了,12.621,1610899610,16777215,1
943d2974,熬夜党胜利,9.188,1610899745,16777215,1
4da36e47,今天居然没有正片？,140.631,1610899748,14811775,4
d1cc172a,西施王,17.038,1610899752,16777215,1
98ad7e28,没有top0？,140.961,1610899824,16777215,5
d1cc172a,火舞王,119.766,1610899883,16777215,1
76a34dce,猜错主角,43.531,1610899918,16777215,1
313fc887,哦流批,10.325,1610900026,16777215,1
cfff50b1,没有正片，都很努力，希望每个选手继续加油,2.926,1610900372,16777215,1
b19329bc,解说,134.193,1610900513,16777215,1
b19329bc,解说只会哦,134.193,1610900521,16777215,1
1548e9a0,西施王,21.419,1610901414,16777215,1
1548e9a0,不知火融,122.379,1610901522,16777215,1
b2eaeedc,在现场,7.265,1610904134,16777215,1
5bd38b24,就这吗。,64.233,1610904384,16777215,1
9ecbd579,这么快就出来了？,19.851,1610904892,16646914,5
2107a313,花海这波镜就是在刮痧,53.659,1610905125,16777215,1
8bb18b06,火神排面！,117.374,1610905323,16777215,1
5df3e65,这top5后边得多可怕,32.239,1610908017,16777215,1
5df3e65,火舞王,134.459,1610908126,16777215,1
b0f502c8,孙膑大招宫本跑车打出复活甲,65.718,1610916047,16777215,1
