Sender,DmContent,AppearTime,SendTime,FontColor,DmType
b0e90ae,过来磕个头,38.41,1610909812,16777215,1
7543833c,马斯克和马克斯就是一字之差,59.429,1610910176,16777215,1
bf7ea3f2,那可不是倒放，,278.6,1610910342,16777215,1
a2e39d1e,NASA预算比起军方简直少得可怜，不靠SpaceX还真的做不了什么,351.476,1610910409,16777215,1
d0567fb6,虽然都是为了钱，但做实业就是要比搞概念高贵,478.707,1610908514,16777215,1
e8c7dfa2,开始了,502.899,1610909248,8700107,1
a39d632,他不画饼哪片得到这么多研发资金,279.102,1610909464,16777215,1
22664546,没有含金量的登顶,14.454,1610909547,16777215,1
12064dc5,利好茅台,493.02,1610908072,16777215,1
e160a5be,中国航天没有努力的人了吗？我凭什么要吹捧他？,581.738,1610908416,16777215,5
c7e3f99,星空已死，赛博当立,543.615,1610908424,15138834,5
411d4c27,到手的钱是真的，都世界首富了,296.505,1610908467,15138834,1
1771d161,宇宙的目的是什么呢,530.899,1610906837,16777215,1
2d5f2d38,原因找到了,397.155,1610906851,16777215,1
2d86da58,是骗子没错也是先驱,16.259,1610906868,16777215,1
463aaaab,月球不能种菜,587.246,1610906884,16777215,1
463aaaab,月球不能种菜,605.688,1610906911,16777215,1
e8cd6eb5,黑心商人可以推动历史那骗子怎么不能推动历史,321.786,1610906939,16777215,1
abc6df6f,毫无兴趣，我爱欢地球,532.724,1610906944,16777215,1
bd4426e6,这也是我不买特斯拉的原因,415.219,1610906944,16777215,1
ee3dc658,普通人都喜欢都觉得好的人。一般不会是先驱,427.998,1610907065,16777215,1
abc6df6f,为啥我对他的星空毫无兴趣,667.868,1610907079,16777215,1
a8777be6,月球只是暂时不能种菜，说不定可以改造土壤,594.268,1610907125,16777215,1
57ba7c5b,你最近说话太啰嗦了,440.745,1610907232,16777215,1
d0567fb6,只要贡献大于罪恶，就没有什么好嘲讽的,156.558,1610907710,16777215,1
cc2ff66a,gta倒飞,274.752,1610907717,16777215,1
b27e4f31,我感觉到了酸,187.945,1610905522,16777215,1
f9ade813,原来如此,409.334,1610905568,16777215,1
f9ade813,我悟了,494.415,1610905654,16777215,1
54d89520,猝不及防,514.557,1610905859,16777215,1
9989fbba,半佛看样子是40万入手的毛豆3,399.507,1610905915,15138834,5
11efbf8d,纪录片中国通史里边有讲到一个线索可以佐证马可波罗来过中国,173.75,1610906009,16777215,1
2d836e7,三百年可能真的有可能,433.439,1610906267,16777215,1
6e8a3bf0,毛小伙子你挺懂，下来陪我聊？,271.099,1610906331,16777215,1
2d836e7,强人工智能达成百年内必上火星,620.579,1610906473,16777215,1
baa7a61e,你很危险,9.257,1610906617,16777215,1
ee3dc658,人本来就是不完美的，别非黑即白就成，正因为这样，为啥揪着到道德不放？,264.745,1610906642,16777215,1
11efbf8d,这么玩手机对自己和路人都不负责,666.859,1610906705,16777215,1
fc8a57dc,利好茅台,488.082,1610906737,16777215,1
e8cd6eb5,耍猴指丰臣秀吉,215.498,1610906769,16777215,1
a54f2c6c,好家伙,399.829,1610906784,16777215,1
b42a9215,懂了，不管怎么样都利好茅台对吧,486.979,1610905054,16777215,1
f8585c0f,哪个造火箭的小兄弟造的车错不了,437.465,1610905086,15138834,5
93032c73,对撞机,601.657,1610905094,16777215,1
f9ade813,成功了是先驱失败了是骗子,70.204,1610905228,16777215,1
1e5bc02b,好多鱼,98.994,1610905396,16777215,1
e893dfdd,谁贵州靠茅台的你们把老干妈放在什么位置？,513.007,1610905439,16777215,1
73ad3bf6,先驱骗子,21.702,1610904279,16777215,1
93032c73,即使是一个骗子也不妨碍是个先驱,68.472,1610904315,16777215,1
b773dd5,他是二次缘,29.985,1610904332,16707842,1
62e1fa06,当时拿到科幻世界看到朝闻道的小学的我全身颤抖加一,530.415,1610904368,38979,5
51ca4215,又翻船了。呃，为什么说又？,506.675,1610904407,15138834,5
f61d9eb7,朝问道是真的颤抖,530.499,1610904536,16777215,1
b218a8d2,刘慈欣的很多短篇小说都不错,526.711,1610904561,16777215,1
6a5d715a,这就加仓白酒,498.519,1610904678,16777215,1
93032c73,个人觉得磨豆3外形丑,397.903,1610904834,16777215,1
d4f44136,这个可牛了,213.109,1610904868,16777215,1
30a158f7,凌浩茅台,489.499,1610904969,16777215,1
4500357c,大家好我们来看搞笑GIF集合了,28.904,1610905017,16707842,5
5595a12a,懂了,406.761,1610903211,16777215,1
6349535d,特斯拉车主有话说,352.032,1610903255,16777215,1
9839e758,老八,432.579,1610903269,16777215,1
d3c8f0d1,是骗子们的先驱者,7.784,1610903398,16777215,1
23598a23,你什么东西你在放什么p,436.713,1610903435,16777215,1
cae784c7,贝索斯又反超了,12.521,1610903481,16777215,1
1b4e49a5,终产者,153.459,1610903535,16707842,5
b52ad260,复兴号CR20J,454.299,1610903583,38979,1
736162c8,极限一换一啊,173.564,1610903602,16777215,1
c361f964,先抑后扬,476.752,1610903625,16777215,1
42c63923,我怀疑你在暗示某手游,430.499,1610903790,16777215,1
18f62fd1,这期是不是马云让你做的,607.42,1610903811,16777215,1
5b35f61a,朝闻道，哭了,528.099,1610903968,16777215,1
f61d9eb7,贾先生最近又上新闻了,119.939,1610904108,16777215,1
8bf3c21c,利好茅台成了,489.57,1610904110,16777215,1
821e628e,比如乔布斯,432.395,1610904126,16777215,1
6a5d715a,不打疫苗不降智,76.859,1610904154,16777215,1
a44ba013,ofo也是搞实业骗钱啊,368.299,1610902291,16777215,1
3d868970,马斯克是真正的AFRICAMERICAN,674.381,1610902331,16777215,1
327132bd,哦原来如此,419.578,1610902402,16777215,1
ff5e4d6b,科研的很多人也不是什么好鸟，比如爱迪生推行电刑死刑和沃森克里克打压富兰克林喷黑人,267.305,1610902411,16777215,1
a1e4a451,工资低吗,624.622,1610902448,16777215,1
6830c338,打问号的，回去好补历史,186.14,1610902474,15138834,5
7e70af0e,怎么说呢，我感觉他像汉尼拔，把所有人看作家畜。,187.156,1610902550,16777215,1
a32d7444,懂了,456.768,1610902713,16707842,1
a32d7444,懂了,483.746,1610902723,16707842,1
fd785226,这一期废话一堆，干货或者说内容0,568.579,1610902778,16777215,1
64a1899f,牟其中生错了地方,439.53,1610902824,16777215,1
9430aed0,懂了这就去买茅台,493.117,1610902881,16777215,1
bd1cf084,此时一个靓仔还在路上,596.34,1610902886,15138834,5
49225079,懂了，利好茅台,487.52,1610902919,16777215,1
62414dd6,巫妖王是巫妖王,682.515,1610902932,16777215,1
a32d7444,卖菜,650.503,1610902948,16707842,1
1d99e802,绝对利好！,493.498,1610902972,16777215,1
4c7b7fbe,懂了,486.759,1610902987,16777215,1
a32d7444,马斯克！,680.857,1610902995,16707842,1
a32d7444,都姓马,682.308,1610903007,16707842,1
f6c5e857,朝闻道我看完也是这种感觉，还有乡村教师,537.679,1610903065,16777215,1
82a5f92d,这真不是倒放,262.022,1610903155,16777215,1
f5eff69e,好家伙,489.982,1610903181,16777215,1
ddc47c9f,不管他马斯克是不是骗子，硬核老师说的太对了，星辰大海确实是让我激动了，向往星辰本就没有错，但是能画一个大饼让大家都努力也许会产生真正意义上的推动吧,693.888,1610901287,16777215,1
d0388f95,哥伦布是个彻头彻尾的恶人，但不妨碍他的成就,206.138,1610901297,16777215,1
62e761b2,利好茅台,487.994,1610901344,16777215,1
e18f819f,带也不去啊,390.073,1610901385,16777215,1
daf4723a,hui,99.106,1610901400,16777215,1
66bc614c,王路飞,582.029,1610901403,16777215,1
3a318c09,自恋到极致,159.278,1610901417,16777215,1
cdfdc22a,利好茅台,499.8,1610901447,16777215,1
fe247cf4,红火恍惚,495.699,1610901496,16777215,1
b7a3edd0,万物皆可利好茅台,486.993,1610901506,16777215,5
9e963b42,不见星空，？,549.518,1610901525,16777215,1
3b1cb327,你的食品比内容更好玩,305.107,1610901537,16777215,1
491770c7,嗷！,286.896,1610901537,16777215,1
d0388f95,是茅台！我加了茅台,490.778,1610901604,16777215,1
ff5c351a,来了,412.6,1610901620,16777215,1
ee7d86a0,那个造火箭的小兄弟造的车错不了,437.628,1610901655,16646914,1
ff5c351a,来了,490.861,1610901698,16777215,1
da8f45bd,马斯克确实可以不打疫苗，但你不行。他真得了也可以很快出院。,74.785,1610901740,16707842,5
b117548c,BYD也挺好,10.544,1610901768,16777215,1
41bf051c,利好茅台,493.383,1610901796,16777215,1
3d868970,老二次元了MAGA,164.631,1610901871,16777215,1
3445781b,没有nasa支持他起降个基霸,267.746,1610901916,16777215,1
f7b7782f,更新速度感人,15.507,1610901929,16777215,1
3d868970,美国佬的火箭从哪来，回哪去,282.926,1610901965,16777215,1
fcc26cb8,老婆我来啦！,10.62,1610902015,16777215,1
3445781b,狂挖NASA墙角其实就是改了个名,377.913,1610902026,16777215,1
5b2d3fe8,这个其实是蔚来或小鹏的广告，特斯拉疯狂降价让蔚来很尴尬,434.409,1610902042,16777215,1
a58ca02b,放屁，骗子就是骗子,425.379,1610902064,16777215,1
22930a8e,好家伙！利好茅台！,496.316,1610902115,16777215,1
10dad920,而且就人类殖民的角度来讲殖民火星其实是不划算的轨道居住站都要比这个靠谱,82.284,1610902129,16777215,1
a395f358,满仓茅台，明年过20,524.62,1610902146,16777215,1
e07d8f68,鸡不会死，会滑翔,594.839,1610902155,16777215,1
d59a74e6,ofo,420.922,1610902160,16777215,1
6830c338,521万粉丝,4.182,1610902166,15138834,5
73e00176,学术造假,178.285,1610902230,16777215,1
a32d7444,Oh,181.913,1610902262,16777215,1
edb94d5b,确实,472.679,1610902279,16777215,1
f4858795,小西行长和沈惟敬两个一起骗两边,214.739,1610900563,16777215,1
c8d952ec,原来如此,410.521,1610900575,16777215,1
532778a6,这是美团吗？,683.315,1610900609,16777215,1
c5749dd8,现在看来这疫苗确实没必要接种，反正也不管用,74.095,1610900617,16777215,1
160092fe,就好比袁隆平,308.628,1610900653,16777215,1
d2605028,靠个毛，最后和马斯克的方案一毛钱关系没有，他还在推特上玩嘴的时候人家都给救出来了,382.868,1610900732,16777215,1
72e21555,利好茅台,482.318,1610900755,16777215,1
ccc15507,这个开机太酷炫了,464.307,1610900765,16777215,5
7e0bc0a9,原来如此,399.906,1610900793,16777215,1
d4bb8286,富达牛逼,321.933,1610900925,16777215,1
841b1969,快了,361.17,1610900939,16777215,1
47ab11e8,因为降价了是吧,436.059,1610900940,16777215,1
6db30141,利好茅台,511.317,1610900959,16777215,1
c5749dd8,你怎么确定人家是吹牛骗钱呢？只不过是到不了人家的境界,309.91,1610900963,16777215,1
b3d6dd38,客观来看比尔盖茨确实像是个傻瓜，做了好事还得被人骂,82.157,1610900986,16777215,1
766f8803,看不下去了,560.859,1610900991,16777215,1
301de721,假二次元曝光了,91.543,1610901013,16646914,1
1875fd96,伊卡洛斯的羽毛,161.171,1610901027,16777215,1
884e75ea,见偶像进,8.199,1610901052,16777215,1
166e799d,骗子先驱嘛,9.106,1610901080,16777215,1
c5749dd8,婚姻自由，人家怎么过是人家的自由,370.45,1610901099,16777215,1
d5a243bb,朝闻道真的震撼到全身颤抖理工的机智浪漫,533.142,1610901105,15138834,5
a8bc3294,一气呵成,687.862,1610901128,16777215,1
c5749dd8,美国的疫情确实没啥问题，反正他开不开工老百姓都不会在家里呆着,378.202,1610901178,16777215,1
c5749dd8,井底之蛙,440.327,1610901261,16777215,1
73f16b72,严重不同意你的观点,476.004,1610899674,16777215,1
9c4dc9dc,lol,66.272,1610899745,16777215,1
5af6e247,？突然特斯拉,281.065,1610899767,16777215,1
ccc5338c,都靠同行衬托,485.72,1610899774,16777215,1
27a500a8,先驱,19.473,1610899801,16777215,1
2befa407,我宁愿相信去火星的,693.888,1610899831,16777215,1
983703d3,居然有人说马斯克是个富二代，我笑死，但凡了解下他的生平也不会说出这话,325.631,1610899854,16646914,5
fd48ac6f,在座各位,164.516,1610899866,16707842,1
88ae9d59,和多益老板一个鸟样,379.533,1610899910,16777215,1
de06fd3d,利好茅台,499.954,1610899914,16777215,1
c6834ff1,论迹不论心，论心无圣人,498.749,1610899916,16777215,1
baa4a4c3,懂了，利好茅台,504.801,1610899921,16777215,1
f889e584,不喜欢就骂人哈,382.675,1610899954,16777215,1
a19e17a0,利好茅台,484.859,1610899960,16777215,1
17749b2e,明朝那些事儿提过,213.042,1610899973,16777215,1
5af6e247,搜噶,498.068,1610899998,16777215,1
3f0fb704,懂了,490.072,1610900025,16777215,1
f2a7e8f3,是幸子P,15.041,1610900162,16777215,1
995f2b0a,任正非直呼内行,372.819,1610900164,16777215,1
19299a4b,为了庆祝greatagain，来瓶茅台哈皮一下,630.3,1610900206,16777215,1
a9a26f0f,利好茅台！,492.246,1610900272,16777215,1
d96282a6,这不是美国孙宇晨吗,78.739,1610900275,16777215,1
9e41e64d,hitu,91.83,1610900317,16777215,1
319b500,说得好,671.375,1610900325,16777215,1
210a4c71,10年内移民火星都妥的,615.739,1610900364,16777215,1
7ccfa0d3,搞房地产才香那些东西没用房地产才是王道,595.603,1610900371,16777215,1
5d2229d,来啦,6.482,1610900373,16777215,1
71392a1a,狗再怎么装也成不了人up,57.365,1610900398,16777215,1
255fd6c9,希望有生之年能见证火星,536.685,1610900423,16777215,1
f846ce6f,抽个特斯拉？,381.542,1610900441,16777215,1
7ed9b136,爱迪生，牛顿,266.619,1610900448,16777215,1
948d3a2c,那没事了,412.86,1610900450,16777215,1
7ccfa0d3,搞科技不如搞房地产全民炒房,648.68,1610900465,16777215,1
187651b,确实,245.015,1610900471,16777215,1
dbceeef6,贾跃亭你再骂？,249.913,1610900483,16777215,1
7dbe5c6f,应该不是我一个看成马克斯的,23.923,1610900489,16777215,1
86bc6c7f,爱死他好吗,601.937,1610898718,16777215,1
865d4724,做这么疯狂的事需要很多疯狂聪明人,146.322,1610898730,16777215,1
46c7e0e,成王败寇而已嘛,83.915,1610898744,16707842,1
bf78ca2b,万物利好茅台,498.069,1610898745,16777215,1
f38c8778,高学历理科生表示马斯克的第一性原理你了解么你个不懂光会嘴皮的文科生,617.007,1610898766,15138834,1
ba2962d6,至少比那些科技公司做社区团购换皮游戏来的好,637.298,1610898770,16777215,1
86bc6c7f,可以，就是最好的,666.938,1610898782,16777215,1
5e1ffa6c,利好茅台,490.333,1610898789,16777215,1
ba2962d6,腾讯,672.647,1610898815,16777215,1
f38c8778,你懂技术吗你深入了解过吗？,635.622,1610898825,14811775,5
5e8cec12,酱香型科技,487.23,1610898849,16777215,1
7605fa5f,立人设？,149.819,1610898854,16777215,1
6472077,马利克,4.742,1610898856,16777215,1
a0d48fcd,跟牛顿一样,160.649,1610898866,16777215,1
865d4724,暗号是叫你们不要买特斯拉，买国产车,0.0,1610898889,16777215,1
865d4724,暗号是不要买特斯拉买国产电动车,4.285,1610898903,16777215,1
f38c8778,看自己就知道世界上到底有没有圣人了,684.282,1610898939,14811775,5
865d4724,暗号是特斯拉太火了叫你们不要买特斯拉,0.914,1610898955,16777215,1
865d4724,暗号是特斯拉太火了，不要买特斯拉,4.393,1610898974,16777215,1
a498eace,读作达帕,342.189,1610898976,16777215,1
e115aaf,paypal并不是马斯克创的,330.291,1610899019,16777215,1
a92c9188,马可波罗没准就是一妄人,171.719,1610899033,16777215,1
4f9bb4e6,真实原因,394.755,1610899078,16777215,1
1e705886,杀生院祈荒,168.419,1610899100,16777215,1
f25db0bf,诺亚方舟么？,391.061,1610899105,16777215,1
55ce5c91,原来如此,414.877,1610899120,16777215,1
a2081a3c,马斯克不能评价了？真以为马斯克是什么人类之光？,574.419,1610899144,16646914,5
c02a6c83,茅台又涨了,500.969,1610899195,16777215,1
6fb233c0,bp环节又到了,175.075,1610899213,16777215,1
4768133a,其实主要省钱在用的破钢管做火箭，回收技术收效一般,303.844,1610899226,16777215,1
86bc6c7f,就该这样,465.302,1610899276,16777215,1
88b999cf,火星异种！,624.306,1610899286,16777215,1
50debe75,万物利好茅台？,488.415,1610899287,16777215,1
364b8005,月球是氦3优质的核反应原料,590.931,1610899308,16777215,1
5afc711d,半佛老师的文案感觉有点啰嗦和口水了,439.576,1610899324,16777215,1
4bcfcc60,利好茅台,495.19,1610899355,16777215,1
6d8abc54,比尔盖茨,128.478,1610899374,16777215,1
461a6220,简单的说风口浪尖方向要对,275.72,1610899407,16776960,1
4252e359,流批，明朝那些事儿里也写到了,211.665,1610899409,16777215,1
2cb35205,53度的飞天,621.442,1610899434,16777215,1
6f197e63,这确实，这两回事,285.084,1610899436,16777215,1
6764f667,醒，一手茅台20w了，买不起,504.297,1610899446,16777215,1
6823bc26,主要太容易没电了,403.527,1610899473,16777215,1
86bc6c7f,希望那个机会在我们的祖国,650.73,1610899498,16777215,1
