Sender,DmContent,AppearTime,SendTime,FontColor,DmType
d76432e,43分钟爱了,19.426,1610872782,16777215,1
96929cdd,。弹幕发错了！,16.116,1610872786,16777215,1
95f75a9d,说棒子的人你有点自知之明吧,266.332,1610872789,16777215,1
935357fd,夫念四声吧,381.198,1610872792,16777215,1
96929cdd,啊Q,28.717,1610872798,16777215,1
6f6cd2f,来了,2.899,1610872800,16777215,1
96929cdd,有必要！,34.29,1610872804,16777215,1
de4551b7,矮大紧不就是嘛,461.379,1610872810,16777215,1
5ee75395,哇哦！,1334.579,1610872817,16777215,1
357248c1,热乎的,3.541,1610872827,16777215,1
34311b45,老鸽子了,239.944,1610872846,16777215,1
6f4593d0,名场面,1480.557,1610872848,16777215,1
ed45e352,才到中啊，催更,4.519,1610872852,16776960,1
e7ae6daf,乌合之众,1385.494,1610872864,16777215,1
98aa7d3f,。时常感人,14.135,1610872870,16777215,1
853553da,确实,1810.668,1610872872,16777215,1
f03bd86c,好耶,1.044,1610872876,16777215,1
f4e29b4,鲁迅老阴阳师了,1648.225,1610872877,16777215,1
95918ce1,啊这,1916.217,1610872884,16777215,1
1febdba0,热乎,15.909,1610872889,16777215,1
f08457e,来了l,5.865,1610872891,16777215,1
9ce32a78,阿Q竟是我自己,1428.798,1610872896,16777215,1
c50132df,23,1950.076,1610872902,16777215,1
e420353f,新生活运动,759.946,1610872904,16777215,1
9e16e4d3,这里愤们要炸锅了哈,1420.428,1610872920,16777215,1
95918ce1,这就是LSP的本质,1916.217,1610872921,16777215,1
db9d9bfb,现在也是啊,271.908,1610872930,16777215,1
fc4a4b5,和人在唤我大韩民族,489.981,1610872933,16777215,1
da4a0f42,草？,1949.727,1610872939,16777215,1
b4d57d51,来了,16.699,1610872948,16777215,1
a2876837,肝帝,0.341,1610872966,16777215,1
24b255a,王道礼制下的必然弊端,1368.803,1610872968,8700107,5
72ecf453,都在认真看呢？,1740.702,1610872971,15138834,5
ecfea65e,有必要,29.96,1610873007,16777215,1
87d56102,困觉,2082.76,1610873017,16777215,1
d113edaf,现在也多少存在些,118.499,1610873020,16777215,1
a8402f3,现在的舆论环境何尝不是,1732.543,1610873027,16777215,1
bf614f30,网络键盘侠被狂殴,586.892,1610873033,16777215,1
df76e63b,这能做,323.944,1610873038,16777215,1
316e45b4,热乎,8.139,1610873039,16777215,1
a27127da,阿Q竟是我自己,933.206,1610873053,16777215,1
8b227679,严老师真的是把阿Q演活了,1136.167,1610873058,16777215,1
6a5d1a54,挖坑,250.166,1610873061,16777215,1
7438f7c2,来了,3.76,1610873066,16777215,1
66ac24df,臣以为臣,76.334,1610873068,16777215,1
d150f90e,来了,20.688,1610873071,16777215,1
be797e50,来了,41.242,1610873075,16646914,5
6dd33e6d,妙啊,1405.416,1610873080,16777215,1
5cd57695,坑1,245.46,1610873081,16777215,1
691787b2,阿Q竟是我自己,970.729,1610873082,16777215,1
a84c1a49,挖坑,244.921,1610873086,16707842,5
c8c1f4cc,百大,26.183,1610873089,16777215,1
d113edaf,这不是现在吗,179.619,1610873092,16777215,1
e3fdff7d,确实,1827.379,1610873093,16777215,1
76ba17ab,停煤限电,818.299,1610873094,16777215,1
74451ce7,上课了！,9.864,1610873120,16777215,1
60049899,金链路障,56.353,1610873132,16777215,1
7ac0dea8,前面的，左和右都是西方引进来的,211.579,1610873132,16777215,1
