Sender,DmContent,AppearTime,SendTime,FontColor,DmType
e2c50db2,我用这款面膜鼻子挺服帖的，可能是小宝没有把鼻子那儿先摁下去。,136.6,1610976056,16777215,1
6824a39d,这叫精简吗,256.505,1610976148,16777215,1
fec04383,逗呢合适？,139.455,1610976654,16777215,1
242c2793,哇哦好前,9.961,1610974118,16777215,1
e134e34d,用着效果不太明显，可能需要长期坚持,40.806,1610974443,16777215,1
6867dc25,新鲜,5.54,1610974590,16777215,1
49511e47,热乎儿的，32分钟以前,10.671,1610973144,16777215,1
d3b4ee81,第一嘿,148.842,1610973207,16777215,1
ad8c2b02,感觉有点小,147.076,1610973243,16777215,1
b09ea17e,来啦,8.78,1610973741,16777215,1
b09ea17e,来啦,14.439,1610973750,16777215,1
7ba3b3e5,来了,16.355,1610971743,16777215,1
7ba3b3e5,来了,25.355,1610971752,16777215,1
d7463ea4,来了,12.881,1610971893,16777215,1
f886f661,来啦,0.284,1610972248,16777215,1
