Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6654f19a,投币,291.711,1610904990,16777215,1
7920d900,一个128g的红米note9也就80欧元,141.814,1610905029,16777215,1
f1140c27,换轮胎好便宜,84.182,1610905108,16777215,1
7f90d783,是炸宝？,175.124,1610905124,16777215,1
2ab746de,大爷要好的已投币啦,471.899,1610905141,16777215,1
ce0ada51,这次一定,331.586,1610905488,16777215,1
812b7335,本来大爷条件不错的可惜七个孩子拖垮之后,133.56,1610905548,16777215,1
7fee9f2b,反正没有我,299.483,1610905555,16777215,1
7339a1e4,投币！,306.841,1610905671,16777215,1
8b3a73a3,大爷还有什么愿望,408.51,1610905684,16777215,1
f1140c27,有人在打呼？,445.828,1610905765,16777215,1
d1385707,大爷还会比个花的心，好可爱哦,483.746,1610905782,16777215,1
fd620b3,感动,286.677,1610906040,16777215,1
725cd037,大爷身体健康,354.485,1610906094,16777215,1
50f89776,b站硬币不能换钱吧，只有电池有钱。这额外的钱可能是up自己填的吧,322.66,1610906372,16777215,1
5cb0b6b8,一毛不拔的我投币了,418.935,1610906697,16777215,1
2aac6807,哈转手就卖,106.811,1610906790,16777215,1
9fa57ce5,这种店经常可以淘到些好东西,89.288,1610906960,16777215,1
9fa57ce5,国外的退休金都是一次性发完的,131.764,1610907002,16777215,1
4cb4234,正片开始差点忘了这是美食节目,343.806,1610907224,16777215,1
a413da04,我要哭出来了,284.515,1610907242,16777215,1
fc9d7b7,投币支持,306.737,1610907398,16777215,1
40394f41,啥？才60岁，我爹70岁比他年轻多了,419.931,1610907821,16777215,1
40394f41,EVA妈让我知道法国还有负责任的男人，以为都是渣,481.511,1610907973,16777215,1
9d4c0658,中国没有花里胡哨的碗？乾隆你闭嘴！,83.737,1610908463,16777215,1
2ff07656,大爷七个孩子,141.689,1610908476,16777215,1
32cf8867,红米9,141.167,1610908502,16777215,1
694d3f48,菜鸽子,54.412,1610908701,16777215,1
b880567b,爷要一直开心的呀,329.188,1610909022,16777215,1
694d3f48,大爷要什么，我还有几十个币，我可以投了,416.76,1610909182,16777215,1
694d3f48,大家投币，可以让大爷和表哥来中国旅游吧,494.561,1610909255,16777215,1
6654f19a,投币,291.711,1610904990,16777215,1
7920d900,一个128g的红米note9也就80欧元,141.814,1610905029,16777215,1
f1140c27,换轮胎好便宜,84.182,1610905108,16777215,1
7f90d783,是炸宝？,175.124,1610905124,16777215,1
2ab746de,大爷要好的已投币啦,471.899,1610905141,16777215,1
ce0ada51,这次一定,331.586,1610905488,16777215,1
812b7335,本来大爷条件不错的可惜七个孩子拖垮之后,133.56,1610905548,16777215,1
7fee9f2b,反正没有我,299.483,1610905555,16777215,1
7339a1e4,投币！,306.841,1610905671,16777215,1
8b3a73a3,大爷还有什么愿望,408.51,1610905684,16777215,1
f1140c27,有人在打呼？,445.828,1610905765,16777215,1
d1385707,大爷还会比个花的心，好可爱哦,483.746,1610905782,16777215,1
fd620b3,感动,286.677,1610906040,16777215,1
725cd037,大爷身体健康,354.485,1610906094,16777215,1
50f89776,b站硬币不能换钱吧，只有电池有钱。这额外的钱可能是up自己填的吧,322.66,1610906372,16777215,1
5cb0b6b8,一毛不拔的我投币了,418.935,1610906697,16777215,1
2aac6807,哈转手就卖,106.811,1610906790,16777215,1
9fa57ce5,这种店经常可以淘到些好东西,89.288,1610906960,16777215,1
9fa57ce5,国外的退休金都是一次性发完的,131.764,1610907002,16777215,1
4cb4234,正片开始差点忘了这是美食节目,343.806,1610907224,16777215,1
a413da04,我要哭出来了,284.515,1610907242,16777215,1
fc9d7b7,投币支持,306.737,1610907398,16777215,1
40394f41,啥？才60岁，我爹70岁比他年轻多了,419.931,1610907821,16777215,1
40394f41,EVA妈让我知道法国还有负责任的男人，以为都是渣,481.511,1610907973,16777215,1
9d4c0658,中国没有花里胡哨的碗？乾隆你闭嘴！,83.737,1610908463,16777215,1
2ff07656,大爷七个孩子,141.689,1610908476,16777215,1
32cf8867,红米9,141.167,1610908502,16777215,1
2f1668e6,再投币,194.636,1610896750,16777215,1
bfa78d58,终于更新了,7.966,1610896766,16777215,1
e221e4d8,大表哥不是不能吃高蛋白的东西？,358.974,1610896778,16777215,1
73c8fb4a,投币,297.321,1610896828,16777215,1
cd837b0,收下我的两枚硬币,497.284,1610896830,16777215,1
23676e88,用心的教孩子把孩子教好了就可以防老,138.343,1610896838,16777215,1
2f1668e6,投币,290.85,1610896846,16777215,1
d1631012,红米？,148.834,1610896863,16777215,1
4e15c19f,来啦,9.149,1610896867,16777215,1
d62abb97,好标准啊,314.21,1610896892,16777215,1
684d3aa,小米配置不错啊,115.166,1610896989,16777215,1
fb3de222,都要加油！,339.115,1610896992,16777215,1
e9138456,必须投币,285.188,1610897039,16777215,1
54b398bf,请将中国精神带给法国民众,159.65,1610897047,16777215,1
ff56307b,人家说养儿不防老是想告诉养孩子的人不要为了防老而养儿,151.842,1610897052,16777215,1
efa3c95,三连了,343.614,1610897128,16777215,1
3e1bfa49,好暖哦,299.588,1610897152,16777215,1
4e15c19f,我也投币了。耶,300.149,1610897158,16777215,1
46e28dfa,投币随手机的份子喽！,16.523,1610897176,16777215,1
49530503,两币请笑纳,335.818,1610897190,16777215,1
f3aad69c,投了，因为他是个好人,319.223,1610897229,16777215,1
380d9c32,又更新了，来看老大爷,34.036,1610897255,16777215,1
7fcd56f0,大爷终于有手机了,233.174,1610897261,16777215,1
8fa4c404,不哭,331.274,1610897304,16777215,1
f1f3ed36,哈好可爱,78.111,1610897318,16777215,1
54b398bf,请将我们的和平精神田园精神传给法国民众投币了喔还有干饭人精神,352.179,1610897321,16777215,1
7fcd56f0,一键三连还是有用的,284.63,1610897335,16777215,1
eff5a2d0,家庭氛围好，我也想要这样的爷，爸妈和乖宝各种羡慕了,330.665,1610897349,16777215,1
36b93216,养七个下来不穷也穷了,127.924,1610897360,16777215,1
1233d10a,投币了，让大爷感受到中国人的友好,506.008,1610897372,16777215,1
b22b43d5,是不是收到送的新手机了,28.639,1610897401,16777215,1
637d3c4e,继续投币了，爱了,288.123,1610897432,16777215,1
3945c8a8,太棒了,335.867,1610897465,16777215,1
46e28dfa,是的！,287.305,1610897473,16777215,1
7fcd56f0,好有爱,444.685,1610897485,16777215,1
a4641038,太感动了,304.549,1610897489,16777215,1
46e28dfa,大爷也加油！,333.242,1610897519,16777215,1
4de391fd,中国做全球的东西，针对国外市场的很多好吧,87.443,1610897540,16777215,1
558b0881,要身体健康哦,479.068,1610897548,16777215,1
fc0ba094,爱你！邻居大爷要好生活,477.551,1610897586,16777215,1
b11613cb,大爷要健康长寿啊,325.536,1610897652,16777215,1
46e28dfa,大爷天开心呀！,480.097,1610897692,16777215,1
509369e8,哈导航也看不懂吗,45.981,1610897697,16777215,1
b11613cb,下次我也要充电,362.156,1610897702,16777215,1
b22b43d5,大家小硬币投起来！,159.625,1610897721,16777215,1
fc0ba094,喜欢邻居大爷！,498.431,1610897728,16777215,1
8c988683,生的多互相推诿扯皮还是独生子靠得住,412.696,1610897733,16777215,1
68ed7284,大爷要哭了,269.071,1610897761,16777215,1
509369e8,竟然是熟,116.158,1610897788,16777215,1
9baaa177,来了,6.771,1610897789,16777215,1
740fdabf,不哭,323.893,1610897811,16777215,1
2a9cf4de,up说这群孩子除了大哥靠谱一点之外，其他娃找爸都是麻烦事，还不如不找呢,428.344,1610897903,16777215,1
e2c2af23,投币,335.31,1610897912,16777215,1
33c4b85e,外国人本来亲情淡漠,144.369,1610897937,16777215,1
9339eb2b,祝大爷天开心哈,279.644,1610897965,16777215,1
b22b43d5,不可能那么多钱的，肯定是自己垫了,286.507,1610897994,16777215,1
971fbdf3,还比哈好可爱,492.893,1610898002,16777215,1
51b9e4bf,大爷就是以后的我,429.003,1610898005,16777215,1
ce97f279,他想家人了,528.0,1610898026,16777215,1
b22b43d5,说还有剩的是有多天真,297.089,1610898026,16777215,1
379d102c,主要全是海鲜，大表哥吃不了,416.723,1610898031,16777215,1
ee380cab,美好的生活，却被她妻子要求生七个葫芦娃，都跑去打妖怪去了,434.523,1610898049,16777215,1
d489a520,鳕鱼是很好吃,430.487,1610898052,16777215,1
11624e69,已投,313.08,1610898068,16777215,1
8b963395,时长好评,61.557,1610898096,16777215,1
2cbe1283,祝你幸福,477.958,1610898135,16777215,1
