Sender,DmContent,AppearTime,SendTime,FontColor,DmType
74e79978,0弹幕？,0.0,1610897477,16777215,1
3227a21f,让我康,6.995,1610897478,16777215,1
44c3842e,弹幕呢？,25.211,1610897493,16777215,1
21b3455b,？没有弹幕？,27.663,1610897495,16777215,1
495ece92,弹幕呢,3.299,1610897497,16777215,1
83c28a76,不是吧,7.608,1610897499,16777215,1
841f2336,刚一看，咋被屏蔽了？,15.052,1610897500,16777215,1
890b9d4d,什么情况,70.94,1610897500,16777215,1
3227a21f,哇啊,29.984,1610897501,16777215,1
372678e1,北京的冬天，我的心都是冰的！,19.827,1610897502,16777215,1
83c28a76,弹幕呢,11.091,1610897506,16777215,1
568b54d8,弹幕被清了么,22.695,1610897507,16777215,1
841f2336,哇！刚好卡到新的弹幕,25.15,1610897511,16777215,1
b4ac4505,你们都关注冰，我偏不,13.981,1610897511,16777215,1
c1fab78c,弹幕咋没了？,3.819,1610897516,16777215,1
539e8f06,怎么才两个弹幕,10.479,1610897516,16777215,1
cf7984ee,弹幕阵亡了？,41.064,1610897517,16777215,1
2b85a7ce,弹幕呢,10.918,1610897518,16777215,1
f6c5e857,哦吼,13.939,1610897518,16777215,1
9c18b104,莫弹幕？,44.151,1610897522,16777215,1
4f9b9bc6,20多w的播放量弹幕呢？,50.326,1610897523,16777215,1
e934643c,没人吗,37.979,1610897523,16777215,1
19a8310d,大美女,49.972,1610897525,16777215,1
305486da,我为什么看不到弹幕？,43.639,1610897525,16777215,1
baedd079,我为什么看不见弹幕,37.909,1610897525,16777215,1
8a1c955c,好美,44.392,1610897526,16777215,1
6c8e5c8e,我是第一个,44.058,1610897527,16777215,1
df6222f8,弹幕又没了？,7.599,1610897530,16777215,1
c266a3b3,弹幕呢,37.439,1610897531,16777215,1
f33ccfd9,哈，火钳刘明,11.924,1610897532,16777215,5
691588f5,好家伙5小时二百多万播放量,19.66,1610897533,16777215,1
216844fa,弹幕呢,14.173,1610897533,16777215,1
f61ebc2,弹幕呢,8.244,1610897534,16777215,1
e1cc1770,为什么没有弹幕,55.579,1610897535,16777215,1
3f61a20b,第三个弹幕,40.633,1610897535,16777215,1
3adb0cf5,20万播放，就5弹幕,10.199,1610897535,15138834,1
8cafb30b,弹幕怎么被清了？,16.798,1610897535,16777215,1
560fc6de,我的心也是冰的！,31.481,1610897536,16777215,1
e6523375,弹幕呢,41.539,1610897537,16777215,1
dfa50720,弹幕被清了吧,16.837,1610897540,16777215,1
1895726a,弹幕呢,9.512,1610897540,16777215,1
38328089,冰我爱你,19.875,1610897540,16777215,1
318992bf,弹幕呢，兄弟们,16.449,1610897541,16777215,1
1d7fa09c,没有弹幕？,56.473,1610897541,16777215,1
10774fbf,弹幕呢？,0.0,1610897542,16777215,1
5fe0aa35,为什么没有弹幕,15.147,1610897544,16777215,1
13fd7d3a,讲究,59.139,1610897544,16777215,1
96167ab0,弹幕呢,258.939,1610897544,16777215,1
83fc5d34,弹幕呢,297.215,1610897544,16777215,1
7b955b18,怎么没有弹幕呢，奇怪,71.553,1610897545,16777215,1
dfa50720,好家伙,21.984,1610897545,16777215,1
3cbb1e65,啊？弹幕呢,12.335,1610897547,16777215,1
73ea97c,哇哦,48.959,1610897547,16777215,1
8a1c955c,我好喜欢你,66.263,1610897548,16777215,1
4e05a961,为什么没有弹幕,58.46,1610897548,16777215,1
69711298,爱了,56.139,1610897549,16777215,1
723c70b7,弹幕呢,72.43,1610897549,16777215,1
99c81634,5个弹幕？,198.075,1610897550,16777215,1
13cec4c1,弹幕呢？,51.117,1610897550,16777215,1
e1d0071b,来了,7.742,1610897550,16777215,1
