Sender,DmContent,AppearTime,SendTime,FontColor,DmType
469c92cb,叮咚,9.6,1610875057,16777215,1
dca654fa,热乎,1.297,1610877549,16777215,1
40cfef41,热乎,16.987,1610877683,16777215,1
c30529a2,右边那个是郝劭文吗,16.764,1610880079,16777215,1
c3615512,救我,96.46,1610882127,16777215,1
dd606979,郝劭文,13.074,1610882840,16777215,1
2705c26c,chandler,46.374,1610884263,16777215,1
7ab16071,害怕,36.626,1610884590,16777215,1
edc98bf0,韩国刘能,32.0,1610889197,16777215,1
c009ec50,本来不觉得搞笑，但是想到是旁边人打电话认真说的就觉得好搞笑哈,5.535,1610891242,16777215,1
