Sender,DmContent,AppearTime,SendTime,FontColor,DmType
25a3e524,哈好可爱,63.019,1611014411,16777215,1
8b898164,吓一跳,706.489,1611014413,16777215,1
11cf3c0b,家用电器的电压就是20伏,453.857,1611014419,16777215,1
1dea3d05,会得疯牛病,690.331,1611014429,16777215,1
2dbdecd,新年快乐！阿怕！,49.896,1611014451,16777215,1
391a0ddb,蒙古国是内陆国很少下雨所以人们很少带雨伞,99.11,1611014488,16777215,1
d0bbbf4d,有。,191.739,1611014495,16777215,1
1dea3d05,我们这叫菠萝盖,755.771,1611014504,16777215,1
1dea3d05,做羊蝎子的那玩意儿,770.491,1611014528,16777215,1
5bb3d5fc,我来啦,12.983,1611014532,8700107,1
d9bea10f,独孤求败哈,803.155,1611014540,16777215,1
f3d15e45,姐高产,7.892,1611014545,16777215,1
5bb3d5fc,热乎的！,17.163,1611014547,8700107,1
d5de000f,靠警察叔,405.347,1611014553,16777215,5
8b898164,是的，是的,834.73,1611014559,16777215,1
172544b2,恭喜呀,64.403,1611014565,15138834,1
fad149fc,吓我一跳,707.514,1611014566,16777215,1
d5de000f,或者靠命,410.767,1611014571,16777215,5
86c4f6fa,不讲武德,793.91,1611014586,38979,1
6857b5e,忧郁少女,298.702,1611014591,41194,5
9e1bdccf,是老鼠肉吗？我好像上一个场景看见过，会不会是受害者走投无路吃的不知道,681.282,1611014597,9033215,5
6849ac2a,阿帕茶,13.455,1611014604,16777215,1
a2d7a3a2,害怕,323.36,1611014617,16777215,1
e0e1cd10,好早,11.426,1611014620,16777215,1
d5de000f,这是家用电压20V啊,425.287,1611014620,16707842,5
6857b5e,事情开始不对劲,320.3,1611014627,15138834,5
8b898164,哈，他只有呆滞的眼神，关爱制杖的眼神手动狗头,872.39,1611014642,16777215,1
f3d15e45,这题材很不错,110.349,1611014648,16777215,1
6ae0df06,热乎,40.979,1611014675,16777215,1
6857b5e,姐日语好听啊！,333.242,1611014675,16777215,5
791c97c8,都没人发弹幕的嘛,1726.619,1611014684,16777215,1
5bb3d5fc,姐在紧张诶，每句话都有啊,152.863,1611014707,8700107,1
fde01988,你能玩过我吗,864.438,1611014716,16777215,1
4424c097,注意前方高能,694.091,1611014729,16777215,1
c41a6dc7,笑死我了,1782.235,1611014729,16777215,1
d5de000f,不要吃陌生人给的糖呀！,494.527,1611014733,15138834,5
5bb3d5fc,人好少,189.923,1611014751,8700107,1
c72e6e0b,吓我一跳,709.645,1611014756,16777215,1
172544b2,得，得,246.033,1611014779,15138834,1
5ff3945,我们这叫嘎了哈,744.639,1611014801,16777215,1
a7d3af8e,house后遗症,3155.699,1611014807,8700107,5
5bb3d5fc,有幸在三十分钟内看见淡蓝色字体都是我,195.263,1611014814,8700107,1
da4422e6,逃课看姐视频,17.692,1611014835,16777215,1
c41a6dc7,我都看不出那个小孩是个小孩,1950.702,1611014866,16777215,1
f6ffda90,热乎的！,16.12,1611014877,16777215,1
c41a6dc7,以前多帅啊,2009.29,1611014886,16777215,1
d5de000f,这里面有灯的话证明是有人的呀！,593.321,1611014892,15138834,5
d5de000f,这里面有灯的话证明是有人的呀！,593.321,1611014900,16707842,5
33d8d95a,可能说的是虫子或老鼠,700.128,1611014900,16777215,1
bca3e947,虽然已经看过别的up主做过了但是果然还是想看阿怕做！,135.729,1611014915,16777215,1
5bb3d5fc,黑眼圈好重啊,299.103,1611014933,8700107,1
cabdfde4,731？,139.216,1611014974,16777215,1
9b1db282,新年快乐！,43.026,1611014978,16777215,1
1383b6b8,30分钟啊,3.219,1611014983,16777215,1
5ff3945,姐是东北人吗哈,936.039,1611015015,16777215,1
d0bbbf4d,吓我一跳,710.787,1611015038,16777215,1
72a70d02,那我给你拜个早年吧！,46.484,1611015066,16777215,1
9e1bdccf,哇这个强耶,1117.304,1611015068,9033215,5
9e520488,40分钟爷青回,43.996,1611015100,16777215,1
5bb3d5fc,哇塞，我还看的一脸懵,461.523,1611015115,8700107,1
a91a55c8,这应该是人的,754.939,1611015132,15138834,5
5f2ebef8,暴露了年龄,944.226,1611015135,16777215,1
bb47fd5f,一个小时！惊了,11.811,1611015149,16777215,1
6857b5e,铁脚,581.034,1611015155,15138834,5
10a1af6f,新年快乐！,49.85,1611015159,16777215,1
cbadfc4a,好长！,10.824,1611015171,16777215,1
cca600ea,干他呀的,389.131,1611015176,16777215,1
f94a4147,来了,14.219,1611015188,16777215,1
5bb3d5fc,心情好沉重,533.223,1611015196,8700107,1
6857b5e,害怕已经开始了,622.806,1611015219,15138834,5
f1c6eee0,恭喜阿怕！,65.681,1611015248,16777215,1
de7b4710,吓，有被谢到,704.902,1611015254,16777215,1
98c56c24,哈喽！我是蓝色科普君，也叫,678.382,1611015261,8700107,5
7d790e8b,智慧,1156.664,1611015278,16777215,1
1f87098,阿怕好长啊,8.351,1611015286,16777215,1
6857b5e,朊病毒警告,690.544,1611015307,15138834,5
f820b56f,早起党的胜利,5.25,1611015326,16777215,1
5bb3d5fc,那个男孩看起来家庭好像很好的样子,642.503,1611015344,8700107,1
c41a6dc7,好哥！,2843.247,1611015347,16777215,1
6857b5e,奇行种,701.556,1611015348,15138834,5
9e1bdccf,我不行诶我过了,1827.335,1611015360,9033215,5
6857b5e,吓孩子一跳,704.441,1611015362,15138834,1
73e95289,对，戴拿人设的奥特怕最聪明了,448.149,1611013512,8700107,1
a66fdba2,前方高能,777.033,1611013516,15138834,5
4f70d6,14分钟,30.598,1611013524,16777215,1
8c373fed,哈姐最棒了,65.087,1611013540,16777215,1
8b21e997,波棱盖哈,746.419,1611013554,16777215,1
c41a6dc7,弹幕！我来了,265.675,1611013603,16777215,1
2d87a5e3,小女孩劲真大,587.05,1611013604,41194,1
e54866d5,证明你还在,25.209,1611013630,16777215,1
d9bea10f,新年快乐！新的一年也要继续爱姐XD,45.886,1611013652,16777215,1
884db1e5,这个地方也太大了吧！,1288.125,1611013666,16777215,1
d9bea10f,house的视频真的很不错，我已经20刷了,72.681,1611013709,16777215,1
32ce8ce8,有人吗,135.965,1611013754,16777215,1
86c4f6fa,爷青回,32.499,1611013782,16777215,1
6857b5e,阿怕我来啦！,6.403,1611013799,16777215,1
9340f9df,卧槽吓死我了,711.713,1611013816,16777215,1
2d87a5e3,前方高能,786.81,1611013821,41194,1
6857b5e,阿怕我来啦！,0.938,1611013822,16777215,1
62f16da6,首页通知,77.779,1611013826,16777215,1
344a5aa5,害怕,261.799,1611013852,16777215,5
5a2add14,我也是,623.468,1611013870,16777215,1
6857b5e,阿怕也新年快乐！,41.512,1611013878,15138834,5
90b94de8,朊病毒警告,690.131,1611013967,16777215,1
1dea3d05,感觉要完,317.411,1611014006,16777215,1
6f9e945a,新年快乐,43.76,1611014009,16777215,1
c41a6dc7,吓死人,721.862,1611014018,16777215,1
6857b5e,恭喜姐！,55.328,1611014045,15138834,5
391a0ddb,热乎,3.433,1611014060,16777215,1
9ffe7886,祝阿怕2021年20万粉,47.139,1611014061,16777215,1
1dea3d05,要是主角就凉拌,387.891,1611014083,16777215,1
cca600ea,giaogaio,120.356,1611014091,16777215,1
d3fab5c6,玻璃上有字啊,3511.014,1611014129,16777215,1
ad2cb903,热乎,19.72,1611014150,16777215,1
cca600ea,我感觉阿怕姐应该用迪迦啊，头像,181.863,1611014157,16777215,1
ae78ff79,姐我来啦,11.593,1611014178,16777215,1
ad2cb903,姐我爱你,49.563,1611014180,14811775,4
5f2ebef8,姐我来啦,11.475,1611014186,16777215,1
8aa231bf,旮旯哈鹅,753.67,1611014202,16777215,1
5f2ebef8,好耶,65.299,1611014242,16777215,1
48a561f2,这怕不是被抓来的小孩,927.659,1611014247,16777215,1
8b898164,我也是，害怕,621.899,1611014249,16777215,1
d5de000f,确实,154.127,1611014282,41194,1
52ae12d0,太喜欢姐了,67.389,1611014289,16777215,1
a18bcec7,这是说人肉？我有点反感,676.522,1611014291,16777215,5
1dea3d05,如果我被关在这个地方复活甲加铭刀,567.851,1611014292,9487136,1
6857b5e,害怕,268.444,1611014294,41194,5
27153d88,热乎,7.649,1611014308,16777215,1
e54866d5,朊病毒？,692.729,1611014310,16777215,1
1dea3d05,这孩子脚劲儿还挺大的,583.571,1611014315,9487136,1
1c462326,我TM直接对门使用炎拳,551.782,1611014326,16777215,1
8b898164,咦！人肉吗！,653.529,1611014330,16777215,1
6857b5e,随地大小便，罚款20元,276.586,1611014331,41194,5
286f278f,姐！我来啦！,18.308,1611014336,16777215,1
a91a55c8,擦！我有！,191.859,1611014381,16777215,1
6857b5e,随地大小便罚款20元,279.549,1611014386,16777215,1
d5de000f,害怕,263.46,1611014391,16777215,1
d9bea10f,朊病毒警告,690.942,1611014400,16777215,1
3f44e614,爱你,71.395,1611014405,16776960,5
6857b5e,害怕,264.18,1611014406,41194,5
344a5aa5,年轻人不讲武德,791.019,1611014408,16707842,5
884db1e5,冲！,14.941,1611012653,16777215,1
884db1e5,新年快乐！,42.235,1611012745,16777215,1
493a114a,三分钟热乎,28.222,1611012820,16777215,1
2d87a5e3,热乎,10.167,1611012853,41194,1
9dbc22c1,我是第一！,10.804,1611012933,16777215,1
7a499826,来了,5.619,1611012937,16777215,1
9dbc22c1,五分钟！,23.391,1611012946,16777215,1
3ab0750a,姐我爱你,3.939,1611012950,16777215,1
9dbc22c1,烫手,29.959,1611012953,16777215,1
884db1e5,哈呐sei！,336.342,1611012971,16777215,1
5dd7f9c6,六分钟,0.0,1611012993,16777215,1
ef602431,啊怕更新了！,27.576,1611012999,16777215,1
ef602431,热乎的,58.765,1611013031,16777215,1
73e95289,五分钟热乎。,34.059,1611013032,15138834,1
884db1e5,姐可有智慧了。,441.919,1611013050,16777215,1
73e95289,新年快乐！,46.679,1611013052,15138834,1
8b21e997,完了，开始走到偏僻的地方了,314.179,1611013055,16777215,1
