Sender,DmContent,AppearTime,SendTime,FontColor,DmType
6f22ac09,我是下巴前伸,119.122,1610972405,16777215,1
4c8aa5f6,我来啦！姐好美！,8.587,1610972642,16777215,1
e44fec25,我是遗传,41.429,1610972841,16777215,1
42716cee,凸嘴女孩认真听讲,100.4,1610972954,16777215,1
46e124b9,我也是！而且兔牙，真的难受死了,49.319,1610971450,16777215,1
8da1a218,你小时候好漂亮啊！,49.658,1610972087,16777215,1
677b9b9d,太真实了这就是我,54.299,1610970675,16777215,1
ba37c8b4,这里！,6.762,1610970969,16777215,1
dc2d3fda,热乎的,9.113,1610968760,16777215,1
45edf1c6,我也是,52.756,1610968782,16777215,1
492dbe,哭美女姐贴,190.332,1610969227,16777215,1
5ad882bb,凸嘴男孩来了,3.059,1610967725,16777215,1
638d2086,来了这呢,0.499,1610968203,16777215,1
a07e1809,对！还不让拔牙,99.136,1610967196,16777215,1
a07e1809,我这大脸盘子凸哭了,193.599,1610967321,16777215,1
2a49a671,我也是,51.961,1610966098,16777215,1
4e4ab506,在这里,5.424,1610966427,16777215,1
cbadf664,王祖贤也凸嘴，美艳的很。,81.119,1610966494,16777215,1
191404fc,好漂亮！,5.438,1610966700,16777215,1
8b75d1a,我也凸嘴，害,16.513,1610966729,16777215,1
8b75d1a,我鼻子低还嘴凸,118.199,1610966852,16777215,1
ec5c1571,来了,12.277,1610964278,16777215,1
a116db3a,举手,4.967,1610964305,16777215,1
b03dfba8,我也是这样！,47.55,1610964897,16777215,1
91fcf36,还有可能是舌头放的位置不对顶到牙了,31.977,1610964927,16777215,1
