Sender,DmContent,AppearTime,SendTime,FontColor,DmType
8c7884a9,吃播真开心诶嘿,9.949,1611057762,16777215,1
8c7884a9,吃播真开心哈,66.234,1611057926,16777215,1
77435f80,锦鲤推了个寂寞,201.803,1611058059,16777215,1
769d59cf,为什么不让胡老师吃哈,174.292,1611058103,16777215,1
68ec36e9,风袖,21.539,1611058121,16777215,1
fa7fd5e7,你还砍价也是厉害了,98.058,1611058138,16777215,1
8c7884a9,边工分胡扎刀光合分鲤,184.845,1611058176,16777215,5
34ce89aa,锦鲤大宝贝,19.279,1611058454,16777215,1
dc7b0939,之混入国创组,0.338,1611058459,15138834,5
92694ba2,bgm有点耳熟哈,82.331,1611056900,16777215,1
8a23ea0a,风袖好可爱哈,134.656,1611056961,16777215,1
fd62c3cf,好像,200.8,1611057098,16777215,1
b2f7dff,锦鲤又发光了,201.143,1611057227,16777215,1
a5e65638,三季虫真心好喝,30.599,1611057334,16777215,1
eb0aaa16,你为什么要对着小胡老师啊果然太康才是受,50.139,1611057378,16777215,1
b32f75f5,说的听不清,122.594,1611057505,16777215,1
b6d6abf2,哈风袖,79.499,1611055886,16777215,1
d3983974,太湖！,49.913,1611056055,16777215,1
30acfa64,太康哈,25.241,1611056075,16777215,1
d3983974,哈，之的神奇经历,90.285,1611056096,16777215,1
d3983974,哈，小忻你好了解啊,121.055,1611056126,16777215,1
d3983974,哈，,169.91,1611056175,16777215,1
ebd1a57d,青旅嘛,158.635,1611056200,16777215,1
dd4e43c9,社恐人哭泣,117.975,1611056361,16777215,1
bed579c8,锦鲤怎么不吃啦,117.005,1611056584,16777215,1
bed579c8,太康,13.81,1611056697,16777215,1
562c754,锦鲤推眼镜推了个寂寞,201.748,1611056707,16777215,1
7699b33f,脱单，哈,63.651,1611055008,16777215,1
1d1ecd85,他哥，你咋这么说你弟,183.187,1611055276,16777215,1
8e0c452e,锦鲤宝,8.694,1611055433,16777215,1
a2e740a,诶罒,8.234,1611055522,16777215,1
ebbcba96,太湖是真的！,40.78,1611055534,16777215,1
36bf10bf,我也想吃,29.702,1611055618,16777215,1
8e0c452e,哈胡老师吓了之好大一跳哈,161.188,1611055646,16777215,1
5436c923,小胡老师吃的好认真,105.158,1611055766,16777215,1
7fa15761,我以为是糖葫芦,28.5,1611055786,16777215,1
74f1dc90,太真实了,49.639,1611054924,16777215,1
