Sender,DmContent,AppearTime,SendTime,FontColor,DmType
81d5da6c,钓着,222.199,1610987661,16777215,1
97b1a3b,我是其中三种怎么办。,259.265,1610987719,15138834,1
df3f9619,男就可以了,62.587,1610986155,16777215,1
df3f9619,倪政鹏,146.421,1610986239,16777215,1
df3f9619,倪政鹏,164.254,1610986257,16777215,1
c2fa0feb,热乎,146.959,1610985158,16777215,1
a756d476,我好像都有,241.299,1610983979,16777215,1
4c7b404e,窒息,141.259,1610984462,16777215,1
cb286f36,泪目,137.219,1610983495,16777215,1
d1a0e16f,老板,65.355,1610982944,16777215,1
d1a0e16f,媳妇,97.354,1610982976,16777215,1
47eb8f22,孙笨能觉醒吗,35.868,1610981539,38979,5
3724add9,还算热乎！,456.341,1610981713,16777215,1
3817bdb4,社会工程学,26.779,1610979879,16777215,1
99e58c5a,这三个例子有点极端,258.239,1610977520,16777215,5
6d62708c,尿了就打是惩罚负强化应该是取消一个奖励,169.593,1610976432,16777215,1
58396e8f,害怕负面情绪,298.513,1610973514,16777215,1
