Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ce27c7c7,第一个,5.673,1611060261,16777215,1
8e98a158,流量密码,5.089,1611060266,16777215,1
772869db,第一,6.536,1611060268,16777215,1
23e6bc35,看到我就不是第一了,8.674,1611060268,16777215,1
d37b1249,刚！,10.181,1611060271,16777215,1
17e3ba0,来了1,4.704,1611060273,16777215,1
aec98f36,突然高产,9.418,1611060273,16777215,1
8e8e751b,来了,18.917,1611060274,16777215,1
5059120b,冰我来啦！,15.553,1611060274,16777215,1
838f5527,哇！,15.518,1611060278,16777215,1
cca092c0,我是第一,17.646,1611060278,16777215,1
9dda6961,冰！,14.102,1611060279,16777215,1
35e8de4a,谁最快,0.762,1611060280,16777215,1
87ec6387,第一,18.635,1611060280,16777215,1
dbfdaf61,前牌,10.187,1611060281,16777215,1
8492e95b,冰，冰,21.844,1611060281,16777215,1
aec98f36,看我发现了什么,17.363,1611060281,16777215,1
c79ef4da,厉害,7.348,1611060281,16777215,1
6817ba2f,第一,12.977,1611060283,16777215,1
718d626,我是第一,9.146,1611060283,16777215,1
447ba225,第。第一？,16.022,1611060283,16777215,1
53cedfa5,第一嘿,23.209,1611060284,16777215,1
96ea709c,我是第一么,19.535,1611060284,16777215,1
dfa8ff72,热乎,8.865,1611060284,16777215,1
6c357507,发生甚么事了,17.471,1611060286,16777215,1
838f5527,冰！,23.518,1611060286,16777215,1
5eaf6416,第一,7.942,1611060286,16777215,1
159ac2b,我来了！第一,5.618,1611060288,16777215,1
5550862d,沙发,7.136,1611060288,16777215,1
6920f46d,第二个！,15.588,1611060289,16777215,1
807af81a,这波是反向带货,19.353,1611060289,16777215,1
9d808eb2,来了,26.39,1611060289,16777215,1
893e9d22,前排,7.102,1611060290,16777215,1
f3f761b0,妈耶,18.806,1611060290,16777215,1
87ec6387,我的心是冰的,28.851,1611060290,16777215,1
ceca6185,酷啊！,9.905,1611060290,16777215,1
325d1489,很快啊,13.2,1611060291,16777215,1
1f7144a5,前排别围观我老婆,17.143,1611060291,16777215,1
5399acf,第一个,6.799,1611060291,16777215,1
ab38de4,啊我第一吗,6.47,1611060292,16777215,1
9a7942b,哈，我的冰！,20.665,1611060293,16777215,1
c499f74e,来了,32.1,1611060294,16777215,1
47c000f7,来了,19.273,1611060295,16777215,1
af94a151,前排！,0.0,1611060295,16777215,1
c9dff76b,不是喜欢看新闻，是喜欢看你！,10.259,1611060295,16777215,1
86a7ddf7,看新闻,11.657,1611060296,16777215,1
da9f6198,其实是喜欢看你,28.526,1611060296,16755202,5
9281fbf9,第一无可厚非,0.0,1611060296,16777215,1
8918cc0c,都是冰的,27.343,1611060298,16777215,1
5cc6943f,我的心是冰的,32.192,1611060298,16777215,1
f572a299,我是第一名,0.419,1611060299,16777215,1
ba1c2e41,我第一？,3.987,1611060299,16777215,1
34899e7,我是第一吗,8.894,1611060299,16777215,1
a019cf5b,收视密码,32.192,1611060300,16777215,1
775dc954,好家伙我是第一,0.83,1611060300,16777215,1
dd90596,1播放,0.774,1611060300,16777215,1
7e702bb5,这姑娘真好看,0.0,1611060301,16777215,1
da55b7a9,我心冰,27.263,1611060302,16777215,1
c1a2d36d,首评,8.83,1611060303,16777215,1
63ba9594,前排小板凳,20.385,1611060303,16777215,1
2877ef63,啊，第一吗,13.446,1611060305,16777215,1
46f8bb2b,好哎,25.589,1611060306,16777215,1
1351b592,我真的是第一这次！激动！,17.277,1611060306,16776960,5
9d18afb3,刚！,12.99,1611060306,16777215,1
ff94ed89,被迫营业,27.979,1611060306,16777215,1
86a7ddf7,看新闻,15.838,1611060306,16777215,1
71cbe04b,来了,16.63,1611060307,16777215,1
f3ee6264,diyi,6.657,1611060308,16777215,1
f82e04a2,我来啦第一,9.347,1611060310,16777215,1
3e78aaa1,冰！,2.668,1611060310,16777215,1
