Sender,DmContent,AppearTime,SendTime,FontColor,DmType
acf88635,江浙人能吃这么辣吗？,119.506,1610904857,16777215,1
acf88635,江浙人能吃这么辣吗？,119.506,1610904857,16777215,1
8dce9047,我丢,196.635,1610892698,16777215,1
5fc48754,那就别吃了,56.142,1610894263,16777215,1
5459713d,哈，怎么看个美食视频好开心,211.727,1610894442,16777215,1
4382cc91,哈明天的可还行,188.478,1610894617,16777215,1
39dee580,来了，每日一赞,5.947,1610894714,16777215,1
39dee580,懂了，这就叫外卖,110.948,1610894819,16777215,1
39dee580,哈，明日豆腐,191.123,1610894910,16777215,1
39dee580,狗腚了,206.419,1610894947,16777215,1
ae3826f0,哈王刚,226.143,1610894988,16777215,1
ed299710,豆腐配蛏子简直是毒药，你真是人才。,191.484,1610895811,16777215,1
8ca7b544,没见过哪个酒店处理的这么干净的,77.717,1610896006,16777215,1
21698026,正片开始,114.739,1610896745,16777215,1
99f7e299,哈，手速when快,27.899,1610891173,16777215,1
8aa1c1a2,搞定了,111.754,1610891694,16777215,1
8aa1c1a2,搞过定了,129.244,1610891711,16777215,1
21c37ff3,香！,217.528,1610882876,16777215,1
1ffd70f6,回到未来,184.353,1610883151,16777215,1
1ffd70f6,就做,234.083,1610883220,16777215,1
62d8788c,这酒一口就能把我放到,134.419,1610883574,16777215,1
fb4adf15,我要的视频来了哈！然后墙上都是狗粮！,28.689,1610890064,16777215,1
fb4adf15,你可以放一点,148.144,1610890243,16777215,1
fb4adf15,23,194.541,1610890289,16777215,1
fb4adf15,哈不做,233.979,1610890336,16777215,1
