Sender,DmContent,AppearTime,SendTime,FontColor,DmType
ea04034e,好贱法官,15.948,1611021485,16777215,1
7ade7606,无德人,21.523,1611019723,16777215,1
74be9210,一个无得仁一个好贱，难分伯仲！有钱又是拖几年然后无期，没钱才火速死刑。,55.797,1611020686,16777215,1
5d24da1b,无德仁,18.937,1611019337,16777215,1
97644bbe,人民的正义,26.885,1611018091,16777215,1
30738354,好名,25.419,1611018081,16777215,1
9f9e76fd,好贱，,9.84,1611017048,16777215,1
9f9e76fd,正道光,19.84,1611017058,16777215,1
9b19a4b7,无德无仁,13.439,1611015636,16777215,1
2bf74156,英雄永垂不朽！民不畏死奈何以死惧之,24.222,1611014334,16777215,1
3d99ab73,值了,76.033,1611012115,16777215,1
fd3ebf2f,绞死他,12.499,1611010647,16777215,1
f83162f4,确实是无德人,29.468,1611007071,16707842,1
a4c71834,速度真快,20.475,1611007417,16777215,1
6c06976d,人如其名,5.474,1610990346,16777215,1
28da4c11,说实话，我一点都不相信这些公开的话,9.433,1610989121,16777215,1
1928c87a,郝建？,20.071,1610989429,16777215,1
df82803,好剑！,7.869,1610986827,16777215,1
3b7951a5,换做乱判的被杀咋算,55.164,1610978264,16777215,1
