Sender,DmContent,AppearTime,SendTime,FontColor,DmType
c83a3039,我去。这只能看个热闹了。模仿是不可能模仿的。,194.553,1611072534,16777215,1
40836ba0,这句helo说的我酥的,15.739,1611067454,16777215,1
40836ba0,拍不扁的可以找up主来拍。,125.85,1611067570,16777215,1
df340623,唉这是给极致的美食追求者准备的,180.659,1611066150,16777215,1
ca3691ba,浪费蔬菜！可耻！,143.773,1611062092,16777215,1
6d6aec8b,香菜超市20一斤，吃不起啊,127.688,1611059632,16777215,1
b474bf1a,使劲啊,123.343,1611057046,16777215,1
51eed101,搞定了,239.746,1611056272,16777215,1
d82bc990,稀里糊涂尝一下,160.278,1611053791,16777215,1
d3d880a9,家庭版完全不适用，很久才做一顿需要豉汁的菜,130.258,1611050632,16777215,1
bb467fe1,真详细,167.717,1611048706,16777215,1
bb467fe1,搞腚了,234.651,1611048773,16777215,1
