Sender,DmContent,AppearTime,SendTime,FontColor,DmType
bf419d88,这对cp我磕了,85.493,1610856486,16777215,1
e0870935,哈前面的太狠了,122.099,1610856487,16777215,1
2728a23a,银耳哈,229.649,1610856501,16777215,1
cde85435,被迫营业,140.974,1610856514,16777215,1
e7084b11,注入灵魂,130.231,1610856514,16777215,1
bd5525f8,啊哈,218.977,1610856526,16777215,1
b8c916b9,咦居然会中文,334.587,1610856530,16777215,1
bb91b486,笑死,58.755,1610856543,16777215,1
47f0a320,这个女生好可爱,105.08,1610856552,16777215,1
28f4cbf1,兄弟们把般配打在公屏上,83.924,1610856577,16777215,1
1a045483,Andyoueatyourchild,146.703,1610856646,16777215,1
bb91b486,充实扎实厚重可靠安心,128.574,1610856652,16777215,1
e2be0e6c,2分钟热乎,1.855,1610856670,16777215,1
4782edfa,过滤器收藏家可还行,16.517,1610856694,16777215,1
29bcf1f7,老干妈不需要广告，在外国,129.36,1610856714,16777215,1
dd04d08a,笑死,287.019,1610856736,16777215,1
1164592a,其实科学研究味精不参与人体代谢，没啥问题,213.991,1610856742,16777215,1
87c954af,hersha像个初到玩具店的小孩h,298.111,1610856747,16707842,5
5add3aeb,哈真实,134.129,1610856794,16777215,1
8b14e38,怎么不把手伸进米缸里,129.219,1610856854,16777215,1
e3ad670d,居然还没有被hersha打死,14.677,1610856864,16777215,1
feb69460,委屈,90.017,1610856865,16777215,1
a461599a,老干妈！,116.35,1610856868,16777215,1
670ff06,好开心啊h,428.119,1610856883,16777215,1
fb51be09,关二爷！,265.379,1610856886,15138834,5
bb91b486,阿这,386.878,1610856915,16777215,1
3fd44846,反杀,46.616,1610856917,16777215,1
823cb56b,哈eg挞,376.563,1610856954,16777215,1
5add3aeb,hah哈但是佛教确实是从印度传过来的啊,267.326,1610856993,16777215,1
c1a276e4,伦敦锅,242.258,1610857009,15138834,5
5add3aeb,哈啊哈,316.542,1610857044,16777215,1
5add3aeb,哈啊哈,336.042,1610857063,16777215,1
d33ab5ed,王刚狂喜,270.294,1610857095,16777215,1
d304dc8b,这不椰子，她就是印度人,163.61,1610857097,16777215,1
7b7ec7e3,喊阿三的蝗虫,160.259,1610857123,16777215,1
5add3aeb,哈啊哈,425.514,1610857164,16777215,1
d33ab5ed,在食堂里能见到的家伙都有了h,327.035,1610857166,16777215,1
dae2ddc,真实,129.939,1610857221,16777215,1
d0b7aa49,我也喜欢拍米袋子哈,128.509,1610857247,16777215,1
6c3cb5bd,过于真实，真的很爽,126.299,1610857289,16777215,1
abfc3350,老干妈！,113.214,1610857309,16777215,1
d0b7aa49,这个是纯粹的伪科学，味精根本没害处,198.586,1610857343,16777215,1
d0b7aa49,就算是科学也能证明msg是健康的,217.514,1610857378,16777215,1
d3b55e5b,般配,87.019,1610857382,16777215,1
4d67173d,热乎的！,6.901,1610857393,16777215,1
d3b55e5b,出门还是大叔打扮啊哈,102.839,1610857409,16777215,1
4d67173d,知名过滤器收藏家哈,17.379,1610857421,16777215,1
642d4711,你俩结婚吧，求了,156.316,1610857422,16777215,1
75c559dd,亚洲片警还行哈,13.572,1610857426,16777215,1
d0b7aa49,关老爷,268.462,1610857434,16777215,1
d3b55e5b,我也会哈,129.839,1610857440,16777215,1
1fa82aa8,保护,88.96,1610857443,16777215,1
d3b55e5b,女士？,153.059,1610857474,16777215,1
1fa82aa8,我也是,122.331,1610857484,16777215,1
1fa82aa8,真实,130.608,1610857499,16777215,1
3a29a79f,确实味精对身体有害的说法连央视都辟谣过了,202.419,1610857517,16777215,1
7d80090e,我有理由怀疑他们会在一起doge,14.08,1610856096,16777215,1
8e4de21e,哈，亚洲片警,29.7,1610856097,16777215,1
f3837c1e,热乎的,20.233,1610856124,16777215,1
d4aa2abf,1分钟！热乎的,0.64,1610856128,15138834,1
cc2d505e,还是热乎的,1.0,1610856163,16777215,1
929c2658,哈asianface,113.711,1610856186,16777215,1
929c2658,这个确实,128.748,1610856201,16777215,1
5cd3bbea,亚洲片警哈,18.379,1610856204,16777215,1
f42b9814,太早了，没得弹幕,65.171,1610856206,16777215,1
929c2658,哈莫名爱意,159.542,1610856231,16777215,1
c6401f02,真实,132.207,1610856231,16777215,1
3ba883ff,还是有杂质,179.038,1610856248,16777215,1
f3837c1e,有没有Q飞车联名款,113.359,1610856252,16777215,1
cb48f18b,老干妈打钱,99.259,1610856253,16777215,1
413c8f2d,那不是银耳吗h,236.28,1610856265,16777215,1
3ba883ff,msgyds,192.038,1610856280,16777215,1
929c2658,Fine哈,221.792,1610856294,16777215,1
60329d60,真实,128.919,1610856294,16777215,1
929c2658,哈喂,266.632,1610856339,16777215,1
87c954af,亚洲片警？,12.62,1610856388,16707842,5
85d7441d,我已经搞不清楚叔是抹黑还是夸了,209.014,1610856398,16777215,1
313b3d03,哈那罗延？,261.469,1610856402,16777215,1
128d3bec,MSG,173.67,1610856416,16777215,1
cde85435,班配,49.775,1610856422,16777215,1
6ab74708,好甜你俩,425.667,1610856444,16777215,1
bf419d88,这对cp我磕了,85.493,1610856486,16777215,1
e0870935,哈前面的太狠了,122.099,1610856487,16777215,1
2728a23a,银耳哈,229.649,1610856501,16777215,1
cde85435,被迫营业,140.974,1610856514,16777215,1
e7084b11,注入灵魂,130.231,1610856514,16777215,1
bd5525f8,啊哈,218.977,1610856526,16777215,1
b8c916b9,咦居然会中文,334.587,1610856530,16777215,1
bb91b486,笑死,58.755,1610856543,16777215,1
47f0a320,这个女生好可爱,105.08,1610856552,16777215,1
fef40825,阿三狂喜,155.966,1610856577,16777215,1
28f4cbf1,兄弟们把般配打在公屏上,83.924,1610856577,16777215,1
1a045483,Andyoueatyourchild,146.703,1610856646,16777215,1
bb91b486,充实扎实厚重可靠安心,128.574,1610856652,16777215,1
e2be0e6c,2分钟热乎,1.855,1610856670,16777215,1
