Sender,DmContent,AppearTime,SendTime,FontColor,DmType
34fd5d43,来了,9.194,1610959800,16777215,1
4a318c95,我DNA动了，我不玩了,3.183,1610960007,16740868,1
f3ad1d3a,还真的造了这个，6啊,5.536,1610960013,16777215,1
a08f6483,萨夏,380.076,1610960139,16777215,1
868f110a,萨莎！,381.942,1610960161,16777215,1
bd4ccd50,17分钟熟的,28.42,1610960177,16777215,1
30e17bbd,瞧我发现了什么,2.902,1610960190,16777215,1
868f110a,啃白薯过分了,380.327,1610960201,16777215,1
52310063,一击毙命,291.991,1610960229,16777215,1
dacd9082,牛逼,6.563,1610960352,16777215,1
94af4bb3,妙啊,174.389,1610960356,16777215,1
30e17bbd,绝了,161.769,1610960365,16777215,1
478858ab,小弟不才，一句卧槽走天下,19.459,1610960546,16777215,1
11eddca,梦幻联动,7.498,1610960640,16777215,1
97a1ca39,h运气这么好,37.396,1610959131,16777215,1
790daa39,oh,11.005,1610959167,16777215,1
3466752c,当你看到这条弹幕时，你就已经不是第一了,0.162,1610959181,41194,5
d84b4a4e,CHINA瞩目,54.195,1610959222,16777215,1
4b546e86,芜湖，起飞,13.451,1610959394,16777215,1
f60f84f7,给我一把我就能高兴半年,56.513,1610959462,16777215,1
1070fa25,正片开始,348.825,1610959481,16777215,1
93c2b136,有内味了,161.428,1610959522,16777215,5
c1492461,牛逼,8.939,1610959523,16777215,1
1070fa25,萨沙,379.462,1610959525,16777215,1
b82c0630,我擦，真有,47.32,1610959576,16777215,1
d025d41f,china瞩目！,53.944,1610959626,16777215,1
4deb30a2,oh,267.05,1610959627,16777215,1
