7827,44,81,49,599,1611069294
7530,43,72,46,578,1611068366
7162,41,68,46,558,1611067446
6874,39,63,45,536,1611066503
5776,34,54,39,458,1611062480
5468,33,50,36,435,1611061474
5183,32,47,36,416,1611060544
4917,30,45,33,397,1611059563
4583,30,44,31,370,1611058604
4312,24,41,27,341,1611057687
3974,23,36,24,324,1611056785
3647,22,36,23,302,1611055851
3158,19,31,20,270,1611054938
2656,18,30,16,237,1611054037
2177,18,28,13,208,1611053121
1815,17,28,12,187,1611052240
1411,14,28,11,161,1611051345
999,13,26,9,125,1611050465
638,7,10,7,92,1611049582
238,5,4,4,45,1611048693
