Sender,DmContent,AppearTime,SendTime,FontColor,DmType
588449cb,kdl,622.578,1610972166,16777215,1
b049720f,筱玮果然是赵哥最爱的那条鱼哈,624.786,1610972173,16777215,1
f3d6e0fd,哈锦鲤好惨,780.841,1610972173,16777215,1
8ef52734,任敏真的可爱,984.239,1610972178,15138834,5
75b4f0f,明月的聚魔灵哈,389.39,1610972179,9033215,1
a43171cb,大风车,131.255,1610972180,16777215,1
a2b3ef2e,合唱团吗哈,136.655,1610972180,16777215,5
6eb292ec,锦鲤可爱,144.823,1610972182,16777215,1
84db62e2,杨雪老师果然上过幼师课程,123.954,1610972182,16777215,1
3b2c1b64,小胡老师你对我的眼镜好一点,393.829,1610972186,16777215,1
f71547f4,ofer来了,969.847,1610972188,16777215,1
ecf2267a,马好用老师小课堂开课啦,513.894,1610972190,16777215,5
47aa37d1,这节目连摄像头都是个海王,44.637,1610972191,16777215,1
bc289229,赵哥nb,892.203,1610972193,16646914,5
c48d9c7b,我小马总好激动哈,595.599,1610972197,16777215,1
6e25d186,一只锦鲤路过,195.942,1610972199,16777215,1
5fd1daf4,哈或,1062.111,1610972204,16777215,1
22db01f1,小胡老师好暖,965.435,1610972204,15138834,5
8c7884a9,赵干景牛逼！,894.812,1610972205,16777215,1
5d1f7b31,赵哥nb,890.179,1610972206,16777215,5
6d590051,挖萝卜,953.982,1610972214,16777215,1
7fc63221,哈又一个海王,441.491,1610972214,16777215,1
71bbc426,别呀我想听怎么配的！,326.063,1610972218,16777215,1
b873526b,来了,9.723,1610972218,16777215,1
c2d434ce,赵哥牛逼,906.92,1610972222,16777215,1
bdd18946,胡良伟！你放下我家大昕,966.558,1610972223,16777215,1
ed32f48,赵哥别搞我，我可是海王,888.006,1610972228,16777215,1
db38c77d,一群魏大勋,693.159,1610972230,16777215,1
ce55b83c,你激动什么哈鱼宝贝,686.634,1610972233,16777215,1
e2eb2d7f,奇怪的cp又增加了,1185.721,1610972234,16777215,1
a92d5a25,确实,742.739,1610972234,16777215,1
1250703a,谷江山情商真的好高好暖,460.238,1610972235,16777215,1
5fd1daf4,哈或,1097.222,1610972239,16777215,1
f4bbfbf6,赵哥牛逼,896.067,1610972244,16777215,1
e6664900,挖萝卜业绩1,965.305,1610972244,16777215,1
59fe3c13,来了,10.904,1610972249,16777215,1
74f1dc90,锦鲤你明是一直盯着看哈,692.279,1610972251,16777215,1
7e131d86,之好累啊,743.749,1610972258,13369971,5
8c7884a9,你很棒！,947.762,1610972259,16777215,1
7b260395,刘明月你冷静点,394.022,1610972260,15138834,1
1b7cbf88,马老师太可爱了吧啊,586.913,1610972261,16777215,1
2a36730c,挖萝卜现场,960.005,1610972263,16777215,1
6479a649,吴边玩家火速集合！,1124.042,1610972264,15138834,5
75b4f0f,哈所以爱会消失是吗,442.303,1610972264,9033215,1
8543a0aa,锦理都是弟,1297.811,1610972272,16707842,5
d93ee220,摄像头给你个面子,27.949,1610972273,16777215,1
7b260395,明月淡定,394.022,1610972273,15138834,1
6e25d186,锦鲤声音好大啊哈,239.198,1610972273,16777215,1
8a55df23,请让他说完！,334.142,1610972283,16777215,1
